index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,111,东莞,1.28,185,20,63,100,103,84,轻度污染,45.7333,39,2013-12
1,114,东莞,1.248,201,51,63,127,104,85,轻度污染,82.3226,29,2014-01
2,66,东莞,1.054,195,18,40,79,51,45,良,58.2500,20,2014-02
3,74,东莞,1.071,153,29,52,77,66,51,良,62.8387,29,2014-03
4,71,东莞,0.943,126,45,48,108,57,42,良,61.5000,25,2014-04
5,53,东莞,0.774,174,25,39,86,39,27,良,34.7097,18,2014-05
6,71,东莞,0.72,145,29,38,116,43,28,良,75.1667,13,2014-06
7,95,东莞,0.732,205,29,33,148,46,30,良,105.0968,19,2014-07
8,95,东莞,0.735,205,27,28,150,38,26,良,118.0000,20,2014-08
9,98,东莞,0.82,203,27,31,153,47,33,良,123.2667,19,2014-09
10,101,东莞,0.861,145,58,36,156,79,56,轻度污染,122.7097,21,2014-10
11,78,东莞,1.033,198,30,44,110,71,48,良,74.9333,19,2014-11
12,78,东莞,1.087,141,30,49,85,77,57,良,75.8710,23,2014-12
13,84,东莞,1.039,153,24,53,106,84,61,良,149.4194,21,2015-01
14,74,东莞,0.964,148,28,35,97,68,52,良,136.7143,13,2015-02
15,51,东莞,0.932,94,20,38,66,46,33,良,76.3871,12,2015-03
16,82,东莞,0.808,188,24,35,127,52,34,良,180.5000,13,2015-04
17,47,东莞,0.803,120,23,30,84,34,22,优,76.8710,8,2015-05
18,48,东莞,0.67,93,26,21,89,26,16,优,109.5333,8,2015-06
19,67,东莞,0.639,167,28,24,113,35,23,良,168.9032,9,2015-07
20,90,东莞,0.742,201,39,32,138,47,32,良,245.1290,12,2015-08
21,97,东莞,0.73,183,38,30,147,54,38,良,270.3000,13,2015-09
22,79,东莞,0.819,144,22,34,127,66,46,良,201.0645,17,2015-10
23,64,东莞,0.873,107,24,35,92,61,42,良,165.0000,17,2015-11
24,57,东莞,0.99,122,26,37,59,53,38,良,89.1613,16,2015-12
25,55,东莞,0.958,110,29,36,51,48,35,良,76.9355,14,2016-01
26,50,东莞,0.779,95,21,24,67,45,34,良,69.6207,7,2016-02
27,72,东莞,0.81,168,24,48,76,65,47,良,137.6452,11,2016-03
28,57,东莞,0.807,88,30,39,67,49,35,良,102.9667,9,2016-04
29,65,东莞,0.677,183,30,26,109,46,30,良,126.7742,8,2016-05
30,64,东莞,0.683,139,32,30,106,36,21,良,163.1333,8,2016-06
31,72,东莞,0.581,169,22,26,116,40,24,良,192.8387,9,2016-07
32,86,东莞,0.719,180,25,31,134,52,34,良,234.8065,12,2016-08
33,73,东莞,0.743,201,32,34,112,52,35,良,190.2667,15,2016-09
34,54,东莞,0.826,111,35,30,87,46,32,良,151.1613,14,2016-10
35,66,东莞,1.03,162,27,38,92,59,40,良,131.7667,15,2016-11
36,76,东莞,1.155,107,30,52,90,76,54,良,123.6452,16,2016-12
37,75,东莞,1.132,134,40,43,89,69,53,良,128.0323,13,2017-01
38,72,东莞,1.0,158,36,44,110,54,42,良,96.4286,12,2017-02
39,68,东莞,1.042,114,45,52,73,59,38,良,125.4194,11,2017-03
40,75,东莞,0.91,196,33,44,100,53,39,良,117.5333,11,2017-04
41,89,东莞,0.906,197,38,39,131,52,39,良,133.2581,13,2017-05
42,52,东莞,0.833,111,33,33,82,32,19,良,72.8000,9,2017-06
43,58,东莞,0.861,142,23,34,93,35,23,良,96.3548,11,2017-07
44,78,东莞,0.845,174,22,33,125,35,23,良,103.7097,11,2017-08
45,95,东莞,0.923,207,36,38,145,47,34,良,130.9000,12,2017-09
46,70,东莞,0.942,141,31,31,120,48,36,良,139.6774,12,2017-10
47,66,东莞,1.087,110,35,42,82,55,44,良,135.5667,12,2017-11
48,79,东莞,1.174,159,28,53,56,73,55,良,143.7419,18,2017-12
49,87,东莞,1.071,185,33,60,85,71,60,良,169.8065,15,2018-01
50,65,东莞,0.907,135,25,33,93,51,44,良,122.3214,10,2018-02
51,83,东莞,0.913,166,29,48,125,55,43,良,193.9677,12,2018-03
52,76,东莞,0.837,170,29,42,108,61,41,良,167.0667,11,2018-04
53,73,东莞,0.606,143,34,28,122,37,24,良,172.1613,8,2018-05
54,65,东莞,0.68,122,29,29,102,36,24,良,56.5000,8,2018-06
55,54,东莞,0.6,151,26,28,92,34,20,良,128.8710,7,2018-07
56,71,东莞,0.826,150,32,36,115,40,27,良,143.8387,7,2018-08
57,66,东莞,0.613,153,24,32,111,41,28,良,143.1333,8,2018-09
58,72,东莞,0.832,127,38,38,113,55,37,良,167.9677,10,2018-10
59,64,东莞,0.91,102,33,42,86,61,42,良,182.3333,11,2018-11
60,53,东莞,0.923,97,28,38,61,48,34,良,114.2903,9,2018-12
61,48,东莞,1.1,73,36,33,23,39,34,优,86.2500,8,2019-01
