index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,157,东营,1.497,345,56,73,42,194,121,中度污染,63.8667,132,2013-12
1,162,东营,1.716,347,44,62,48,204,124,中度污染,109.4839,117,2014-01
2,113,东营,1.268,260,36,39,81,130,81,轻度污染,101.0714,80,2014-02
3,145,东营,1.452,267,67,64,112,207,102,轻度污染,151.4516,90,2014-03
4,112,东营,1.073,188,60,47,147,159,66,轻度污染,141.8667,69,2014-04
5,127,东营,1.032,203,67,40,174,171,64,轻度污染,152.2903,72,2014-05
6,118,东营,0.973,176,60,27,173,110,55,轻度污染,147.0333,46,2014-06
7,135,东营,1.197,202,60,34,196,129,64,轻度污染,165.4516,58,2014-07
8,129,东营,1.277,201,40,37,189,117,61,轻度污染,165.2258,57,2014-08
9,99,东营,1.167,177,41,39,143,109,55,良,149.6333,54,2014-09
10,94,东营,1.284,208,43,49,113,122,64,良,101.0323,52,2014-10
11,136,东营,1.6,267,42,64,63,159,100,轻度污染,139.3000,72,2014-11
12,128,东营,1.535,321,47,59,42,152,93,轻度污染,127.0968,96,2014-12
13,122,东营,1.587,272,41,54,47,136,91,轻度污染,207.7097,86,2015-01
14,110,东营,1.425,200,37,41,67,130,78,轻度污染,225.8571,69,2015-02
15,133,东营,1.21,446,49,48,94,184,84,轻度污染,288.9355,69,2015-03
16,109,东营,0.95,163,52,35,132,144,72,轻度污染,288.5667,49,2015-04
17,104,东营,0.877,198,50,31,153,127,62,轻度污染,275.2258,49,2015-05
18,121,东营,0.897,192,63,27,180,111,57,轻度污染,324.1667,47,2015-06
19,104,东营,0.868,182,53,22,159,107,62,轻度污染,289.8387,41,2015-07
20,107,东营,0.948,170,56,26,164,100,59,轻度污染,300.7742,41,2015-08
21,93,东营,0.933,202,48,32,145,94,49,良,276.5000,32,2015-09
22,124,东营,1.3,229,47,53,114,157,89,轻度污染,290.0323,44,2015-10
23,120,东营,1.443,343,29,42,57,126,91,轻度污染,259.2333,39,2015-11
24,196,东营,1.919,408,38,67,37,211,157,中度污染,287.6129,75,2015-12
25,124,东营,1.361,292,41,52,47,135,92,轻度污染,233.3871,65,2016-01
26,88,东营,1.052,168,36,42,74,104,62,良,206.5862,60,2016-02
27,113,东营,1.1,208,51,51,113,157,74,轻度污染,265.8065,57,2016-03
28,119,东营,0.91,368,56,39,143,169,66,轻度污染,296.0000,50,2016-04
29,106,东营,0.913,201,55,37,157,115,53,轻度污染,287.0000,46,2016-05
30,118,东营,1.053,198,75,29,178,92,47,轻度污染,322.1000,45,2016-06
31,93,东营,1.01,175,49,21,147,82,43,良,284.3226,34,2016-07
32,80,东营,1.01,167,37,25,126,69,32,良,247.5806,27,2016-08
33,95,东营,1.093,190,44,32,149,102,52,良,266.1333,34,2016-09
34,89,东营,1.11,206,43,39,105,109,59,良,269.2258,35,2016-10
35,114,东营,1.45,207,36,54,64,146,83,轻度污染,260.6000,53,2016-11
36,142,东营,1.948,258,40,55,48,164,107,轻度污染,251.2258,67,2016-12
37,128,东营,1.887,335,37,48,58,149,96,轻度污染,217.0968,55,2017-01
38,117,东营,1.307,240,41,43,81,128,84,轻度污染,197.5357,57,2017-02
39,96,东营,1.248,192,52,40,108,121,67,良,211.2258,56,2017-03
40,97,东营,1.187,152,60,33,139,130,59,良,244.1000,51,2017-04
41,130,东营,0.961,215,62,27,175,77,35,轻度污染,210.3226,51,2017-05
42,128,东营,0.947,203,65,28,188,96,46,轻度污染,232.0667,30,2017-06
43,96,东营,0.99,178,50,22,150,79,39,良,225.4194,20,2017-07
44,74,东营,0.781,151,37,21,127,60,30,良,179.7097,15,2017-08
45,97,东营,0.93,161,36,36,150,96,43,良,230.9667,22,2017-09
46,86,东营,1.103,180,29,45,97,102,55,良,199.4516,25,2017-10
47,88,东营,1.03,170,43,50,65,120,52,良,191.0000,32,2017-11
48,108,东营,1.261,245,35,52,31,134,71,轻度污染,163.1613,43,2017-12
49,104,东营,1.261,275,34,47,50,133,72,轻度污染,193.5161,36,2018-01
50,89,东营,0.993,172,0,32,80,105,59,良,180.5000,33,2018-02
51,99,东营,0.939,202,47,38,122,124,65,良,242.8065,25,2018-03
52,101,东营,0.727,188,0,32,147,126,48,轻度污染,255.2333,23,2018-04
53,102,东营,0.752,181,0,29,166,88,37,轻度污染,255.5484,21,2018-05
54,134,东营,0.777,201,61,25,196,83,38,轻度污染,282.0000,20,2018-06
55,92,东营,0.516,173,33,17,147,56,30,良,254.4516,11,2018-07
56,95,东营,0.519,158,28,17,145,49,23,良,178.4516,9,2018-08
57,81,东营,0.58,135,41,33,130,63,29,良,200.4667,12,2018-09
58,79,东营,0.671,142,37,48,113,91,41,良,192.1613,17,2018-10
59,112,东营,0.917,286,36,51,75,138,73,轻度污染,272.0333,17,2018-11
60,87,东营,0.839,166,33,48,52,107,57,良,217.5806,20,2018-12
61,165,东营,1.475,235,95,76,40,173,126,中度污染,300.2500,30,2019-01
