index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,233,临夏州,3.2,233,233,125,57,292,183,重度污染,361.0000,129,2014-12
1,218,临夏州,3.129,374,99,123,65,262,173,重度污染,330.9677,132,2015-01
2,142,临夏州,2.118,277,65,87,74,178,99,轻度污染,279.7143,109,2015-02
3,111,临夏州,1.34,479,51,58,97,159,59,轻度污染,255.8667,56,2015-03
4,78,临夏州,0.953,126,53,64,122,91,36,良,205.0333,21,2015-04
5,81,临夏州,0.729,145,59,60,114,102,48,良,217.2903,12,2015-05
6,75,临夏州,0.837,101,54,54,123,66,36,良,238.6333,11,2015-06
7,71,临夏州,0.784,90,47,24,123,46,18,良,213.5806,7,2015-07
8,60,临夏州,0.765,72,47,28,109,46,19,良,164.3226,9,2015-08
9,51,临夏州,0.843,67,38,26,89,41,24,良,119.7000,9,2015-09
10,50,临夏州,0.884,74,35,30,92,34,16,良,81.4194,13,2015-10
11,57,临夏州,1.257,80,33,42,72,56,30,良,139.2000,26,2015-11
12,62,临夏州,2.026,98,38,45,77,62,34,良,113.1290,32,2015-12
13,68,临夏州,1.939,97,32,37,72,77,46,良,146.2903,30,2016-01
14,78,临夏州,1.659,167,24,33,69,102,44,良,188.3793,24,2016-02
15,82,临夏州,1.355,255,48,39,114,95,35,良,171.2581,19,2016-03
16,71,临夏州,1.143,112,55,26,121,70,31,良,190.1000,20,2016-04
17,89,临夏州,0.961,168,52,30,121,113,48,良,249.6129,18,2016-05
18,75,临夏州,0.94,97,51,30,127,61,32,良,224.1333,14,2016-06
19,65,临夏州,1.006,115,40,21,114,47,26,良,189.7419,12,2016-07
20,53,临夏州,1.271,74,37,25,85,53,32,良,147.1935,14,2016-08
21,55,临夏州,1.137,68,44,34,91,55,24,良,130.3667,15,2016-09
22,69,临夏州,1.532,105,40,40,74,76,38,良,231.7419,16,2016-10
23,96,临夏州,1.96,163,56,63,72,123,64,良,246.8667,39,2016-11
24,107,临夏州,2.506,216,61,83,71,132,66,轻度污染,214.8387,46,2016-12
25,169,临夏州,2.377,500,63,51,81,131,84,中度污染,296.1613,53,2017-01
26,107,临夏州,1.75,207,57,44,101,121,80,轻度污染,263.8929,47,2017-02
27,75,临夏州,1.1,118,52,32,124,64,45,良,187.0645,36,2017-03
28,77,临夏州,0.807,285,34,21,119,49,35,良,177.0000,24,2017-04
29,68,临夏州,0.752,129,40,16,115,50,30,良,169.3226,16,2017-05
30,68,临夏州,0.7,103,36,15,119,42,21,良,156.7667,18,2017-06
31,77,临夏州,0.668,101,32,13,131,37,17,良,142.8065,17,2017-07
32,58,临夏州,0.755,91,34,14,106,31,15,良,143.5484,17,2017-08
33,47,临夏州,0.807,60,34,18,90,39,17,优,162.3667,17,2017-09
34,54,临夏州,0.932,104,30,21,79,59,28,良,191.4839,17,2017-10
35,88,临夏州,1.687,109,71,40,69,120,55,良,256.0667,37,2017-11
36,152,临夏州,2.723,677,59,45,36,172,85,中度污染,262.8387,42,2017-12
37,76,临夏州,2.016,109,43,35,70,97,51,良,173.2258,36,2018-01
38,75,临夏州,1.557,129,0,29,87,98,48,良,182.2857,36,2018-02
39,47,临夏州,0.832,144,0,25,100,48,28,优,100.1290,20,2018-03
40,53,临夏州,0.683,99,0,20,111,63,28,良,140.8000,17,2018-04
41,66,临夏州,0.552,97,0,16,131,59,28,良,182.1290,16,2018-05
42,81,临夏州,0.66,104,51,12,135,62,34,良,192.4333,14,2018-06
43,65,临夏州,0.771,91,46,11,113,52,33,良,236.6129,13,2018-07
44,63,临夏州,0.803,89,35,11,105,56,39,良,241.7419,14,2018-08
45,52,临夏州,0.863,73,34,12,91,52,26,良,229.2333,14,2018-09
46,69,临夏州,1.065,112,42,19,87,84,45,良,256.2581,20,2018-10
47,89,临夏州,1.457,480,40,28,73,104,51,良,191.8667,31,2018-11
48,120,临夏州,1.574,219,44,29,64,137,85,轻度污染,287.9355,37,2018-12
49,137,临夏州,2.25,192,80,38,71,159,101,轻度污染,269.7500,41,2019-01
