index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,198,临安,1.0,198,198,41,94,121,148,中度污染,178.0000,25,2013-12
1,157,临安,1.235,486,59,37,85,170,124,中度污染,105.7097,23,2014-01
2,94,临安,1.136,253,36,31,76,93,68,良,93.1071,11,2014-02
3,95,临安,0.79,212,47,35,92,121,67,良,96.8065,16,2014-03
4,93,临安,0.8,152,42,37,94,120,66,良,108.2667,12,2014-04
5,93,临安,0.781,153,58,31,105,124,63,良,105.9032,14,2014-05
6,85,临安,0.793,146,44,24,104,101,58,良,101.5000,10,2014-06
7,68,临安,0.7,107,38,22,99,78,39,良,83.1613,9,2014-07
8,60,临安,0.871,109,29,19,96,65,39,良,74.2258,11,2014-08
9,82,临安,0.883,180,35,21,118,71,45,良,115.4667,12,2014-09
10,115,临安,0.884,185,44,22,165,98,56,轻度污染,136.6129,16,2014-10
11,89,临安,1.08,166,36,40,79,113,64,良,96.7333,21,2014-11
12,94,临安,0.894,119,60,56,110,121,66,良,110.2581,28,2014-12
13,120,临安,1.139,256,57,47,128,134,87,轻度污染,227.5484,22,2015-01
14,89,临安,0.925,187,27,22,57,102,65,良,172.6786,12,2015-02
15,73,临安,0.848,121,36,23,39,89,48,良,172.0323,12,2015-03
16,71,临安,0.79,118,28,23,55,91,45,良,163.4333,13,2015-04
17,89,临安,0.826,171,43,25,103,110,54,良,225.4516,12,2015-05
18,69,临安,0.793,113,47,24,108,76,33,良,206.9667,8,2015-06
19,65,临安,0.689,135,28,20,106,69,31,良,173.5000,8,2015-07
20,75,临安,0.707,124,42,22,125,76,35,良,217.7857,10,2015-08
21,82,临安,0.8,130,45,27,136,76,40,良,260.6667,10,2015-09
22,80,临安,0.819,117,51,33,124,100,48,良,217.5806,13,2015-10
23,64,临安,1.04,99,33,41,81,71,38,良,165.1000,12,2015-11
24,101,临安,1.2,222,60,52,92,128,71,轻度污染,212.3548,15,2015-12
25,93,临安,1.081,189,51,53,88,108,63,良,204.2258,12,2016-01
26,82,临安,0.69,158,44,37,93,102,55,良,191.8966,9,2016-02
27,96,临安,0.832,224,48,47,103,133,65,良,217.2258,10,2016-03
28,79,临安,0.76,175,51,36,100,93,46,良,197.4667,6,2016-04
29,68,临安,0.787,96,44,28,100,78,38,良,160.2903,5,2016-05
30,60,临安,0.7,99,30,27,86,66,31,良,157.2000,5,2016-06
31,47,临安,0.603,82,31,20,58,49,25,优,112.3548,6,2016-07
32,51,临安,0.661,69,40,23,85,49,28,良,130.1613,4,2016-08
33,66,临安,0.66,280,21,17,93,60,34,良,151.6333,52,2016-09
34,134,临安,0.771,287,29,16,64,67,35,轻度污染,252.0645,484,2016-10
35,67,临安,0.893,124,20,24,39,79,45,良,138.5333,7,2016-11
36,85,临安,0.948,142,36,32,45,101,60,良,154.6452,13,2016-12
37,86,临安,0.971,195,40,32,57,93,60,良,155.1935,8,2017-01
38,77,临安,0.839,124,26,24,50,86,55,良,169.2857,11,2017-02
39,71,临安,0.655,133,28,29,49,85,47,良,173.1613,13,2017-03
40,70,临安,0.803,133,34,25,68,87,45,良,147.7667,16,2017-04
41,65,临安,0.729,108,37,25,76,79,40,良,112.4839,15,2017-05
42,52,临安,0.65,92,25,22,58,56,30,良,116.2000,14,2017-06
43,51,临安,0.613,132,26,14,77,43,22,良,107.7742,11,2017-07
44,48,临安,0.635,82,30,17,90,38,20,优,122.4839,12,2017-08
45,69,临安,0.7,115,28,20,107,58,33,良,193.3000,10,2017-09
46,62,临安,0.69,109,33,23,93,67,35,良,189.3871,10,2017-10
47,77,临安,0.79,124,32,35,82,94,49,良,192.8667,10,2017-11
48,88,临安,1.003,160,55,42,38,111,61,良,193.1290,11,2017-12
49,89,临安,0.997,182,43,45,64,94,62,良,183.9355,13,2018-01
50,74,临安,0.836,149,32,21,84,87,49,良,159.8571,10,2018-02
51,66,临安,0.742,115,32,26,107,71,38,良,130.9000,10,2018-03
52,88,临安,0.733,145,42,25,131,87,42,良,203.8333,12,2018-04
53,69,临安,0.758,122,32,23,114,57,34,良,142.3000,8,2018-05
54,71,临安,0.633,129,33,21,120,47,31,良,152.2333,6,2018-06
55,55,临安,0.548,111,28,16,100,35,20,良,156.2258,6,2018-07
56,51,临安,0.606,104,20,18,91,38,22,良,107.1613,5,2018-08
57,54,临安,0.643,100,0,22,91,46,25,良,180.5926,6,2018-09
58,67,临安,0.752,97,44,36,91,77,35,良,201.8387,7,2018-10
59,63,临安,0.85,96,28,39,48,75,36,良,177.0667,6,2018-11
60,55,临安,0.881,79,0,17,15,69,35,良,144.2800,2,2018-12
61,65,临安,1.2,128,0,20,5,64,47,良,133.3333,2,2019-01
