index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,127,临汾,4.014,486,22,23,37,99,100,轻度污染,47.6207,55,2013-12
1,114,临汾,3.445,251,33,24,47,125,85,轻度污染,76.7742,76,2014-01
2,84,临汾,2.607,148,30,25,40,95,60,良,80.7143,40,2014-02
3,89,临汾,2.674,135,48,32,67,111,61,良,88.9355,48,2014-03
4,100,临汾,2.977,203,49,37,88,122,71,轻度污染,121.3667,47,2014-04
5,94,临汾,2.255,149,46,35,76,121,65,良,101.9677,55,2014-05
6,86,临汾,2.027,161,43,35,74,95,62,良,106.5667,44,2014-06
7,78,临汾,1.448,154,32,31,96,78,56,良,93.9355,51,2014-07
8,68,临汾,1.994,173,21,26,67,69,48,良,78.1290,33,2014-08
9,56,临汾,2.1,83,21,29,46,58,39,良,66.8333,24,2014-09
10,90,临汾,2.261,132,26,43,47,105,66,良,94.5161,47,2014-10
11,100,临汾,2.197,279,33,37,45,90,73,良,98.5333,115,2014-11
12,81,临汾,3.045,238,21,27,33,74,59,良,70.1935,125,2014-12
13,152,临汾,3.868,328,51,49,38,166,116,中度污染,269.1935,260,2015-01
14,81,临汾,3.211,155,48,40,61,101,54,良,167.2143,138,2015-02
15,81,临汾,2.368,133,38,41,64,98,57,良,192.6129,57,2015-03
16,65,临汾,2.043,84,40,30,77,74,44,良,135.2333,35,2015-04
17,66,临汾,1.742,94,41,29,96,75,42,良,153.2258,36,2015-05
18,56,临汾,1.807,118,21,25,84,56,30,良,149.0333,24,2015-06
19,68,临汾,1.145,105,41,20,118,53,33,良,192.3226,18,2015-07
20,57,临汾,1.616,100,39,21,97,57,32,良,147.3548,17,2015-08
21,59,临汾,2.013,88,37,23,81,59,38,良,166.0000,16,2015-09
22,83,临汾,2.465,156,45,36,70,94,57,良,204.7742,22,2015-10
23,115,临汾,2.71,300,35,39,34,128,88,轻度污染,270.3000,64,2015-11
24,143,临汾,3.365,238,28,43,28,155,108,轻度污染,255.0000,75,2015-12
25,132,临汾,3.955,288,43,38,37,140,97,轻度污染,258.1613,70,2016-01
26,100,临汾,3.397,220,50,25,66,97,66,良,240.7586,54,2016-02
27,86,临汾,2.858,147,34,29,84,113,56,良,192.5484,30,2016-03
28,80,临汾,2.767,143,52,26,95,104,47,良,215.0667,23,2016-04
29,87,临汾,2.3,123,55,25,124,106,54,良,243.6774,40,2016-05
30,82,临汾,2.273,108,58,24,123,94,46,良,248.5000,57,2016-06
31,63,临汾,1.31,105,33,18,93,69,32,良,189.9032,32,2016-07
32,65,临汾,1.21,92,32,20,112,62,29,良,201.8387,30,2016-08
33,63,临汾,1.39,106,39,32,99,68,36,良,168.5333,28,2016-09
34,56,临汾,1.413,103,32,36,64,60,30,良,168.4516,39,2016-10
35,219,临汾,3.617,365,65,65,43,261,173,重度污染,349.4667,241,2016-11
36,251,临汾,3.768,433,78,66,41,277,206,重度污染,340.8065,351,2016-12
37,241,临汾,4.013,500,93,57,49,205,157,重度污染,330.2258,311,2017-01
38,161,临汾,2.739,346,41,45,87,148,106,中度污染,295.8214,167,2017-02
39,100,临汾,1.777,161,50,36,100,118,74,良,246.9677,67,2017-03
40,96,临汾,1.71,147,52,37,129,113,59,良,255.9667,40,2017-04
41,128,临汾,1.445,196,63,31,183,87,49,轻度污染,215.7097,30,2017-05
42,158,临汾,1.44,211,65,23,225,95,58,中度污染,267.5000,34,2017-06
43,140,临汾,1.461,208,40,19,201,86,54,轻度污染,255.9032,29,2017-07
44,117,临汾,1.713,195,37,22,171,87,57,轻度污染,273.8065,32,2017-08
45,103,临汾,1.993,158,60,38,141,97,57,轻度污染,246.2667,36,2017-09
46,78,临汾,2.019,206,33,40,64,87,54,良,210.3226,31,2017-10
47,116,临汾,2.317,225,53,50,48,137,84,轻度污染,245.4667,59,2017-11
48,141,临汾,2.694,272,22,50,26,152,102,轻度污染,236.0000,115,2017-12
49,181,临汾,3.016,408,51,56,43,197,142,中度污染,281.8065,127,2018-01
50,141,临汾,2.154,363,39,42,85,162,103,轻度污染,255.2143,123,2018-02
51,118,临汾,1.748,216,52,42,120,144,83,轻度污染,260.7419,46,2018-03
52,110,临汾,1.44,181,47,37,121,149,57,轻度污染,226.1000,30,2018-04
53,116,临汾,1.358,185,43,36,159,123,51,轻度污染,266.7419,27,2018-05
54,152,临汾,1.283,203,64,29,215,89,43,中度污染,307.8000,27,2018-06
55,116,临汾,1.239,202,45,19,175,76,51,轻度污染,295.5806,18,2018-07
56,133,临汾,1.235,201,54,22,193,74,46,轻度污染,254.9677,16,2018-08
57,80,临汾,1.253,140,41,31,117,67,35,良,224.6333,12,2018-09
58,83,临汾,1.245,199,47,50,115,98,44,良,223.2903,19,2018-10
59,126,临汾,2.277,254,46,60,59,144,92,轻度污染,300.9333,38,2018-11
60,135,临汾,2.258,291,42,58,40,164,95,轻度污染,292.0000,75,2018-12
61,233,临汾,2.625,324,186,72,38,234,184,重度污染,335.2500,98,2019-01
