index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,243,临沂,3.661,499,84,91,21,313,194,重度污染,92.9286,136,2013-12
1,215,临沂,2.932,393,58,77,31,252,172,重度污染,146.1290,108,2014-01
2,130,临沂,1.921,301,40,48,45,137,99,轻度污染,118.3929,62,2014-02
3,156,临沂,1.739,396,80,73,59,209,111,中度污染,159.7742,80,2014-03
4,127,临沂,1.503,235,45,65,67,180,90,轻度污染,138.5667,60,2014-04
5,124,临沂,1.448,255,52,62,97,185,85,轻度污染,146.6774,68,2014-05
6,112,临沂,1.373,225,40,47,134,148,75,轻度污染,138.1000,29,2014-06
7,105,临沂,1.558,168,43,42,154,125,54,轻度污染,138.6452,37,2014-07
8,96,临沂,1.59,174,45,48,115,140,56,良,139.8065,46,2014-08
9,85,临沂,1.293,139,36,43,77,120,46,良,129.2333,42,2014-09
10,108,临沂,1.455,263,36,57,68,148,76,轻度污染,115.6452,55,2014-10
11,158,临沂,1.75,330,56,72,55,194,120,中度污染,154.3333,78,2014-11
12,171,临沂,2.152,420,72,80,33,223,130,中度污染,167.2258,91,2014-12
13,161,临沂,1.929,366,49,64,46,190,125,中度污染,259.5484,66,2015-01
14,135,临沂,1.696,241,44,50,73,167,100,轻度污染,270.8571,53,2015-02
15,129,临沂,1.281,368,68,51,94,171,87,轻度污染,300.3871,43,2015-03
16,105,临沂,1.063,196,41,49,124,139,68,轻度污染,283.7333,38,2015-04
17,106,临沂,1.097,174,53,41,159,131,56,轻度污染,288.4839,32,2015-05
18,123,临沂,1.207,226,44,35,177,120,58,轻度污染,310.1333,27,2015-06
19,96,临沂,1.058,166,43,31,142,100,44,良,266.3226,12,2015-07
20,92,临沂,1.142,168,38,36,139,96,41,良,271.0968,17,2015-08
21,90,临沂,1.16,170,38,41,139,100,45,良,280.3667,24,2015-09
22,132,临沂,1.461,342,43,61,113,175,94,轻度污染,304.3548,34,2015-10
23,111,临沂,1.473,291,29,52,55,134,83,轻度污染,269.3333,30,2015-11
24,169,临沂,1.91,368,54,68,40,216,129,中度污染,287.7742,56,2015-12
25,169,临沂,1.977,398,58,65,45,216,132,中度污染,287.0645,61,2016-01
26,119,临沂,1.586,230,29,44,75,148,87,轻度污染,254.6897,50,2016-02
27,122,临沂,1.316,206,54,51,105,167,83,轻度污染,287.2581,42,2016-03
28,119,临沂,1.33,217,56,45,126,177,80,轻度污染,311.0333,34,2016-04
29,90,临沂,1.045,173,43,35,126,120,54,良,253.4839,27,2016-05
30,86,临沂,1.023,121,54,28,135,94,38,良,253.8667,14,2016-06
31,79,临沂,0.977,141,41,23,126,76,31,良,237.6774,10,2016-07
32,80,临沂,0.897,157,41,24,130,62,25,良,238.9677,12,2016-08
33,94,临沂,1.18,165,28,39,147,97,48,良,255.5000,19,2016-09
34,69,临沂,1.084,134,33,39,76,84,43,良,222.3548,15,2016-10
35,102,临沂,1.3,206,41,54,55,132,73,轻度污染,241.3333,29,2016-11
36,144,临沂,1.787,363,45,64,42,174,111,轻度污染,250.6129,38,2016-12
37,138,临沂,1.745,356,38,53,54,161,107,轻度污染,232.3226,33,2017-01
38,118,临沂,1.304,279,50,48,88,134,87,轻度污染,229.6786,39,2017-02
39,90,临沂,1.09,191,52,49,107,110,63,良,222.7097,27,2017-03
40,97,临沂,1.063,146,56,47,142,128,54,良,252.6000,26,2017-04
41,140,临沂,1.094,451,44,38,179,92,35,轻度污染,256.8710,27,2017-05
42,128,临沂,1.067,200,58,32,189,101,36,轻度污染,248.8333,20,2017-06
43,93,临沂,1.023,198,38,27,142,80,28,良,235.0323,14,2017-07
44,90,临沂,1.006,176,35,29,144,64,25,良,217.1290,11,2017-08
45,83,临沂,1.06,138,34,38,137,79,30,良,211.4333,15,2017-09
46,80,临沂,1.045,200,34,46,96,92,48,良,201.0323,15,2017-10
47,98,临沂,1.17,209,52,57,66,127,66,良,230.2667,25,2017-11
48,127,临沂,1.61,259,38,66,25,157,94,轻度污染,220.9355,39,2017-12
49,136,临沂,1.481,350,50,55,53,155,102,轻度污染,238.3226,35,2018-01
50,99,临沂,1.182,175,41,40,75,116,68,良,223.7143,33,2018-02
51,91,临沂,1.013,162,42,46,108,113,62,良,228.2903,20,2018-03
52,70,临沂,0.923,144,0,41,133,89,34,良,187.9000,18,2018-04
53,93,临沂,0.723,150,0,35,146,98,34,良,243.1935,15,2018-05
54,128,临沂,0.713,203,43,28,187,81,30,轻度污染,269.8667,13,2018-06
55,74,临沂,0.581,127,24,26,122,50,20,良,213.9032,10,2018-07
56,86,临沂,0.587,148,25,24,139,52,22,良,170.1613,10,2018-08
57,78,临沂,0.663,124,37,33,126,70,24,良,235.5667,13,2018-09
58,87,临沂,0.71,166,53,48,113,115,47,良,259.8710,17,2018-10
59,115,临沂,1.02,252,36,50,72,156,82,轻度污染,287.8000,14,2018-11
60,107,临沂,1.19,266,47,52,45,144,72,轻度污染,264.0323,26,2018-12
61,216,临沂,2.15,268,145,77,44,256,170,重度污染,331.2500,62,2019-01
