index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,105,临沧,1.7,105,105,54,79,160,56,轻度污染,253.0000,13,2014-12
1,60,临沧,1.745,92,36,23,85,50,39,良,81.8966,12,2015-01
2,63,临沧,1.085,111,38,20,91,56,42,良,114.5185,18,2015-02
3,79,临沧,0.89,128,41,21,95,64,56,良,196.2667,17,2015-03
4,67,临沧,1.197,120,40,15,107,64,42,良,142.5333,10,2015-04
5,60,临沧,1.458,105,22,13,80,56,35,良,129.4194,7,2015-05
6,31,临沧,0.403,41,22,9,51,28,16,优,28.4000,12,2015-06
7,33,临沧,0.445,59,22,10,52,30,15,优,31.6774,11,2015-07
8,32,临沧,0.383,50,25,11,50,27,13,优,29.0667,18,2015-08
9,34,临沧,0.562,54,24,10,41,30,20,优,37.2759,23,2015-09
10,31,临沧,0.948,52,23,11,48,30,20,优,19.4516,15,2015-10
11,41,临沧,1.54,52,34,17,55,34,21,优,49.7000,18,2015-11
12,44,临沧,1.071,55,32,17,75,42,22,优,49.0323,12,2015-12
13,48,临沧,1.055,78,25,18,78,46,31,优,72.7419,9,2016-01
14,64,临沧,0.966,103,41,14,100,58,42,良,138.6207,11,2016-02
15,83,临沧,0.974,124,35,19,127,77,49,良,206.1290,13,2016-03
16,62,临沧,0.72,102,40,13,69,67,41,良,127.9667,11,2016-04
17,53,临沧,0.681,73,32,10,73,54,34,良,91.1290,10,2016-05
18,34,临沧,0.857,50,27,6,55,31,22,优,33.0333,7,2016-06
19,29,临沧,0.932,34,23,6,39,27,15,优,27.9355,6,2016-07
20,34,临沧,0.81,44,0,6,60,31,17,优,44.4194,14,2016-08
21,37,临沧,1.013,57,0,7,52,34,23,优,49.6333,16,2016-09
22,33,临沧,0.71,48,20,7,56,30,14,优,40.4516,16,2016-10
23,42,临沧,0.667,123,24,17,77,29,14,优,55.5333,9,2016-11
24,40,临沧,0.806,52,28,22,67,38,17,优,18.7419,15,2016-12
25,41,临沧,0.926,88,24,17,74,36,24,优,32.1935,20,2017-01
26,64,临沧,1.136,118,45,20,110,56,40,良,128.9286,20,2017-02
27,76,临沧,1.003,108,52,24,125,66,48,良,201.6452,17,2017-03
28,69,临沧,0.947,121,34,19,116,58,35,良,190.0333,13,2017-04
29,56,临沧,0.823,86,30,16,104,46,26,良,131.8065,15,2017-05
30,37,临沧,0.723,65,26,15,69,31,15,优,109.8333,12,2017-06
31,29,临沧,0.735,49,20,12,52,25,14,优,86.5484,8,2017-07
32,29,临沧,0.865,42,21,11,50,25,16,优,103.3548,7,2017-08
33,27,临沧,0.807,34,21,17,49,25,13,优,51.5333,6,2017-09
34,39,临沧,0.858,48,24,30,62,28,15,优,88.3871,8,2017-10
35,42,临沧,0.967,63,27,31,72,38,19,优,64.2333,12,2017-11
36,46,临沧,1.113,70,25,23,50,44,26,优,65.1613,13,2017-12
37,48,临沧,1.074,67,29,22,79,44,31,优,67.7742,12,2018-01
38,66,临沧,1.05,102,50,16,108,58,41,良,138.7143,11,2018-02
39,77,临沧,1.052,107,55,20,127,75,49,良,202.8065,12,2018-03
40,78,临沧,0.827,115,44,18,132,74,45,良,196.7000,12,2018-04
41,60,临沧,0.761,84,0,15,110,51,29,良,142.7419,11,2018-05
42,39,临沧,0.873,78,20,13,69,35,17,优,52.9333,10,2018-06
43,31,临沧,0.742,48,22,12,60,23,14,优,53.5484,8,2018-07
44,36,临沧,0.948,63,22,11,68,26,19,优,106.1935,8,2018-08
45,28,临沧,0.867,40,21,11,53,23,14,优,70.7667,8,2018-09
46,31,临沧,0.816,39,20,12,57,27,16,优,54.7419,10,2018-10
47,40,临沧,0.937,51,32,15,71,40,22,优,62.7333,13,2018-11
48,50,临沧,0.952,68,38,18,63,51,32,良,125.1613,13,2018-12
49,49,临沧,0.975,52,48,14,63,49,33,优,101.5000,11,2019-01
