index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,92,丹东,1.25,161,40,38,38,109,67,良,36.4667,85,2013-12
1,84,丹东,1.329,157,38,33,45,95,58,良,47.3226,79,2014-01
2,97,丹东,1.579,246,47,30,60,109,67,良,91.7143,67,2014-02
3,73,丹东,0.919,141,47,27,77,85,50,良,63.2581,38,2014-03
4,87,丹东,1.387,201,42,33,99,108,60,良,93.2333,19,2014-04
5,74,丹东,1.155,135,45,27,122,84,42,良,67.4516,16,2014-05
6,74,丹东,1.293,142,43,24,117,66,40,良,84.0000,16,2014-06
7,65,丹东,1.555,105,23,20,111,54,33,良,77.4194,16,2014-07
8,61,丹东,1.545,128,32,23,104,55,33,良,76.1290,19,2014-08
9,56,丹东,1.623,96,34,29,96,55,28,良,67.1667,21,2014-09
10,64,丹东,1.242,94,42,31,90,73,39,良,47.7419,23,2014-10
11,91,丹东,1.903,149,50,41,54,107,65,良,100.0333,63,2014-11
12,91,丹东,1.755,277,38,36,35,105,62,良,82.9032,84,2014-12
13,87,丹东,1.868,178,37,36,36,93,62,良,134.8710,82,2015-01
14,96,丹东,1.607,401,37,31,43,112,60,良,179.0741,67,2015-02
15,80,丹东,1.503,189,44,28,65,97,56,良,192.8387,43,2015-03
16,73,丹东,1.138,95,35,27,95,92,48,良,163.7917,18,2015-04
17,67,丹东,1.119,114,42,24,115,64,36,良,152.3548,15,2015-05
18,66,丹东,1.277,116,28,18,115,52,36,良,182.9333,10,2015-06
19,50,丹东,1.1,91,31,17,82,43,26,优,102.6452,10,2015-07
20,50,丹东,1.187,77,29,13,90,46,26,良,112.0323,9,2015-08
21,52,丹东,1.327,80,34,20,92,49,26,良,127.6333,12,2015-09
22,58,丹东,1.529,135,33,27,74,61,37,良,107.4839,15,2015-10
23,103,丹东,1.653,418,35,33,59,99,79,轻度污染,249.1333,40,2015-11
24,88,丹东,1.926,159,42,36,44,87,64,良,179.0000,78,2015-12
25,80,丹东,1.703,168,40,30,53,89,56,良,165.4333,70,2016-01
26,70,丹东,1.669,119,34,28,65,74,49,良,154.4828,62,2016-02
27,97,丹东,1.461,426,41,28,100,111,60,良,196.9355,39,2016-03
28,79,丹东,1.227,152,51,26,122,94,45,良,203.0333,20,2016-04
29,92,丹东,1.152,122,47,26,147,74,44,良,250.8710,18,2016-05
30,77,丹东,1.3,126,47,18,129,59,40,良,225.2333,15,2016-06
31,49,丹东,1.029,73,29,14,91,40,25,优,125.9355,6,2016-07
32,45,丹东,1.123,95,28,15,81,34,19,优,91.0645,8,2016-08
33,53,丹东,1.373,70,29,20,88,52,30,良,118.3000,12,2016-09
34,56,丹东,1.316,127,31,27,64,60,34,良,158.4839,14,2016-10
35,73,丹东,1.403,133,33,34,50,83,50,良,163.8667,38,2016-11
36,81,丹东,1.539,190,32,37,43,84,59,良,131.6774,55,2016-12
37,80,丹东,1.494,202,37,34,58,84,57,良,139.0323,57,2017-01
38,68,丹东,1.293,144,38,29,80,67,46,良,116.6786,43,2017-02
39,90,丹东,1.216,192,44,32,100,98,66,良,220.8387,32,2017-03
40,67,丹东,0.947,107,46,26,109,76,37,良,175.9000,13,2017-04
41,71,丹东,0.765,137,35,19,116,56,24,良,140.9032,11,2017-05
42,70,丹东,0.737,161,36,17,122,48,25,良,160.9667,10,2017-06
43,52,丹东,0.732,78,30,12,101,33,20,良,114.6452,5,2017-07
44,41,丹东,0.765,84,21,14,79,29,15,优,100.5161,6,2017-08
45,54,丹东,0.81,95,34,20,100,45,24,良,134.1667,9,2017-09
46,52,丹东,0.861,88,28,27,78,55,29,良,140.3871,12,2017-10
47,56,丹东,0.96,107,32,26,58,61,33,良,115.4667,25,2017-11
48,70,丹东,1.497,128,34,31,30,72,44,良,117.7419,35,2017-12
49,57,丹东,1.213,107,33,29,59,59,37,良,86.8387,34,2018-01
50,71,丹东,1.204,178,33,27,78,74,49,良,138.0714,33,2018-02
51,64,丹东,0.871,144,41,21,103,59,38,良,123.3548,20,2018-03
52,69,丹东,0.767,110,45,20,119,62,33,良,150.4333,13,2018-04
53,65,丹东,0.681,115,26,17,115,46,23,良,143.4194,12,2018-05
54,62,丹东,0.663,110,36,14,111,37,22,良,127.3667,13,2018-06
55,36,丹东,0.587,70,16,11,64,28,17,优,78.6452,9,2018-07
56,45,丹东,0.745,80,16,14,86,29,16,优,86.4839,7,2018-08
57,41,丹东,0.687,78,28,20,76,33,16,优,132.0000,11,2018-09
58,44,丹东,0.868,89,22,26,67,44,24,优,100.2258,14,2018-10
59,61,丹东,1.103,97,30,31,50,67,39,良,161.9667,27,2018-11
60,63,丹东,1.071,117,35,29,46,67,41,良,154.9355,31,2018-12
61,61,丹东,1.375,74,41,31,50,63,43,良,137.2500,35,2019-01
