index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,128,丽水,1.127,204,41,57,65,134,93,轻度污染,51.5333,38,2013-12
1,105,丽水,0.935,242,43,47,74,106,79,轻度污染,65.4194,28,2014-01
2,54,丽水,0.657,77,17,32,69,47,37,良,38.9286,15,2014-02
3,69,丽水,0.774,93,28,39,100,67,45,良,54.9032,22,2014-03
4,73,丽水,0.673,128,36,28,119,63,42,良,72.7667,15,2014-04
5,78,丽水,0.697,115,33,31,123,59,40,良,81.5161,14,2014-05
6,76,丽水,0.627,145,29,23,123,51,34,良,84.5000,12,2014-06
7,54,丽水,0.548,89,27,22,101,40,21,良,53.3226,11,2014-07
8,55,丽水,0.623,100,23,26,99,44,28,良,60.9677,13,2014-08
9,58,丽水,0.63,96,25,27,101,53,33,良,70.5333,12,2014-09
10,76,丽水,0.677,105,41,31,122,81,51,良,74.5806,13,2014-10
11,73,丽水,0.857,124,34,39,76,78,52,良,69.9333,16,2014-11
12,88,丽水,0.839,130,53,49,72,100,64,良,91.4194,27,2014-12
13,94,丽水,0.958,199,29,51,72,101,70,良,157.3226,24,2015-01
14,70,丽水,0.736,155,20,28,83,64,48,良,124.6429,9,2015-02
15,70,丽水,0.703,134,24,30,103,52,38,良,160.3548,12,2015-03
16,75,丽水,0.613,112,41,33,121,59,41,良,184.0667,12,2015-04
17,68,丽水,0.655,113,35,25,110,50,37,良,163.6452,9,2015-05
18,49,丽水,0.54,87,33,21,88,39,23,优,109.7667,8,2015-06
19,44,丽水,0.51,70,23,15,86,34,20,优,82.1613,8,2015-07
20,55,丽水,0.539,104,19,15,100,43,26,良,133.0968,8,2015-08
21,64,丽水,0.613,119,29,20,98,51,35,良,178.2333,9,2015-09
22,62,丽水,0.6,106,28,26,91,59,40,良,127.7742,11,2015-10
23,56,丽水,0.833,125,27,33,44,51,36,良,112.9000,12,2015-11
24,70,丽水,0.929,113,40,38,43,62,46,良,129.7742,12,2015-12
25,67,丽水,0.9,189,37,35,46,58,45,良,126.4839,10,2016-01
26,67,丽水,0.672,134,28,21,78,67,45,良,121.2414,8,2016-02
27,68,丽水,0.69,99,28,31,99,71,46,良,130.1290,11,2016-03
28,56,丽水,0.663,102,29,25,92,45,28,良,110.9333,7,2016-04
29,62,丽水,0.671,132,27,18,107,42,27,良,127.1613,7,2016-05
30,48,丽水,0.53,79,25,19,90,35,20,优,100.5000,8,2016-06
31,51,丽水,0.442,97,22,16,93,34,19,良,127.9032,9,2016-07
32,63,丽水,0.545,122,25,14,109,37,21,良,171.0968,6,2016-08
33,56,丽水,0.677,113,18,19,95,44,27,良,125.2333,6,2016-09
34,45,丽水,0.71,89,25,23,67,43,26,优,103.6129,8,2016-10
35,53,丽水,0.827,92,29,29,55,53,36,良,88.9000,12,2016-11
36,75,丽水,0.81,132,30,37,56,74,53,良,117.2258,15,2016-12
37,60,丽水,0.742,147,27,26,69,57,40,良,90.1613,10,2017-01
38,64,丽水,0.664,113,34,23,91,59,44,良,105.2500,12,2017-02
39,58,丽水,0.61,104,35,26,90,52,35,良,86.1935,11,2017-03
40,65,丽水,0.65,102,26,23,112,56,33,良,102.8333,11,2017-04
41,68,丽水,0.565,133,39,17,120,49,29,良,97.1935,9,2017-05
42,47,丽水,0.623,77,27,21,86,33,20,优,80.9667,6,2017-06
43,56,丽水,0.545,135,20,16,100,37,20,良,85.7742,9,2017-07
44,55,丽水,0.619,78,25,16,103,35,19,良,76.7742,8,2017-08
45,63,丽水,0.75,109,33,18,115,40,24,良,108.1667,7,2017-09
46,61,丽水,0.939,104,30,23,103,48,32,良,138.7097,9,2017-10
47,59,丽水,1.08,101,32,32,70,50,38,良,103.7333,10,2017-11
48,81,丽水,1.142,160,28,40,37,81,62,良,127.1613,9,2017-12
49,64,丽水,0.919,147,25,33,55,57,41,良,102.1935,7,2018-01
50,63,丽水,0.661,115,22,20,89,55,39,良,108.2143,7,2018-02
51,56,丽水,0.619,80,30,26,94,44,27,良,96.0645,6,2018-03
52,68,丽水,0.623,107,0,23,118,59,33,良,150.2000,8,2018-04
53,60,丽水,0.616,101,37,19,109,43,24,良,125.2903,6,2018-05
54,54,丽水,0.57,102,31,18,97,35,20,良,38.0667,6,2018-06
55,47,丽水,0.494,106,23,14,89,29,15,优,79.5806,6,2018-07
56,52,丽水,0.548,84,23,16,96,34,19,良,75.9032,6,2018-08
57,47,丽水,0.523,90,22,17,87,35,18,优,100.9000,6,2018-09
58,62,丽水,0.597,103,28,24,103,47,29,良,114.4839,8,2018-10
59,45,丽水,0.717,70,28,27,55,44,26,优,77.8333,7,2018-11
60,56,丽水,0.855,110,22,31,39,52,35,良,126.5484,7,2018-12
61,60,丽水,1.05,74,49,34,16,54,43,良,132.7500,6,2019-01
