index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,52,丽江,1.4,52,52,25,88,53,23,良,54.0000,18,2014-12
1,39,丽江,0.923,55,30,10,76,32,14,优,24.3871,8,2015-01
2,41,丽江,0.736,50,37,8,82,30,13,优,35.3214,6,2015-02
3,48,丽江,0.771,62,41,10,94,42,16,优,60.1290,7,2015-03
4,53,丽江,0.453,69,42,11,102,34,13,良,73.8667,8,2015-04
5,55,丽江,0.455,92,40,9,105,34,15,良,102.5161,10,2015-05
6,42,丽江,0.513,61,28,9,80,32,16,优,76.1000,10,2015-06
7,47,丽江,0.565,78,24,14,90,27,15,优,92.4194,9,2015-07
8,37,丽江,1.01,45,28,14,69,30,17,优,44.6774,7,2015-08
9,34,丽江,0.917,49,28,13,62,30,18,优,34.0667,5,2015-09
10,36,丽江,0.758,51,27,16,71,25,16,优,32.1613,7,2015-10
11,34,丽江,0.493,57,24,14,65,26,17,优,32.6333,8,2015-11
12,39,丽江,0.855,58,28,13,67,30,19,优,37.5806,7,2015-12
13,36,丽江,0.597,42,26,12,70,26,18,优,21.9677,10,2016-01
14,41,丽江,0.728,50,30,8,76,31,22,优,39.0690,7,2016-02
15,46,丽江,0.687,67,34,12,90,27,18,优,39.3871,8,2016-03
16,41,丽江,0.517,60,22,12,80,26,16,优,37.5000,10,2016-04
17,43,丽江,0.603,62,26,12,84,26,16,优,42.3548,8,2016-05
18,29,丽江,0.527,59,20,10,50,23,15,优,19.9333,10,2016-06
19,29,丽江,0.526,43,20,10,51,22,16,优,29.4516,7,2016-07
20,49,丽江,0.629,72,30,13,95,22,14,优,122.0000,10,2016-08
21,35,丽江,0.633,63,0,10,69,24,15,优,47.0000,12,2016-09
22,39,丽江,0.51,55,26,14,77,21,13,优,67.1290,11,2016-10
23,42,丽江,0.767,73,25,14,82,23,12,优,59.3000,11,2016-11
24,42,丽江,0.584,57,32,15,84,27,13,优,25.3226,10,2016-12
25,44,丽江,0.519,49,35,14,88,21,13,优,39.6774,9,2017-01
26,42,丽江,0.471,48,37,13,85,21,13,优,21.9643,10,2017-02
27,47,丽江,0.439,60,35,14,95,23,13,优,24.2903,11,2017-03
28,58,丽江,0.593,94,36,11,108,25,14,良,39.5667,10,2017-04
29,54,丽江,0.59,70,35,11,103,25,14,良,33.7742,11,2017-05
30,49,丽江,0.59,85,29,10,93,24,11,优,59.6667,10,2017-06
31,44,丽江,0.665,75,25,12,84,29,11,优,85.1613,12,2017-07
32,41,丽江,0.894,60,26,12,77,30,12,优,92.9032,14,2017-08
33,32,丽江,0.833,46,22,13,61,24,11,优,59.6667,12,2017-09
34,38,丽江,0.948,56,20,18,75,28,13,优,63.1613,11,2017-10
35,42,丽江,0.893,50,32,23,84,29,15,优,35.9000,11,2017-11
36,47,丽江,0.971,70,23,26,53,45,23,优,54.4839,12,2017-12
37,52,丽江,0.765,67,35,17,89,49,28,良,88.0323,11,2018-01
38,51,丽江,0.9,77,0,9,100,39,14,良,71.8571,11,2018-02
39,61,丽江,0.903,79,44,11,112,46,19,良,123.5484,12,2018-03
40,63,丽江,0.923,83,37,11,115,47,15,良,134.5000,14,2018-04
41,50,丽江,0.781,80,20,11,96,32,11,优,90.2258,14,2018-05
42,38,丽江,0.623,66,20,13,73,30,11,优,50.0667,13,2018-06
43,34,丽江,0.616,52,23,13,67,27,13,优,59.0645,12,2018-07
44,42,丽江,0.852,59,23,13,80,33,16,优,154.1290,12,2018-08
45,27,丽江,0.863,35,20,11,50,22,15,优,62.3667,9,2018-09
46,33,丽江,0.784,50,20,11,63,26,14,优,52.6774,6,2018-10
47,40,丽江,0.757,52,30,14,73,38,17,优,61.9333,7,2018-11
48,36,丽江,0.761,48,30,13,71,30,14,优,54.1290,7,2018-12
49,37,丽江,0.65,37,36,12,73,31,14,优,36.0000,7,2019-01
