index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,138,乌鲁木齐,2.55,296,55,70,11,145,106,轻度污染,61.7667,37,2013-12
1,151,乌鲁木齐,2.858,289,58,67,16,185,114,中度污染,108.0645,50,2014-01
2,109,乌鲁木齐,2.475,201,31,74,39,123,81,轻度污染,112.0714,50,2014-02
3,127,乌鲁木齐,1.994,264,41,76,55,158,90,轻度污染,128.4194,40,2014-03
4,125,乌鲁木齐,0.807,402,41,45,58,179,45,轻度污染,111.8571,16,2014-04
5,106,乌鲁木齐,0.69,186,36,46,72,162,37,轻度污染,119.5161,13,2014-05
6,80,乌鲁木齐,0.557,134,53,44,94,111,35,良,98.0000,14,2014-06
7,86,乌鲁木齐,0.619,122,54,44,102,122,30,良,114.7419,15,2014-07
8,96,乌鲁木齐,0.729,208,54,51,93,141,35,良,138.0000,17,2014-08
9,104,乌鲁木齐,0.897,149,41,55,62,158,47,轻度污染,155.7333,21,2014-09
10,97,乌鲁木齐,1.206,155,30,58,35,144,55,良,113.2903,24,2014-10
11,81,乌鲁木齐,1.123,142,20,32,21,111,52,良,87.3333,20,2014-11
12,179,乌鲁木齐,2.484,325,38,68,14,216,140,中度污染,169.0645,44,2014-12
13,154,乌鲁木齐,2.758,302,59,78,18,169,119,中度污染,262.0968,39,2015-01
14,167,乌鲁木齐,2.682,357,45,78,35,207,126,中度污染,277.6429,33,2015-02
15,96,乌鲁木齐,1.51,236,34,50,44,116,65,良,221.7419,19,2015-03
16,91,乌鲁木齐,0.937,253,35,42,65,127,47,良,231.1333,12,2015-04
17,88,乌鲁木齐,0.781,159,35,40,79,126,41,良,234.6452,10,2015-05
18,72,乌鲁木齐,0.707,110,41,38,97,93,29,良,219.4667,8,2015-06
19,86,乌鲁木齐,0.742,119,50,38,123,118,33,良,265.9677,9,2015-07
20,77,乌鲁木齐,0.645,130,39,40,112,96,29,良,233.8387,9,2015-08
21,63,乌鲁木齐,0.65,98,30,36,80,77,24,良,183.2000,10,2015-09
22,82,乌鲁木齐,1.006,144,34,47,41,111,45,良,208.1290,13,2015-10
23,97,乌鲁木齐,1.707,204,44,51,17,111,69,良,248.0667,11,2015-11
24,188,乌鲁木齐,2.845,377,43,72,16,220,147,中度污染,291.2258,16,2015-12
25,231,乌鲁木齐,3.165,432,123,82,16,257,185,重度污染,342.9032,28,2016-01
26,245,乌鲁木齐,3.448,398,55,90,32,287,201,重度污染,342.6552,32,2016-02
27,112,乌鲁木齐,1.781,209,48,60,50,130,79,轻度污染,237.4516,19,2016-03
28,65,乌鲁木齐,0.687,151,34,40,64,81,24,良,146.1667,9,2016-04
29,58,乌鲁木齐,0.61,91,30,35,68,67,25,良,129.8710,7,2016-05
30,61,乌鲁木齐,0.527,85,45,37,93,67,25,良,165.8333,6,2016-06
31,63,乌鲁木齐,0.59,102,36,37,110,65,24,良,201.2903,7,2016-07
32,66,乌鲁木齐,0.677,95,40,46,103,78,26,良,209.3871,10,2016-08
33,65,乌鲁木齐,0.803,83,41,48,84,76,28,良,188.6000,13,2016-09
34,65,乌鲁木齐,1.055,119,27,44,41,68,43,良,215.9032,12,2016-10
35,105,乌鲁木齐,1.787,253,40,56,31,110,75,轻度污染,229.1667,14,2016-11
36,181,乌鲁木齐,2.487,347,77,64,20,184,142,中度污染,298.2903,16,2016-12
37,276,乌鲁木齐,3.31,407,169,90,28,237,226,重度污染,346.2258,30,2017-01
38,217,乌鲁木齐,2.696,405,50,80,56,169,165,重度污染,307.8214,23,2017-02
39,132,乌鲁木齐,1.606,244,67,55,62,113,101,轻度污染,274.3226,12,2017-03
40,55,乌鲁木齐,0.843,85,33,36,75,60,27,良,156.6667,10,2017-04
41,63,乌鲁木齐,0.803,103,35,34,92,80,24,良,187.3226,9,2017-05
42,63,乌鲁木齐,0.803,128,45,33,102,61,21,良,218.8000,9,2017-06
43,72,乌鲁木齐,0.845,97,53,36,124,73,22,良,251.7419,9,2017-07
44,66,乌鲁木齐,0.845,149,37,33,113,54,18,良,212.1613,8,2017-08
45,67,乌鲁木齐,0.857,101,38,42,98,81,23,良,234.6000,9,2017-09
46,78,乌鲁木齐,1.261,124,36,54,64,97,45,良,223.3226,14,2017-10
47,96,乌鲁木齐,1.583,172,37,52,36,105,71,良,220.6333,15,2017-11
48,124,乌鲁木齐,1.948,274,55,49,19,119,92,轻度污染,228.8387,13,2017-12
49,174,乌鲁木齐,2.581,302,67,66,35,168,136,中度污染,290.7097,16,2018-01
50,157,乌鲁木齐,2.368,265,64,67,69,143,120,中度污染,293.5000,16,2018-02
