index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,137,乐山,1.2,137,137,34,81,123,104,轻度污染,324.0000,16,2014-12
1,145,乐山,1.461,259,48,43,33,142,110,轻度污染,259.2581,28,2015-01
2,97,乐山,1.289,267,28,28,62,97,73,良,197.3929,14,2015-02
3,83,乐山,1.087,136,45,36,88,89,59,良,202.9677,24,2015-03
4,77,乐山,1.02,149,33,35,107,84,55,良,172.1333,24,2015-04
5,80,乐山,0.874,151,37,32,129,63,40,良,206.0645,22,2015-05
6,67,乐山,0.883,132,49,29,117,48,30,良,190.6000,22,2015-06
7,69,乐山,0.903,100,32,29,118,52,34,良,196.2581,20,2015-07
8,69,乐山,0.916,149,33,27,105,62,41,良,195.0323,18,2015-08
9,54,乐山,0.95,127,35,27,69,52,35,良,129.5333,15,2015-09
10,83,乐山,1.174,160,39,38,74,87,60,良,200.2903,21,2015-10
11,76,乐山,1.213,117,34,34,40,78,55,良,215.3333,16,2015-11
12,103,乐山,1.235,206,42,39,34,102,76,轻度污染,199.0645,19,2015-12
13,96,乐山,1.29,182,30,38,45,107,71,良,200.8710,17,2016-01
14,98,乐山,1.279,327,37,37,71,101,73,良,231.8621,15,2016-02
15,83,乐山,1.261,128,30,44,82,99,59,良,171.5161,26,2016-03
16,67,乐山,1.1,118,35,38,85,73,44,良,149.3667,21,2016-04
17,75,乐山,0.942,169,34,30,120,70,43,良,178.1613,18,2016-05
18,69,乐山,1.007,121,32,23,121,38,22,良,193.9333,17,2016-06
19,67,乐山,0.829,116,39,24,116,42,26,良,204.4839,17,2016-07
20,78,乐山,0.955,142,34,26,131,58,41,良,250.2581,13,2016-08
21,55,乐山,0.983,84,36,31,89,47,33,良,130.9000,16,2016-09
22,69,乐山,1.006,131,29,34,73,66,48,良,223.5161,16,2016-10
23,112,乐山,1.193,202,35,39,59,120,83,轻度污染,266.0667,19,2016-11
24,131,乐山,1.342,189,65,44,36,140,99,轻度污染,268.2581,18,2016-12
25,162,乐山,1.348,408,44,42,54,164,126,中度污染,286.0323,18,2017-01
26,120,乐山,1.186,220,50,40,67,123,91,轻度污染,237.2857,13,2017-02
27,82,乐山,1.026,132,41,42,80,86,60,良,211.0645,15,2017-03
28,75,乐山,0.81,137,36,34,115,70,45,良,153.0667,15,2017-04
29,94,乐山,0.852,154,43,33,144,73,48,良,201.0645,13,2017-05
30,76,乐山,0.83,119,31,29,125,50,33,良,177.9333,12,2017-06
31,100,乐山,0.832,178,54,24,159,45,31,良,177.0968,10,2017-07
32,65,乐山,0.794,100,24,18,115,33,23,良,143.3548,5,2017-08
33,49,乐山,0.81,76,27,27,71,46,31,优,140.1000,7,2017-09
34,49,乐山,0.835,91,25,30,46,45,32,优,140.9032,7,2017-10
35,81,乐山,0.95,133,40,37,52,84,61,良,190.3000,11,2017-11
36,121,乐山,1.181,225,39,49,26,109,80,轻度污染,231.7419,12,2017-12
37,94,乐山,1.071,208,0,43,52,92,70,良,194.0000,9,2018-01
38,88,乐山,0.857,229,0,34,71,92,65,良,208.5714,7,2018-02
39,79,乐山,0.829,162,35,38,102,83,54,良,189.5484,10,2018-03
40,84,乐山,0.907,140,35,41,124,89,51,良,202.9667,9,2018-04
41,72,乐山,0.687,150,0,36,107,70,44,良,181.7097,9,2018-05
42,55,乐山,0.853,126,32,29,93,42,28,良,99.0000,7,2018-06
43,51,乐山,0.777,85,27,22,94,36,23,良,151.3226,6,2018-07
44,58,乐山,0.903,87,25,24,103,51,33,良,206.6452,6,2018-08
45,42,乐山,0.813,84,23,22,61,38,23,优,165.1667,6,2018-09
46,55,乐山,0.887,129,24,30,40,58,36,良,142.0323,7,2018-10
47,70,乐山,0.83,115,27,31,42,71,50,良,192.9000,6,2018-11
48,89,乐山,1.019,190,25,32,27,91,63,良,237.3871,6,2018-12
49,109,乐山,1.15,122,99,39,25,101,82,轻度污染,240.0000,7,2019-01
