index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,229,九江,1.3,229,229,74,29,199,179,重度污染,184.0000,42,2013-12
1,120,九江,1.077,245,30,47,29,134,88,轻度污染,83.0968,50,2014-01
2,51,九江,0.8,117,10,23,26,51,34,良,31.4286,22,2014-02
3,60,九江,0.813,88,15,27,40,72,35,良,33.0968,28,2014-03
4,55,九江,0.867,95,28,32,46,64,30,良,31.0667,18,2014-04
5,74,九江,0.684,133,28,26,51,95,43,良,68.1613,24,2014-05
6,80,九江,0.86,157,33,20,113,82,50,良,85.5000,22,2014-06
7,55,九江,0.603,95,20,17,84,60,32,良,57.9032,23,2014-07
8,56,九江,0.561,83,32,18,79,65,31,良,65.8710,18,2014-08
9,65,九江,0.623,114,33,23,89,78,40,良,89.7000,23,2014-09
10,81,九江,0.665,116,33,32,116,106,51,良,84.0968,42,2014-10
11,74,九江,0.847,193,24,36,61,91,47,良,65.1000,54,2014-11
12,55,九江,0.939,75,36,41,44,61,29,良,28.7097,66,2014-12
13,93,九江,1.265,191,24,43,51,108,67,良,159.4194,52,2015-01
14,81,九江,1.075,150,24,31,57,90,59,良,154.0357,38,2015-02
15,57,九江,0.881,99,27,28,60,64,35,良,107.5484,37,2015-03
16,63,九江,0.807,88,34,29,87,73,39,良,117.3667,36,2015-04
17,92,九江,0.939,220,33,25,104,90,65,良,205.6452,43,2015-05
18,55,九江,0.743,80,35,18,91,55,31,良,142.9333,36,2015-06
19,62,九江,0.742,102,37,17,105,56,34,良,164.3548,33,2015-07
20,70,九江,0.671,132,33,19,117,65,40,良,200.4194,41,2015-08
21,70,九江,0.68,107,29,22,116,63,40,良,214.6667,40,2015-09
22,81,九江,0.784,148,32,35,100,97,57,良,204.6774,42,2015-10
23,58,九江,0.83,84,33,35,35,55,40,良,133.8333,35,2015-11
24,111,九江,0.974,243,41,40,36,109,81,轻度污染,214.9677,38,2015-12
25,99,九江,0.981,208,42,36,38,93,71,良,211.1290,33,2016-01
26,99,九江,0.948,242,38,30,63,111,71,良,229.6552,36,2016-02
27,97,九江,0.923,268,32,36,69,104,71,良,216.0968,42,2016-03
28,58,九江,0.913,100,36,26,78,60,35,良,106.1000,41,2016-04
29,72,九江,0.903,109,45,25,109,77,44,良,181.4194,41,2016-05
30,75,九江,0.86,137,32,19,124,57,32,良,215.8667,35,2016-06
31,61,九江,0.735,112,22,15,104,57,31,良,182.8387,23,2016-07
32,72,九江,0.974,150,38,18,121,61,32,良,226.2903,17,2016-08
33,77,九江,0.917,134,26,24,125,72,42,良,212.6000,22,2016-09
34,57,九江,0.884,108,29,27,67,50,35,良,163.0968,15,2016-10
35,77,九江,1.057,142,23,37,52,80,55,良,168.0000,24,2016-11
36,108,九江,1.01,213,40,46,61,107,81,轻度污染,212.8387,25,2016-12
37,114,九江,1.071,273,32,37,58,80,74,轻度污染,222.8710,22,2017-01
38,94,九江,0.957,168,45,32,82,78,70,良,197.8571,21,2017-02
39,74,九江,0.761,128,45,31,81,63,52,良,162.2581,18,2017-03
40,78,九江,0.753,130,36,32,112,78,43,良,187.1333,21,2017-04
41,92,九江,0.69,136,41,29,136,69,41,良,197.1613,21,2017-05
42,60,九江,0.667,122,27,21,102,43,30,良,147.1000,19,2017-06
43,64,九江,0.623,131,23,18,112,56,26,良,190.0000,21,2017-07
44,55,九江,0.655,90,26,17,100,46,21,良,143.8065,17,2017-08
45,66,九江,0.717,115,33,21,107,57,27,良,155.2333,17,2017-09
46,62,九江,0.587,112,25,27,102,60,34,良,146.0000,16,2017-10
47,96,九江,0.85,168,40,42,74,97,70,良,210.2333,20,2017-11
48,104,九江,0.945,229,35,48,31,101,77,轻度污染,180.3548,22,2017-12
49,95,九江,0.981,200,25,38,47,75,70,良,190.0323,14,2018-01
50,86,九江,0.818,173,29,32,66,82,62,良,177.6786,13,2018-02
51,64,九江,0.668,112,35,33,81,69,42,良,126.8710,14,2018-03
52,77,九江,0.623,118,25,32,103,97,41,良,187.0000,16,2018-04
53,70,九江,0.658,128,36,23,109,57,29,良,165.7742,13,2018-05
54,72,九江,0.64,160,26,20,122,52,28,良,158.7000,12,2018-06
55,58,九江,0.581,117,31,20,104,48,22,良,174.6774,13,2018-07
56,75,九江,0.61,133,33,17,126,53,25,良,183.4516,11,2018-08
57,70,九江,0.713,128,28,22,118,59,27,良,219.0000,13,2018-09
58,84,九江,0.735,130,57,34,108,79,46,良,237.5161,15,2018-10
59,71,九江,0.72,202,29,35,56,67,50,良,188.6000,12,2018-11
60,86,九江,0.935,245,22,31,42,76,63,良,189.1613,11,2018-12
61,88,九江,0.775,119,63,30,29,72,65,良,201.2500,10,2019-01
