index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,119,五家渠,2.4,119,119,74,19,48,90,轻度污染,294.0000,80,2014-12
1,104,五家渠,2.232,252,29,50,36,104,76,轻度污染,187.3871,48,2015-01
2,92,五家渠,2.089,191,39,41,76,122,59,良,187.4643,43,2015-02
3,60,五家渠,1.442,124,27,27,71,67,36,良,128.4839,17,2015-03
4,71,五家渠,0.743,221,29,27,93,83,38,良,156.4333,13,2015-04
5,76,五家渠,0.565,184,40,27,105,98,39,良,196.1613,10,2015-05
6,60,五家渠,0.507,101,32,23,93,63,28,良,161.2000,8,2015-06
7,71,五家渠,0.503,110,42,29,112,86,38,良,208.6452,10,2015-07
8,73,五家渠,0.574,145,36,28,102,93,31,良,209.5806,11,2015-08
9,59,五家渠,0.62,145,26,22,76,70,32,良,153.7667,9,2015-09
10,81,五家渠,1.332,203,26,29,56,104,53,良,188.1613,12,2015-10
11,95,五家渠,1.64,228,30,33,30,97,69,良,221.1000,13,2015-11
12,233,五家渠,2.365,479,38,57,23,241,197,重度污染,294.1290,23,2015-12
13,240,五家渠,2.581,369,147,56,45,241,193,重度污染,343.6129,34,2016-01
14,273,五家渠,3.0,424,58,60,110,287,225,重度污染,351.4483,38,2016-02
15,129,五家渠,1.574,288,33,31,78,117,95,轻度污染,230.2258,20,2016-03
16,59,五家渠,0.673,193,34,22,85,68,27,良,109.3667,12,2016-04
17,51,五家渠,0.529,70,35,18,91,44,19,良,88.2581,9,2016-05
18,62,五家渠,0.633,85,42,18,112,48,21,良,175.5667,8,2016-06
19,69,五家渠,0.619,105,41,19,121,51,20,良,224.9677,5,2016-07
20,70,五家渠,0.7,135,42,23,111,61,30,良,223.3548,11,2016-08
21,71,五家渠,0.803,108,0,29,94,93,33,良,210.1333,13,2016-09
22,66,五家渠,0.916,209,27,25,55,78,40,良,190.3226,11,2016-10
23,102,五家渠,1.303,268,22,30,36,114,74,轻度污染,206.2333,18,2016-11
24,170,五家渠,2.106,325,68,43,23,208,133,中度污染,279.9355,19,2016-12
25,320,五家渠,3.261,500,137,73,31,341,268,严重污染,333.8387,37,2017-01
26,254,五家渠,2.957,397,32,58,49,299,209,重度污染,303.2857,26,2017-02
27,115,五家渠,1.506,360,50,30,62,135,82,轻度污染,195.9677,13,2017-03
28,57,五家渠,1.18,90,31,27,75,64,24,良,157.0333,10,2017-04
29,65,五家渠,0.858,149,30,27,95,59,23,良,161.2258,9,2017-05
30,65,五家渠,0.84,96,32,26,113,58,19,良,181.7333,9,2017-06
31,73,五家渠,0.687,115,49,29,125,64,19,良,227.0323,8,2017-07
32,62,五家渠,0.745,143,38,28,105,53,15,良,197.9355,8,2017-08
33,66,五家渠,0.823,104,30,34,99,81,23,良,224.3000,9,2017-09
34,84,五家渠,1.339,146,26,48,65,113,49,良,222.6129,15,2017-10
35,97,五家渠,1.52,299,31,45,45,116,68,良,190.9667,15,2017-11
36,136,五家渠,2.097,315,56,44,17,146,103,轻度污染,227.8065,16,2017-12
37,244,五家渠,3.084,468,52,65,34,275,200,重度污染,305.8387,22,2018-01
38,199,五家渠,2.589,384,77,51,63,210,159,中度污染,307.8929,23,2018-02
39,63,五家渠,1.252,182,0,26,63,73,38,良,137.9355,15,2018-03
40,71,五家渠,0.913,141,0,25,110,79,24,良,173.4667,12,2018-04
41,74,五家渠,0.552,296,0,21,119,54,19,良,190.5161,10,2018-05
42,77,五家渠,0.55,100,42,22,130,58,19,良,184.5333,11,2018-06
43,78,五家渠,0.497,116,47,18,132,57,18,良,256.3871,12,2018-07
44,76,五家渠,0.529,175,42,22,124,64,17,良,204.2903,12,2018-08
45,57,五家渠,0.79,100,27,27,89,55,19,良,190.1333,12,2018-09
46,63,五家渠,1.065,120,22,33,66,77,32,良,202.1613,11,2018-10
47,147,五家渠,1.34,500,28,34,46,197,82,轻度污染,252.1000,11,2018-11
48,235,五家渠,2.397,500,67,59,36,314,177,重度污染,334.9355,10,2018-12
49,217,五家渠,2.325,234,195,42,39,262,168,重度污染,328.7500,9,2019-01
