index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,53,亳州,0.6,53,53,48,60,56,28,良,55.0000,33,2014-12
1,104,亳州,1.2,203,54,43,53,96,77,轻度污染,197.7143,36,2015-01
2,92,亳州,1.157,156,49,30,69,91,68,良,192.7857,33,2015-02
3,76,亳州,1.277,130,41,31,71,72,53,良,176.0323,30,2015-03
4,77,亳州,1.16,188,44,35,85,73,53,良,173.9000,27,2015-04
5,73,亳州,0.681,99,50,19,74,81,50,良,184.5806,36,2015-05
6,82,亳州,0.66,182,31,20,91,85,54,良,216.0000,34,2015-06
7,61,亳州,0.384,100,44,25,66,63,41,良,163.0645,31,2015-07
8,70,亳州,0.632,118,40,39,85,72,47,良,197.6774,42,2015-08
9,85,亳州,0.91,135,44,42,87,93,61,良,269.4667,33,2015-09
10,116,亳州,1.229,238,50,63,135,123,80,轻度污染,280.8710,47,2015-10
11,91,亳州,1.21,168,42,40,84,86,61,良,246.7931,40,2015-11
12,118,亳州,1.717,270,58,63,78,115,83,轻度污染,234.9655,52,2015-12
13,111,亳州,1.445,236,48,59,56,114,80,轻度污染,232.7097,37,2016-01
14,93,亳州,1.297,152,37,50,81,87,63,良,222.6897,37,2016-02
15,86,亳州,0.884,148,46,38,120,80,55,良,186.6774,32,2016-03
16,89,亳州,0.813,158,50,28,109,96,61,良,242.1000,22,2016-04
17,86,亳州,0.781,121,60,33,131,82,48,良,239.5484,28,2016-05
18,72,亳州,0.85,119,39,29,117,48,34,良,200.6333,20,2016-06
19,64,亳州,1.013,100,0,25,110,44,35,良,201.8387,14,2016-07
20,80,亳州,1.313,131,45,24,127,59,39,良,257.4516,17,2016-08
21,71,亳州,1.317,122,38,37,106,68,41,良,195.9667,30,2016-09
22,66,亳州,1.155,149,25,29,61,68,43,良,209.0000,20,2016-10
23,103,亳州,1.157,240,40,35,78,113,76,轻度污染,241.7000,30,2016-11
24,158,亳州,1.406,326,59,47,73,160,121,中度污染,283.5161,39,2016-12
25,142,亳州,1.448,280,64,36,72,159,108,轻度污染,269.0968,30,2017-01
26,142,亳州,1.157,266,62,37,100,161,107,轻度污染,286.2500,30,2017-02
27,94,亳州,0.813,170,44,33,113,112,67,良,234.8065,28,2017-03
28,88,亳州,0.857,145,57,24,129,98,50,良,221.2333,18,2017-04
29,112,亳州,0.858,397,50,19,148,73,33,轻度污染,207.1290,13,2017-05
30,120,亳州,0.857,205,55,19,180,76,39,轻度污染,239.2667,13,2017-06
31,84,亳州,0.997,133,35,20,134,60,27,良,171.4516,11,2017-07
32,85,亳州,1.058,126,40,17,142,55,28,良,191.9677,15,2017-08
33,78,亳州,0.95,114,32,24,126,65,38,良,221.3000,18,2017-09
34,88,亳州,1.103,220,31,40,104,89,63,良,237.0968,24,2017-10
35,109,亳州,1.093,198,52,52,88,122,81,轻度污染,237.5667,28,2017-11
36,155,亳州,1.3,334,60,56,37,161,115,中度污染,255.8387,29,2017-12
37,144,亳州,1.113,318,57,45,64,148,109,轻度污染,259.8387,20,2018-01
38,125,亳州,0.936,376,62,30,80,123,86,轻度污染,266.5357,19,2018-02
39,95,亳州,0.816,160,55,29,111,99,68,良,248.6129,15,2018-03
40,76,亳州,0.687,144,0,25,130,87,41,良,194.3333,11,2018-04
41,75,亳州,0.635,158,0,19,142,67,39,良,191.3548,11,2018-05
42,130,亳州,0.607,177,68,17,192,71,37,轻度污染,288.4000,11,2018-06
43,64,亳州,0.555,130,22,14,112,44,22,良,190.4839,10,2018-07
44,74,亳州,0.781,130,34,13,124,54,30,良,220.7097,12,2018-08
45,71,亳州,0.81,111,36,21,115,63,32,良,255.2333,14,2018-09
46,83,亳州,0.713,143,56,39,119,92,45,良,252.3226,12,2018-10
47,110,亳州,1.003,258,33,36,72,125,82,轻度污染,269.0667,8,2018-11
48,109,亳州,1.0,230,48,43,42,120,77,轻度污染,270.1613,9,2018-12
49,189,亳州,1.325,268,132,45,52,168,147,中度污染,304.2500,12,2019-01
