index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,132,佛山,1.36,214,24,70,70,138,100,轻度污染,60.1333,50,2013-12
1,116,佛山,1.477,191,54,70,92,135,88,轻度污染,85.4194,38,2014-01
2,54,佛山,1.232,123,14,42,56,52,38,良,39.1429,18,2014-02
3,64,佛山,1.313,155,22,59,49,66,45,良,43.5484,26,2014-03
4,60,佛山,1.203,94,43,52,70,59,41,良,38.5000,23,2014-04
5,51,佛山,1.013,105,30,49,66,49,31,良,30.7097,21,2014-05
6,68,佛山,0.85,149,31,37,109,53,34,良,66.2333,19,2014-06
7,73,佛山,0.832,157,24,28,120,46,28,良,85.6452,20,2014-07
8,62,佛山,0.777,132,25,26,108,37,22,良,72.1613,21,2014-08
9,77,佛山,0.827,138,24,30,127,46,30,良,111.9000,25,2014-09
10,106,佛山,0.913,165,65,49,155,90,65,轻度污染,131.6774,29,2014-10
11,77,佛山,1.157,153,23,58,87,75,53,良,72.3000,31,2014-11
12,79,佛山,1.142,178,25,62,57,85,57,良,75.0645,35,2014-12
13,79,佛山,1.239,146,25,63,75,87,58,良,128.0000,25,2015-01
14,71,佛山,1.061,145,22,44,75,69,52,良,122.6071,14,2015-02
15,51,佛山,1.126,105,19,44,36,51,35,良,76.0645,14,2015-03
16,62,佛山,0.877,133,25,38,93,53,33,良,120.6000,18,2015-04
17,43,佛山,0.839,103,23,37,65,38,24,优,50.9677,13,2015-05
18,40,佛山,0.67,64,26,27,71,34,20,优,71.4000,15,2015-06
19,63,佛山,0.774,141,32,29,104,47,31,良,163.1613,13,2015-07
20,82,佛山,0.787,146,40,36,123,61,41,良,236.8065,18,2015-08
21,78,佛山,0.853,187,38,30,120,55,38,良,227.7667,15,2015-09
22,77,佛山,0.884,165,23,46,104,78,53,良,189.2581,23,2015-10
23,65,佛山,0.99,123,33,45,71,69,42,良,166.4000,20,2015-11
24,65,佛山,1.087,186,27,42,41,66,43,良,102.1613,17,2015-12
25,57,佛山,1.039,135,28,41,38,51,37,良,85.4516,14,2016-01
26,55,佛山,0.797,97,24,32,65,49,37,良,87.6897,10,2016-02
27,76,佛山,0.929,142,33,58,68,69,47,良,162.5484,16,2016-03
28,62,佛山,0.847,90,38,46,64,51,33,良,130.5000,13,2016-04
29,70,佛山,0.761,155,32,35,109,48,29,良,147.2903,12,2016-05
30,60,佛山,0.657,142,30,31,101,37,21,良,154.2000,11,2016-06
31,68,佛山,0.671,201,27,28,105,43,26,良,174.0968,14,2016-07
32,85,佛山,0.739,200,28,35,129,56,37,良,240.7742,15,2016-08
33,80,佛山,0.763,159,37,36,121,59,40,良,225.2667,14,2016-09
34,62,佛山,0.784,98,42,37,96,53,37,良,205.2581,14,2016-10
35,79,佛山,0.977,199,33,53,83,78,52,良,174.7333,16,2016-11
36,89,佛山,1.039,133,39,64,89,94,64,良,164.9355,18,2016-12
37,91,佛山,1.087,279,34,53,87,86,67,良,156.6452,11,2017-01
38,74,佛山,0.832,156,37,47,98,67,49,良,129.8571,13,2017-02
39,72,佛山,0.952,110,43,56,62,79,45,良,166.8710,13,2017-03
40,81,佛山,0.847,187,40,48,100,69,40,良,140.3000,13,2017-04
41,97,佛山,0.884,206,41,41,145,65,39,良,156.2258,12,2017-05
42,50,佛山,0.74,105,33,27,87,36,19,良,82.9667,9,2017-06
43,69,佛山,0.8,180,27,35,106,39,24,良,112.8387,10,2017-07
44,67,佛山,0.71,126,27,29,110,37,22,良,101.5806,11,2017-08
45,98,佛山,0.827,203,40,41,149,55,35,良,161.5333,13,2017-09
46,80,佛山,0.816,157,26,40,129,57,35,良,156.6774,13,2017-10
47,69,佛山,0.953,115,38,51,70,68,42,良,141.1333,15,2017-11
48,86,佛山,1.052,145,35,66,49,93,58,良,147.1613,21,2017-12
49,87,佛山,1.058,185,32,67,69,95,59,良,176.0323,16,2018-01
50,65,佛山,0.743,132,20,34,84,64,43,良,120.8929,8,2018-02
51,75,佛山,0.774,143,34,47,110,67,37,良,179.5161,11,2018-03
52,75,佛山,0.79,146,35,43,97,74,37,良,173.3000,11,2018-04
53,70,佛山,0.681,165,38,28,113,40,22,良,160.7097,10,2018-05
54,79,佛山,0.743,203,30,30,121,38,22,良,56.2667,8,2018-06
55,59,佛山,0.606,126,31,28,99,35,18,良,158.0645,8,2018-07
56,76,佛山,0.765,155,39,36,121,43,27,良,134.5161,9,2018-08
57,70,佛山,0.653,110,29,30,116,45,27,良,160.5333,10,2018-09
58,83,佛山,0.813,157,42,43,116,65,36,良,174.4839,13,2018-10
59,70,佛山,0.867,106,38,50,82,75,42,良,208.2667,11,2018-11
60,57,佛山,0.935,111,29,44,47,61,33,良,128.6774,9,2018-12
61,50,佛山,1.05,69,39,37,16,52,33,良,82.7500,8,2019-01
