index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,118,佳木斯,2.8,118,118,42,47,113,90,轻度污染,292.0000,16,2014-12
1,85,佳木斯,1.497,296,26,27,49,88,63,良,120.3226,18,2015-01
2,70,佳木斯,0.732,166,30,25,74,83,45,良,122.6786,17,2015-02
3,52,佳木斯,0.594,108,34,16,92,48,27,良,80.0968,14,2015-03
4,61,佳木斯,0.557,90,32,15,104,62,34,良,116.7667,11,2015-04
5,48,佳木斯,0.552,99,30,12,88,37,17,优,71.3226,9,2015-05
6,53,佳木斯,0.61,106,30,17,99,31,16,良,125.7333,9,2015-06
7,56,佳木斯,0.703,107,22,23,101,34,17,良,134.6452,8,2015-07
8,42,佳木斯,0.735,104,19,18,77,29,15,优,79.2258,9,2015-08
9,40,佳木斯,0.853,74,20,23,76,20,12,优,60.3667,6,2015-09
10,47,佳木斯,0.945,99,21,21,65,46,26,优,72.7097,8,2015-10
11,69,佳木斯,1.427,265,28,26,56,89,47,良,139.1333,11,2015-11
12,69,佳木斯,1.845,133,27,34,47,76,47,良,116.5161,18,2015-12
13,57,佳木斯,1.394,105,38,28,62,59,32,良,93.0323,20,2016-01
14,63,佳木斯,1.076,104,40,28,90,65,42,良,129.6207,16,2016-02
15,64,佳木斯,0.916,162,39,24,96,58,38,良,93.8387,11,2016-03
16,65,佳木斯,0.68,122,39,19,104,57,35,良,131.2333,7,2016-04
17,62,佳木斯,0.458,120,34,18,112,39,24,良,130.9355,7,2016-05
18,52,佳木斯,0.557,103,31,19,96,38,24,良,118.1000,9,2016-06
19,55,佳木斯,0.542,104,22,17,102,35,21,良,157.0000,7,2016-07
20,38,佳木斯,0.516,70,19,15,75,22,13,优,66.3871,8,2016-08
21,34,佳木斯,0.54,67,16,18,66,20,13,优,35.3667,8,2016-09
22,46,佳木斯,0.565,145,20,22,61,41,28,优,113.7419,8,2016-10
23,78,佳木斯,0.733,166,36,34,54,68,57,良,170.3333,17,2016-11
24,82,佳木斯,1.145,189,40,41,48,79,60,良,137.4194,22,2016-12
25,106,佳木斯,1.374,239,29,38,60,100,80,轻度污染,180.7419,21,2017-01
26,57,佳木斯,0.85,155,36,28,83,49,39,良,85.4286,13,2017-02
27,54,佳木斯,0.761,103,36,31,95,48,34,良,117.2258,11,2017-03
28,65,佳木斯,0.637,120,39,26,109,61,40,良,136.7667,10,2017-04
29,63,佳木斯,0.558,168,28,18,106,46,19,良,102.8065,10,2017-05
30,45,佳木斯,0.563,90,14,20,84,29,15,优,89.5000,7,2017-06
31,53,佳木斯,0.574,100,24,19,99,32,16,良,121.2258,9,2017-07
32,37,佳木斯,0.561,80,16,16,68,30,14,优,108.3871,6,2017-08
33,37,佳木斯,0.507,54,25,17,69,32,13,优,83.8000,5,2017-09
34,102,佳木斯,0.861,500,27,31,71,110,81,轻度污染,150.6129,9,2017-10
35,83,佳木斯,0.62,401,27,24,58,74,62,良,118.2333,9,2017-11
36,64,佳木斯,0.765,143,22,25,33,59,44,良,89.4516,11,2017-12
37,69,佳木斯,0.71,159,27,25,61,60,49,良,115.0645,15,2018-01
38,72,佳木斯,0.739,147,39,25,77,67,51,良,144.1071,14,2018-02
39,57,佳木斯,0.581,112,0,23,102,45,34,良,108.9032,10,2018-03
40,67,佳木斯,0.57,212,0,23,110,55,38,良,140.4667,6,2018-04
41,61,佳木斯,0.442,98,35,23,110,38,20,良,130.0968,4,2018-05
42,55,佳木斯,0.497,116,22,20,100,29,16,良,100.1333,4,2018-06
43,49,佳木斯,0.526,136,18,22,86,33,19,优,148.1613,5,2018-07
44,35,佳木斯,0.539,53,20,16,61,30,13,优,127.6774,5,2018-08
45,37,佳木斯,0.477,70,18,17,57,36,15,优,138.3667,5,2018-09
46,44,佳木斯,0.526,83,18,23,56,49,19,优,121.1290,7,2018-10
47,49,佳木斯,0.58,134,23,22,48,52,30,优,107.5000,7,2018-11
48,67,佳木斯,0.697,349,27,20,50,63,46,良,98.3871,9,2018-12
49,46,佳木斯,0.675,65,39,21,52,48,32,优,72.2500,8,2019-01
