index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,239,保定,3.586,484,71,95,30,306,189,重度污染,85.7586,121,2013-12
1,254,保定,3.603,477,95,95,35,321,202,重度污染,161.3793,127,2014-01
2,222,保定,3.235,470,52,74,48,274,175,重度污染,168.2308,111,2014-02
3,176,保定,3.268,304,68,70,74,254,127,中度污染,162.0645,73,2014-03
4,135,保定,1.297,270,84,39,103,202,87,轻度污染,164.4667,31,2014-04
5,122,保定,1.152,179,46,31,118,193,69,轻度污染,145.5161,33,2014-05
6,122,保定,1.21,216,61,33,167,136,72,轻度污染,150.9333,37,2014-06
7,134,保定,1.239,222,60,32,170,143,88,轻度污染,159.9032,32,2014-07
8,133,保定,1.142,204,53,33,179,131,76,轻度污染,170.4516,32,2014-08
9,117,保定,1.327,196,52,47,124,140,82,轻度污染,166.7000,27,2014-09
10,193,保定,1.51,439,56,65,70,258,148,中度污染,159.0667,37,2014-10
11,193,保定,2.689,468,61,79,44,245,149,中度污染,160.3214,82,2014-11
12,213,保定,4.133,449,57,76,38,229,168,重度污染,166.2333,145,2014-12
13,236,保定,4.113,500,86,71,35,303,191,重度污染,335.4333,135,2015-01
14,204,保定,3.154,334,68,55,59,259,159,重度污染,322.2143,116,2015-02
15,157,保定,1.777,304,70,55,85,229,110,中度污染,329.4194,70,2015-03
16,114,保定,1.107,215,52,44,121,147,81,轻度污染,291.3667,35,2015-04
17,108,保定,0.855,180,51,37,157,114,65,轻度污染,280.0968,32,2015-05
18,116,保定,0.93,178,50,39,175,112,61,轻度污染,307.3000,27,2015-06
19,112,保定,0.906,194,64,31,162,112,67,轻度污染,311.5484,27,2015-07
20,105,保定,0.903,183,52,32,141,128,71,轻度污染,289.1613,16,2015-08
21,91,保定,0.78,212,35,42,113,108,62,良,245.3333,16,2015-09
22,120,保定,1.097,294,42,65,84,143,82,轻度污染,244.6452,28,2015-10
23,140,保定,2.32,500,40,72,34,155,112,轻度污染,281.6333,63,2015-11
24,258,保定,4.652,440,46,100,24,294,214,重度污染,318.6452,93,2015-12
25,189,保定,3.448,430,55,86,35,208,149,中度污染,311.7419,85,2016-01
26,116,保定,2.3,233,40,60,71,118,83,轻度污染,241.0345,70,2016-02
27,116,保定,1.403,231,52,64,96,158,77,轻度污染,261.8387,53,2016-03
28,112,保定,0.847,199,52,46,125,160,68,轻度污染,291.9667,27,2016-04
29,104,保定,0.839,200,59,41,144,130,65,轻度污染,283.8065,29,2016-05
30,111,保定,0.807,179,51,38,160,97,54,轻度污染,308.1333,24,2016-06
31,105,保定,0.89,176,36,36,138,107,71,轻度污染,301.6129,20,2016-07
32,68,保定,0.742,124,37,35,107,58,38,良,202.1290,19,2016-08
33,103,保定,0.883,225,43,45,122,118,70,轻度污染,253.1000,23,2016-09
34,128,保定,1.148,296,50,62,54,149,96,轻度污染,331.2581,23,2016-10
35,183,保定,2.03,332,43,78,28,217,143,中度污染,330.5667,37,2016-11
36,233,保定,3.768,438,64,100,22,243,191,重度污染,324.1290,57,2016-12
37,227,保定,3.271,500,68,80,39,247,188,重度污染,333.8387,64,2017-01
38,181,保定,2.05,408,44,67,71,200,146,中度污染,294.2500,55,2017-02
39,116,保定,1.071,264,46,53,102,134,86,轻度污染,253.6452,33,2017-03
40,99,保定,0.953,211,58,47,107,132,67,良,271.0667,28,2017-04
41,145,保定,0.916,500,67,39,173,124,54,轻度污染,268.0968,25,2017-05
42,146,保定,0.853,203,61,33,208,101,54,轻度污染,279.2667,21,2017-06
43,125,保定,0.781,203,55,26,182,86,55,轻度污染,261.5806,14,2017-07
44,104,保定,0.69,202,47,27,158,73,49,轻度污染,269.0000,11,2017-08
45,127,保定,0.877,204,51,49,179,127,66,轻度污染,277.7333,21,2017-09
46,88,保定,1.026,187,31,50,65,104,63,良,234.4516,14,2017-10
47,107,保定,1.267,242,52,64,52,133,75,轻度污染,229.6667,28,2017-11
48,142,保定,2.032,374,51,69,26,153,100,轻度污染,255.1290,36,2017-12
49,129,保定,1.842,264,50,68,47,145,96,轻度污染,241.0323,38,2018-01
50,119,保定,1.421,275,43,44,85,130,87,轻度污染,232.2500,34,2018-02
51,119,保定,1.106,300,0,51,109,141,87,轻度污染,263.7419,22,2018-03
52,100,保定,0.753,197,40,40,142,120,56,良,236.1333,19,2018-04
53,114,保定,0.597,165,65,33,168,106,48,轻度污染,289.8710,17,2018-05
54,159,保定,0.65,207,70,27,226,86,43,中度污染,120.8667,13,2018-06
55,109,保定,0.71,204,46,23,164,62,42,轻度污染,275.4839,11,2018-07
56,100,保定,0.745,182,40,27,156,58,34,良,244.1613,10,2018-08
57,72,保定,0.637,112,37,38,109,71,38,良,254.9333,14,2018-09
58,93,保定,0.845,216,42,58,82,116,62,良,261.1290,18,2018-10
59,144,保定,1.463,410,43,68,40,176,109,轻度污染,315.8667,24,2018-11
60,132,保定,1.632,283,49,63,36,162,96,轻度污染,299.5806,30,2018-12
61,197,保定,2.625,248,144,91,12,221,154,中度污染,329.0000,51,2019-01
