index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,112,保山,2.8,112,112,43,39,120,84,轻度污染,273.0000,26,2014-12
1,80,保山,1.326,140,54,24,74,76,59,良,143.3226,23,2015-01
2,82,保山,1.482,155,57,17,94,61,61,良,178.2857,18,2015-02
3,83,保山,0.671,143,53,21,124,70,59,良,209.4194,13,2015-03
4,65,保山,0.56,88,48,9,113,57,36,良,139.7000,16,2015-04
5,71,保山,0.597,99,54,13,123,61,45,良,184.3548,17,2015-05
6,51,保山,0.487,103,30,13,91,44,24,良,120.4333,18,2015-06
7,51,保山,0.626,92,25,17,90,38,23,良,106.6452,11,2015-07
8,36,保山,0.745,60,22,14,58,36,20,优,46.3871,10,2015-08
9,39,保山,0.657,52,29,18,66,33,18,优,56.9667,10,2015-09
10,48,保山,0.697,64,31,16,78,46,24,优,71.4839,9,2015-10
11,55,保山,1.067,71,40,18,63,61,32,良,136.2667,15,2015-11
12,60,保山,1.652,78,35,18,77,67,40,良,111.7419,17,2015-12
13,66,保山,0.887,94,45,22,87,70,46,良,140.4516,14,2016-01
14,73,保山,0.769,197,40,22,116,68,38,良,165.7931,16,2016-02
15,63,保山,0.723,102,43,16,112,56,28,良,126.0323,14,2016-03
16,70,保山,0.55,102,50,11,123,57,22,良,173.1333,11,2016-04
17,59,保山,0.694,87,37,9,108,44,16,良,125.8065,21,2016-05
18,39,保山,0.327,77,23,8,73,26,9,优,59.9667,11,2016-06
19,30,保山,0.519,60,16,9,53,24,9,优,32.9032,9,2016-07
20,50,保山,0.371,80,21,10,93,33,13,优,124.2903,12,2016-08
21,40,保山,0.457,69,24,11,76,32,11,优,63.3333,7,2016-09
22,44,保山,0.968,70,18,11,81,28,13,优,99.0323,7,2016-10
23,43,保山,0.96,63,22,13,82,34,17,优,64.2333,9,2016-11
24,55,保山,1.81,72,40,17,91,57,33,良,67.0645,9,2016-12
25,59,保山,1.69,85,43,15,102,38,39,良,100.0645,11,2017-01
26,75,保山,1.086,102,55,13,127,50,46,良,132.5357,10,2017-02
27,71,保山,0.806,95,40,16,122,52,34,良,82.1290,9,2017-03
28,73,保山,1.173,133,47,15,125,51,32,良,108.7333,8,2017-04
29,68,保山,1.09,99,41,12,122,43,26,良,85.9355,9,2017-05
30,47,保山,1.023,92,24,9,88,26,15,优,80.4667,7,2017-06
31,37,保山,0.984,70,20,12,66,30,17,优,85.0645,7,2017-07
32,36,保山,1.155,68,23,11,65,27,16,优,87.7742,6,2017-08
33,34,保山,1.17,51,25,10,66,28,14,优,45.3667,6,2017-09
34,40,保山,1.006,63,23,10,76,34,17,优,70.0968,5,2017-10
35,44,保山,0.83,60,29,14,81,38,18,优,23.1333,8,2017-11
36,44,保山,0.723,67,17,18,54,49,22,优,26.3226,11,2017-12
37,48,保山,0.632,74,24,16,88,41,25,优,67.0968,12,2018-01
38,63,保山,0.586,80,49,10,114,58,36,良,130.7500,11,2018-02
39,79,保山,0.758,99,53,15,133,71,42,良,218.5806,8,2018-03
40,81,保山,0.687,110,48,14,136,70,39,良,207.0000,7,2018-04
41,62,保山,0.519,84,22,11,112,44,22,良,142.2903,6,2018-05
42,44,保山,0.52,78,21,9,76,34,14,优,60.5333,5,2018-06
43,37,保山,0.594,72,21,10,70,28,12,优,66.9355,7,2018-07
44,46,保山,0.542,82,25,11,86,30,13,优,72.3871,7,2018-08
45,31,保山,0.51,48,21,9,61,23,10,优,70.5667,6,2018-09
46,34,保山,0.577,44,21,10,66,27,13,优,32.3226,6,2018-10
47,42,保山,0.643,57,31,12,83,34,19,优,75.7000,5,2018-11
48,39,保山,0.526,66,30,16,74,32,16,优,60.6129,6,2018-12
49,40,保山,0.55,42,38,17,76,37,19,优,55.7500,6,2019-01
