index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,112,克孜勒苏州,2.6,112,112,32,82,174,79,轻度污染,272.0000,37,2014-12
1,112,克孜勒苏州,1.613,207,65,21,95,144,60,轻度污染,219.2903,24,2015-01
2,129,克孜勒苏州,1.061,353,54,14,60,185,55,轻度污染,218.3929,20,2015-02
3,216,克孜勒苏州,0.633,493,53,13,83,286,89,重度污染,324.0667,10,2015-03
4,168,克孜勒苏州,0.667,384,50,12,108,205,75,中度污染,285.7778,10,2015-04
5,107,克孜勒苏州,0.723,500,44,8,110,116,40,轻度污染,222.2258,7,2015-05
6,101,克孜勒苏州,0.877,195,46,8,140,110,27,轻度污染,289.4333,4,2015-06
7,137,克孜勒苏州,0.932,485,64,10,115,184,46,轻度污染,303.2903,9,2015-07
8,131,克孜勒苏州,1.147,500,50,10,96,189,46,轻度污染,247.9000,7,2015-08
9,95,克孜勒苏州,1.127,349,43,10,86,127,27,良,242.3000,3,2015-09
10,191,克孜勒苏州,0.9,500,49,11,81,281,65,中度污染,303.4516,3,2015-10
11,116,克孜勒苏州,1.523,154,87,15,74,182,51,轻度污染,310.3667,3,2015-11
12,99,克孜勒苏州,1.277,155,58,17,53,125,66,良,218.8710,5,2015-12
13,134,克孜勒苏州,1.497,312,75,22,58,203,75,轻度污染,272.4516,6,2016-01
14,290,克孜勒苏州,1.286,500,90,14,71,425,139,重度污染,322.2414,5,2016-02
15,257,克孜勒苏州,1.277,500,33,14,73,190,202,重度污染,293.0968,11,2016-03
16,192,克孜勒苏州,1.1,500,59,11,106,242,94,中度污染,290.5333,5,2016-04
17,209,克孜勒苏州,1.226,500,57,9,113,523,151,重度污染,283.0645,6,2016-05
18,101,克孜勒苏州,1.22,407,64,9,126,126,29,轻度污染,273.4333,5,2016-06
19,82,克孜勒苏州,0.858,137,50,11,122,85,18,良,268.0000,5,2016-07
20,69,克孜勒苏州,0.981,207,0,13,108,58,13,良,203.7097,3,2016-08
21,60,克孜勒苏州,1.19,128,40,13,91,69,16,良,149.4667,4,2016-09
22,166,克孜勒苏州,1.568,500,55,21,85,247,53,中度污染,322.4516,4,2016-10
23,128,克孜勒苏州,1.22,500,48,22,77,189,49,轻度污染,253.4000,3,2016-11
24,123,克孜勒苏州,1.606,157,88,27,69,185,82,轻度污染,254.2581,4,2016-12
25,63,克孜勒苏州,1.255,114,36,14,80,69,36,良,98.0000,3,2017-01
26,194,克孜勒苏州,1.261,500,48,14,91,52,17,中度污染,216.9286,5,2017-02
27,167,克孜勒苏州,0.9,500,56,13,122,62,12,中度污染,236.1613,3,2017-03
28,146,克孜勒苏州,0.827,500,75,15,155,49,18,轻度污染,220.3667,4,2017-04
29,152,克孜勒苏州,0.852,483,100,11,188,58,19,中度污染,231.7419,5,2017-05
30,86,克孜勒苏州,0.863,166,55,14,134,58,19,良,212.9333,2,2017-06
31,85,克孜勒苏州,0.858,172,55,11,139,56,14,良,199.4194,4,2017-07
32,93,克孜勒苏州,1.129,158,29,7,142,55,15,良,257.5161,5,2017-08
33,124,克孜勒苏州,0.947,500,52,8,126,48,12,轻度污染,228.6000,6,2017-09
34,170,克孜勒苏州,1.139,492,0,13,90,41,9,中度污染,259.1613,5,2017-10
35,99,克孜勒苏州,1.293,190,68,22,92,111,35,良,257.4000,5,2017-11
36,109,克孜勒苏州,1.729,674,44,19,33,104,54,轻度污染,177.8065,3,2017-12
37,111,克孜勒苏州,1.239,182,0,16,71,178,48,轻度污染,239.4516,4,2018-01
38,88,克孜勒苏州,1.104,169,0,13,93,140,33,良,197.3214,3,2018-02
39,45,克孜勒苏州,0.971,500,0,12,103,66,10,优,95.4194,3,2018-03
40,46,克孜勒苏州,0.763,134,0,10,113,55,16,优,123.3667,4,2018-04
41,58,克孜勒苏州,0.665,144,0,7,140,44,11,良,172.0968,4,2018-05
42,127,克孜勒苏州,0.987,500,79,3,147,35,7,轻度污染,226.2333,5,2018-06
43,174,克孜勒苏州,0.974,500,86,4,157,48,13,中度污染,308.0323,4,2018-07
44,261,克孜勒苏州,0.923,500,90,7,133,0,8,重度污染,309.4194,5,2018-08
45,109,克孜勒苏州,0.753,289,52,7,108,74,21,轻度污染,293.0000,4,2018-09
46,82,克孜勒苏州,0.729,171,45,12,90,113,32,良,253.0323,3,2018-10
47,86,克孜勒苏州,1.037,253,38,17,74,121,43,良,220.4000,5,2018-11
48,149,克孜勒苏州,1.0,451,91,13,56,225,67,轻度污染,310.6452,6,2018-12
49,142,克孜勒苏州,1.075,152,128,12,45,234,77,轻度污染,279.2500,5,2019-01
