index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,116,克拉玛依,1.4,116,116,49,39,122,88,轻度污染,76.0000,26,2013-12
1,98,克拉玛依,1.355,157,38,44,43,108,72,良,68.2581,16,2014-01
2,73,克拉玛依,1.025,187,37,28,72,73,52,良,70.8571,8,2014-02
3,75,克拉玛依,1.032,104,44,30,92,82,50,良,73.6129,10,2014-03
4,83,克拉玛依,0.84,261,35,17,88,110,32,良,66.7333,6,2014-04
5,63,克拉玛依,0.848,91,43,15,106,69,27,良,53.9355,5,2014-05
6,70,克拉玛依,0.813,105,46,17,123,53,26,良,81.0667,5,2014-06
7,72,克拉玛依,1.684,138,49,18,117,64,26,良,86.8710,5,2014-07
8,59,克拉玛依,1.497,90,42,21,105,65,31,良,73.8387,6,2014-08
9,60,克拉玛依,1.457,96,48,25,83,69,32,良,82.2000,6,2014-09
10,56,克拉玛依,1.497,100,27,47,58,64,28,良,35.5806,6,2014-10
11,56,克拉玛依,1.653,100,28,40,41,68,32,良,44.2333,8,2014-11
12,81,克拉玛依,1.819,163,39,36,39,100,57,良,72.2258,8,2014-12
13,72,克拉玛依,1.697,106,37,29,64,86,51,良,119.2581,7,2015-01
14,91,克拉玛依,1.518,189,37,26,77,111,63,良,173.7500,9,2015-02
15,54,克拉玛依,0.877,100,36,18,79,60,25,良,94.0968,7,2015-03
16,56,克拉玛依,1.01,124,41,16,96,59,23,良,91.2000,8,2015-04
17,53,克拉玛依,0.884,112,40,11,95,50,19,良,84.0000,9,2015-05
18,56,克拉玛依,0.997,80,42,12,103,47,21,良,150.9667,8,2015-06
19,64,克拉玛依,1.023,82,51,13,115,49,20,良,180.9677,9,2015-07
20,67,克拉玛依,1.119,97,46,16,116,57,19,良,201.2258,9,2015-08
21,53,克拉玛依,1.247,91,39,15,98,46,17,良,130.5333,8,2015-09
22,56,克拉玛依,1.335,89,34,21,97,56,21,良,118.0323,9,2015-10
23,51,克拉玛依,1.493,74,34,23,57,51,26,良,103.8667,5,2015-11
24,88,克拉玛依,1.79,201,35,23,55,106,61,良,158.3871,6,2015-12
25,86,克拉玛依,1.765,173,55,26,69,104,63,良,194.2903,5,2016-01
26,99,克拉玛依,1.572,148,43,33,80,125,72,良,245.4138,7,2016-02
27,54,克拉玛依,0.694,129,35,23,83,57,29,良,77.6129,7,2016-03
28,57,克拉玛依,0.737,75,38,13,106,36,14,良,109.8667,6,2016-04
29,62,克拉玛依,0.69,95,48,11,114,30,11,良,137.0323,6,2016-05
30,68,克拉玛依,0.937,90,53,10,122,29,10,良,202.1333,7,2016-06
31,72,克拉玛依,0.942,89,49,11,126,28,10,良,238.4194,4,2016-07
32,68,克拉玛依,1.065,88,52,13,121,35,12,良,222.8387,5,2016-08
33,62,克拉玛依,1.33,83,45,14,113,45,15,良,171.4333,6,2016-09
34,45,克拉玛依,1.219,72,33,12,77,41,20,优,105.5484,8,2016-10
35,66,克拉玛依,1.373,118,32,25,58,72,42,良,150.1667,11,2016-11
36,76,克拉玛依,1.155,152,30,26,52,83,54,良,125.2903,9,2016-12
37,127,克拉玛依,1.652,205,73,40,58,147,97,轻度污染,259.7097,18,2017-01
38,93,克拉玛依,1.129,154,42,33,78,110,69,良,200.3571,12,2017-02
39,63,克拉玛依,0.913,91,47,22,89,72,40,良,151.0323,8,2017-03
40,54,克拉玛依,0.723,80,34,15,99,53,14,良,93.3000,7,2017-04
41,65,克拉玛依,0.761,89,47,15,118,46,13,良,101.3548,6,2017-05
42,66,克拉玛依,0.86,91,41,16,119,41,15,良,143.5000,7,2017-06
43,79,克拉玛依,0.965,94,59,16,135,46,18,良,186.9032,7,2017-07
44,63,克拉玛依,0.926,89,46,17,116,47,16,良,217.3226,6,2017-08
45,59,克拉玛依,0.853,73,35,22,102,61,20,良,221.4667,6,2017-09
46,54,克拉玛依,0.877,85,28,31,66,66,23,良,171.0645,8,2017-10
47,56,克拉玛依,0.893,96,26,26,44,63,33,良,109.0000,7,2017-11
48,71,克拉玛依,1.055,143,35,26,22,74,49,良,132.5161,7,2017-12
49,87,克拉玛依,1.045,185,39,26,53,86,64,良,172.4194,11,2018-01
50,81,克拉玛依,1.004,142,42,28,77,90,58,良,185.8571,13,2018-02
51,45,克拉玛依,0.642,69,0,14,85,44,17,优,59.4516,7,2018-03
52,62,克拉玛依,0.603,87,41,11,111,49,15,良,133.6667,5,2018-04
53,71,克拉玛依,0.626,134,47,12,121,45,16,良,177.6129,5,2018-05
54,72,克拉玛依,0.747,89,55,13,126,44,15,良,177.0333,6,2018-06
55,68,克拉玛依,0.803,89,40,13,120,39,19,良,244.4516,5,2018-07
56,65,克拉玛依,0.852,80,47,15,117,43,13,良,197.8710,5,2018-08
57,45,克拉玛依,0.8,61,32,19,81,42,10,优,190.1333,7,2018-09
58,51,克拉玛依,0.771,67,25,23,64,56,14,良,155.7742,7,2018-10
59,88,克拉玛依,0.83,452,35,30,50,116,34,良,201.3000,7,2018-11
60,89,克拉玛依,1.245,158,38,35,47,107,57,良,239.6774,7,2018-12
61,95,克拉玛依,1.25,105,87,49,38,111,71,良,210.5000,7,2019-01
