index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,72,六安,0.2,72,72,26,34,95,25,良,130.0000,9,2014-12
1,91,六安,0.939,187,45,30,49,103,65,良,154.6129,17,2015-01
2,75,六安,0.861,160,28,12,42,84,55,良,134.1429,10,2015-02
3,70,六安,0.723,141,23,17,46,77,49,良,153.0323,11,2015-03
4,70,六安,0.903,102,36,20,57,80,49,良,153.0333,10,2015-04
5,90,六安,0.787,164,51,16,75,101,66,良,229.0968,7,2015-05
6,56,六安,0.747,95,27,15,74,55,37,良,142.4667,13,2015-06
7,58,六安,0.645,119,33,13,62,56,40,良,136.2258,12,2015-07
8,66,六安,0.674,92,38,15,67,67,44,良,186.3226,19,2015-08
9,64,六安,0.533,83,37,17,83,74,42,良,197.5000,13,2015-09
10,85,六安,0.745,147,28,24,79,104,62,良,219.9032,13,2015-10
11,88,六安,0.927,173,23,18,47,101,64,良,231.0333,14,2015-11
12,143,六安,1.048,314,60,34,31,170,107,轻度污染,267.5806,16,2015-12
13,92,六安,1.158,198,36,32,36,91,67,良,173.5161,16,2016-01
14,75,六安,0.759,147,27,26,49,81,52,良,154.1034,16,2016-02
15,82,六安,0.955,204,30,37,75,88,57,良,142.3226,14,2016-03
16,69,六安,0.743,112,47,30,109,79,42,良,165.7333,11,2016-04
17,74,六安,0.645,121,45,25,117,81,46,良,184.6452,11,2016-05
18,68,六安,0.68,101,39,27,113,61,36,良,194.4667,12,2016-06
19,60,六安,0.59,82,40,23,104,56,31,良,185.5484,11,2016-07
20,79,六安,0.623,122,45,34,130,68,35,良,252.7419,11,2016-08
21,87,六安,0.67,131,35,38,141,59,42,良,258.4667,14,2016-09
22,56,六安,0.723,103,38,37,68,47,32,良,161.6452,13,2016-10
23,73,六安,0.773,150,38,49,65,73,47,良,164.5667,16,2016-11
24,96,六安,1.019,134,52,65,61,105,68,良,188.4194,15,2016-12
25,95,六安,1.1,189,40,49,69,100,68,良,192.9032,17,2017-01
26,85,六安,0.904,135,49,41,98,96,63,良,185.4286,15,2017-02
27,82,六安,0.797,133,50,48,114,89,53,良,181.6129,12,2017-03
28,87,六安,0.833,109,44,36,132,81,44,良,185.2000,9,2017-04
29,99,六安,0.761,204,46,31,148,62,36,良,173.5806,8,2017-05
30,87,六安,0.667,152,37,31,142,63,35,良,201.3333,10,2017-06
31,60,六安,0.484,102,33,26,107,51,26,良,177.8387,13,2017-07
32,57,六安,0.552,102,31,24,103,45,23,良,154.0645,14,2017-08
33,66,六安,0.697,114,29,28,108,55,29,良,158.7000,15,2017-09
34,67,六安,0.694,133,30,40,97,75,42,良,181.8710,11,2017-10
35,90,六安,0.807,155,42,53,84,112,63,良,216.2000,7,2017-11
36,111,六安,0.958,254,50,53,38,124,78,轻度污染,201.0968,8,2017-12
37,97,六安,0.868,179,40,38,85,102,71,良,197.2581,8,2018-01
38,80,六安,0.782,129,37,32,89,86,53,良,179.5714,9,2018-02
39,74,六安,0.671,114,44,32,116,75,45,良,187.6129,7,2018-03
40,84,六安,0.63,128,0,35,140,87,42,良,218.2333,7,2018-04
41,71,六安,0.674,137,0,28,127,58,32,良,188.7097,6,2018-05
42,100,六安,0.65,160,47,24,157,69,37,轻度污染,230.9333,7,2018-06
43,63,六安,0.558,110,27,24,110,50,25,良,191.1290,7,2018-07
44,78,六安,0.716,147,37,27,131,53,27,良,187.3871,6,2018-08
45,68,六安,0.583,126,33,30,114,59,28,良,224.8333,6,2018-09
46,77,六安,0.632,153,50,36,114,84,41,良,231.9677,6,2018-10
47,86,六安,0.8,212,35,45,76,101,60,良,216.9333,6,2018-11
48,96,六安,0.845,195,35,56,51,106,68,良,232.4516,9,2018-12
49,129,六安,0.925,192,85,45,48,131,97,轻度污染,243.7500,9,2019-01
