index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,178,六盘水,1.0,178,178,33,44,211,135,中度污染,350.0000,33,2014-12
1,99,六盘水,0.961,173,49,27,33,99,74,良,183.0645,21,2015-01
2,80,六盘水,0.921,163,55,23,45,86,59,良,167.3214,20,2015-02
3,77,六盘水,0.713,123,42,23,40,89,55,良,185.6452,13,2015-03
4,64,六盘水,0.603,99,36,29,56,73,42,良,125.6000,11,2015-04
5,59,六盘水,0.471,108,24,25,70,66,39,良,123.2581,11,2015-05
6,43,六盘水,0.437,72,25,21,58,44,25,优,81.8333,9,2015-06
7,56,六盘水,0.481,84,24,28,67,61,35,良,135.6129,10,2015-07
8,54,六盘水,0.565,93,23,29,49,60,34,良,136.0000,13,2015-08
9,46,六盘水,0.533,94,27,26,59,45,27,优,89.8000,12,2015-09
10,60,六盘水,0.655,110,29,25,70,66,41,良,125.3548,16,2015-10
11,59,六盘水,0.76,102,38,25,65,65,39,良,153.5333,17,2015-11
12,63,六盘水,0.877,182,29,28,58,66,43,良,99.1613,25,2015-12
13,74,六盘水,1.094,122,36,30,63,85,53,良,149.7742,26,2016-01
14,81,六盘水,0.962,199,47,24,66,86,58,良,179.8966,15,2016-02
15,73,六盘水,0.903,113,29,28,66,89,50,良,140.0000,12,2016-03
16,61,六盘水,0.757,94,36,29,63,73,37,良,135.0333,11,2016-04
17,59,六盘水,0.632,79,26,23,72,70,33,良,121.3226,12,2016-05
18,47,六盘水,0.64,62,27,22,65,48,21,优,93.5667,17,2016-06
19,48,六盘水,0.558,59,26,23,77,49,20,优,125.8710,22,2016-07
20,56,六盘水,0.787,77,33,30,88,61,31,良,159.8065,25,2016-08
21,62,六盘水,0.82,89,36,32,72,71,39,良,165.7667,23,2016-09
22,57,六盘水,0.742,80,32,24,56,65,34,良,181.0000,17,2016-10
23,68,六盘水,0.84,99,35,33,60,81,47,良,162.4667,24,2016-11
24,89,六盘水,1.155,142,35,29,52,98,66,良,170.5806,26,2016-12
25,70,六盘水,1.1,139,40,27,52,70,51,良,126.8065,25,2017-01
26,75,六盘水,0.896,123,42,22,65,76,55,良,165.5714,23,2017-02
27,76,六盘水,0.994,151,47,28,89,83,55,良,187.4194,20,2017-03
28,70,六盘水,0.83,111,42,25,105,87,45,良,193.1000,16,2017-04
29,63,六盘水,0.645,95,40,23,108,69,32,良,174.0000,15,2017-05
30,51,六盘水,0.69,79,30,24,85,48,25,良,164.1000,16,2017-06
31,48,六盘水,0.571,78,26,24,76,50,22,优,182.3226,16,2017-07
32,50,六盘水,0.623,70,29,23,76,52,22,优,188.5161,16,2017-08
33,52,六盘水,0.563,78,33,20,66,56,30,良,169.4667,18,2017-09
34,49,六盘水,0.668,98,29,24,52,49,30,优,149.1290,19,2017-10
35,75,六盘水,0.867,123,34,27,70,86,54,良,173.9000,24,2017-11
36,85,六盘水,1.219,217,24,35,50,93,59,良,151.9677,33,2017-12
37,71,六盘水,1.006,117,30,28,73,77,50,良,147.7419,28,2018-01
38,79,六盘水,1.007,113,33,23,82,77,58,良,184.3929,29,2018-02
39,73,六盘水,0.839,139,37,25,92,83,50,良,176.7097,20,2018-03
40,62,六盘水,0.647,95,25,20,100,71,37,良,135.6000,17,2018-04
41,53,六盘水,0.623,75,25,20,93,54,27,良,106.8387,14,2018-05
42,46,六盘水,0.673,79,24,22,86,34,19,优,69.9667,13,2018-06
43,41,六盘水,0.49,61,27,19,77,36,23,优,106.5484,12,2018-07
44,54,六盘水,0.748,90,33,24,90,53,31,良,212.5161,14,2018-08
45,35,六盘水,0.57,48,25,20,63,30,17,优,99.8667,11,2018-09
46,39,六盘水,0.794,59,26,24,58,38,22,优,77.7097,15,2018-10
47,51,六盘水,0.813,70,29,27,67,56,32,良,112.4333,22,2018-11
48,48,六盘水,1.032,77,25,25,49,51,30,优,95.4194,24,2018-12
49,36,六盘水,0.975,38,33,20,37,36,24,优,42.0000,20,2019-01
