index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,111,兰州,1.577,164,55,34,29,149,80,轻度污染,45.7667,39,2013-12
1,112,兰州,1.913,377,52,45,54,137,81,轻度污染,78.2258,43,2014-01
2,95,兰州,1.4,210,46,38,61,108,66,良,102.1429,29,2014-02
3,99,兰州,1.229,146,65,48,71,149,51,良,113.9032,29,2014-03
4,104,兰州,1.348,347,42,50,68,147,54,轻度污染,94.4828,28,2014-04
5,95,兰州,1.317,235,57,51,97,138,52,良,103.8333,28,2014-05
6,77,兰州,1.16,113,57,31,85,97,51,良,97.1667,18,2014-06
7,70,兰州,1.016,106,46,39,78,89,44,良,88.1290,13,2014-07
8,73,兰州,1.026,127,38,38,78,92,45,良,103.7097,16,2014-08
9,71,兰州,1.147,118,40,32,69,90,45,良,105.5000,16,2014-09
10,75,兰州,1.265,131,29,36,65,93,50,良,70.3548,19,2014-10
11,95,兰州,1.863,167,42,53,44,121,67,良,110.9667,27,2014-11
12,116,兰州,2.297,206,63,55,43,148,82,轻度污染,133.0323,39,2014-12
13,93,兰州,2.619,190,51,54,52,118,64,良,171.2903,42,2015-01
14,84,兰州,2.004,162,46,39,77,109,52,良,179.7500,26,2015-02
15,103,兰州,1.284,215,58,44,83,153,51,轻度污染,260.9032,19,2015-03
16,92,兰州,0.887,199,47,43,102,133,45,良,230.3333,18,2015-04
17,92,兰州,0.826,358,48,45,99,125,45,良,224.3548,13,2015-05
18,82,兰州,0.773,149,51,43,100,111,40,良,251.1667,11,2015-06
19,78,兰州,1.094,131,48,47,98,94,44,良,239.1613,13,2015-07
20,78,兰州,0.984,147,54,46,111,97,37,良,238.7742,15,2015-08
21,70,兰州,1.047,111,40,47,83,84,37,良,221.4333,15,2015-09
22,79,兰州,1.074,116,51,50,80,105,41,良,211.6129,19,2015-10
23,98,兰州,1.887,175,48,67,45,132,66,良,270.2333,30,2015-11
24,111,兰州,2.429,166,40,73,36,143,79,轻度污染,238.0000,38,2015-12
25,98,兰州,2.042,175,39,65,53,121,65,良,227.6129,37,2016-01
26,125,兰州,1.421,451,52,54,78,163,64,轻度污染,263.3448,26,2016-02
27,99,兰州,1.168,159,50,52,95,143,48,良,225.3871,15,2016-03
28,85,兰州,0.85,142,51,48,114,112,37,良,241.4667,10,2016-04
29,95,兰州,0.729,325,36,43,127,117,46,良,241.3548,10,2016-05
30,81,兰州,0.863,120,51,53,119,95,40,良,240.8333,10,2016-06
31,82,兰州,0.923,124,34,41,125,84,32,良,258.4839,8,2016-07
32,71,兰州,0.971,129,34,34,117,78,31,良,225.4839,7,2016-08
33,80,兰州,1.087,99,56,58,109,100,42,良,253.4000,9,2016-09
34,83,兰州,1.119,159,42,53,71,114,46,良,286.5161,14,2016-10
35,163,兰州,2.0,500,70,82,66,264,94,中度污染,318.8000,35,2016-11
36,140,兰州,2.635,203,76,101,57,200,97,轻度污染,282.0968,41,2016-12
37,136,兰州,1.955,500,50,72,68,126,62,轻度污染,244.0323,37,2017-01
38,103,兰州,1.636,169,54,62,93,140,62,轻度污染,210.8571,26,2017-02
39,86,兰州,1.132,172,60,53,102,85,41,良,209.8065,15,2017-03
40,113,兰州,0.783,500,57,50,119,96,39,轻度污染,229.9667,10,2017-04
41,124,兰州,0.684,500,64,48,136,90,36,轻度污染,236.9032,11,2017-05
42,91,兰州,0.83,127,58,48,145,86,37,良,235.1000,10,2017-06
43,92,兰州,0.755,130,46,41,145,79,30,良,242.7742,10,2017-07
44,73,兰州,0.777,129,38,43,114,73,30,良,252.0000,9,2017-08
45,81,兰州,0.79,124,61,52,120,96,39,良,248.2000,12,2017-09
46,75,兰州,1.161,110,34,51,75,85,41,良,215.1290,14,2017-10
47,100,兰州,1.987,127,74,76,66,147,60,轻度污染,218.2333,35,2017-11
48,160,兰州,2.581,733,68,90,33,136,67,中度污染,219.8387,53,2017-12
49,99,兰州,2.0,150,0,68,59,135,69,良,229.5161,40,2018-01
50,82,兰州,1.7,122,0,61,87,109,53,良,216.2500,35,2018-02
51,55,兰州,1.303,144,0,63,114,66,27,良,153.7097,25,2018-03
52,56,兰州,0.883,132,0,53,129,70,29,良,161.0000,15,2018-04
53,63,兰州,0.658,138,0,45,133,76,29,良,178.2903,12,2018-05
54,102,兰州,0.82,155,55,47,158,82,34,轻度污染,83.0333,15,2018-06
55,87,兰州,0.774,153,45,41,133,61,27,良,246.8710,11,2018-07
56,78,兰州,0.842,150,37,37,127,60,27,良,209.0000,10,2018-08
57,62,兰州,0.77,107,33,41,95,56,25,良,222.3667,11,2018-09
58,75,兰州,0.929,115,37,54,86,91,38,良,210.8065,16,2018-10
59,126,兰州,1.577,500,39,68,52,179,65,轻度污染,274.3333,27,2018-11
60,106,兰州,1.703,355,55,62,39,142,64,轻度污染,269.9032,33,2018-12
61,122,兰州,2.45,163,84,82,39,130,90,轻度污染,239.0000,37,2019-01
