index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,189,内江,0.7,189,189,35,52,171,142,中度污染,353.0000,24,2014-12
1,168,内江,1.0,256,45,31,48,159,129,中度污染,281.5484,27,2015-01
2,133,内江,0.768,251,38,30,68,130,101,轻度污染,271.9286,24,2015-02
3,84,内江,0.706,124,49,33,103,87,60,良,213.1613,34,2015-03
4,91,内江,0.57,219,34,27,127,87,61,良,214.1667,35,2015-04
5,104,内江,0.516,161,58,24,124,104,75,轻度污染,281.8065,29,2015-05
6,69,内江,0.6,112,27,22,112,62,41,良,196.9000,14,2015-06
7,89,内江,0.532,137,42,25,142,57,36,良,257.5806,19,2015-07
8,68,内江,0.506,109,37,24,118,49,32,良,203.0645,22,2015-08
9,47,内江,0.587,96,29,23,78,43,27,优,97.1333,21,2015-09
10,77,内江,0.71,152,23,33,86,80,54,良,178.9677,25,2015-10
11,65,内江,0.83,94,28,29,50,64,47,良,173.8000,15,2015-11
12,89,内江,0.923,200,41,37,45,88,65,良,178.0000,21,2015-12
13,96,内江,1.035,182,32,33,53,93,71,良,198.6452,20,2016-01
14,109,内江,1.062,318,42,34,84,108,81,轻度污染,249.7586,22,2016-02
15,85,内江,0.894,140,35,34,109,88,60,良,187.5161,21,2016-03
16,65,内江,0.697,117,33,28,104,58,39,良,151.2667,16,2016-04
17,86,内江,0.665,257,36,26,129,79,51,良,213.1613,15,2016-05
18,79,内江,0.573,126,41,25,131,53,34,良,228.1000,20,2016-06
19,75,内江,0.439,135,38,20,126,46,28,良,230.6774,18,2016-07
20,82,内江,0.532,147,41,20,135,54,36,良,253.8710,16,2016-08
21,66,内江,0.557,116,40,24,104,59,42,良,173.8667,18,2016-09
22,65,内江,0.629,137,30,22,81,68,44,良,172.9032,17,2016-10
23,91,内江,0.833,160,35,30,67,98,67,良,216.2333,19,2016-11
24,121,内江,1.123,193,60,33,42,124,91,轻度污染,249.4839,23,2016-12
25,144,内江,1.097,286,42,35,54,143,111,轻度污染,265.7419,25,2017-01
26,102,内江,0.911,171,53,29,71,99,76,轻度污染,220.7143,17,2017-02
27,71,内江,0.813,130,31,29,77,77,51,良,177.4516,18,2017-03
28,68,内江,0.553,106,32,26,114,55,33,良,133.7333,14,2017-04
29,86,内江,0.597,148,44,29,128,77,45,良,221.8387,17,2017-05
30,66,内江,0.543,128,25,24,114,41,26,良,151.8333,14,2017-06
31,94,内江,0.49,205,31,22,152,41,24,良,181.2258,12,2017-07
32,78,内江,0.506,123,21,16,131,31,18,良,122.1935,8,2017-08
33,48,内江,0.663,100,25,20,82,36,23,优,118.7000,8,2017-09
34,41,内江,0.552,81,18,21,55,33,25,优,87.6129,7,2017-10
35,78,内江,0.767,133,38,32,65,77,58,良,185.0333,11,2017-11
36,118,内江,1.0,192,46,41,32,126,89,轻度污染,236.1613,18,2017-12
37,92,内江,1.029,195,24,38,61,90,68,良,174.6774,17,2018-01
38,93,内江,0.975,210,39,28,87,95,68,良,218.8929,17,2018-02
39,69,内江,0.839,128,28,30,104,69,45,良,163.2581,9,2018-03
40,80,内江,0.673,132,32,28,128,73,38,良,188.1000,11,2018-04
41,82,内江,0.561,140,33,22,125,69,39,良,205.1613,11,2018-05
42,66,内江,0.587,132,33,20,116,34,22,良,144.4000,11,2018-06
43,67,内江,0.571,179,26,15,113,24,13,良,140.3226,10,2018-07
44,82,内江,0.755,136,36,20,137,37,22,良,157.8387,9,2018-08
45,40,内江,0.74,79,21,16,75,21,13,优,98.9333,6,2018-09
46,45,内江,0.919,112,23,26,54,44,28,优,115.1935,5,2018-10
47,62,内江,0.853,99,19,29,56,62,44,良,158.1667,6,2018-11
48,71,内江,0.977,155,20,31,34,73,50,良,168.7419,9,2018-12
49,80,内江,1.05,84,77,32,40,75,59,良,181.7500,9,2019-01
