index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,62,凉山州,0.5,62,62,30,109,70,45,良,95.0000,11,2014-12
1,60,凉山州,0.965,113,29,29,85,62,40,良,84.7097,29,2015-01
2,56,凉山州,0.986,73,41,20,104,51,29,良,85.1071,29,2015-02
3,72,凉山州,0.99,99,53,18,126,49,27,良,175.4333,22,2015-03
4,63,凉山州,1.043,88,35,18,114,35,19,良,128.2000,27,2015-04
5,79,凉山州,0.99,101,44,18,134,37,21,良,217.2258,23,2015-05
6,57,凉山州,0.92,93,41,17,107,30,17,良,153.0000,24,2015-06
7,66,凉山州,0.981,105,38,19,117,38,24,良,183.0000,25,2015-07
8,55,凉山州,0.739,89,35,19,99,35,22,良,137.1290,19,2015-08
9,42,凉山州,0.907,60,26,21,71,36,23,优,69.6667,19,2015-09
10,51,凉山州,0.99,84,32,22,88,49,30,良,82.6774,28,2015-10
11,53,凉山州,1.35,78,35,28,90,51,28,良,122.7667,32,2015-11
12,55,凉山州,1.281,112,39,27,70,53,33,良,85.3871,29,2015-12
13,57,凉山州,1.219,83,38,26,94,57,36,良,105.0323,29,2016-01
14,55,凉山州,1.234,109,36,19,92,44,30,良,90.0000,25,2016-02
15,63,凉山州,1.223,84,46,21,115,39,21,良,106.7419,24,2016-03
16,61,凉山州,0.943,83,39,21,110,36,20,良,131.9000,25,2016-04
17,68,凉山州,1.0,101,36,19,120,39,22,良,165.0645,22,2016-05
18,56,凉山州,1.007,95,29,18,96,31,19,良,138.4000,28,2016-06
19,44,凉山州,0.984,95,23,18,79,34,20,优,103.3226,27,2016-07
20,61,凉山州,0.881,106,36,17,108,34,23,良,185.7742,30,2016-08
21,51,凉山州,1.09,80,32,21,71,37,24,良,109.8333,45,2016-09
22,53,凉山州,0.871,82,25,22,81,43,27,良,148.7097,34,2016-10
23,47,凉山州,0.957,65,29,26,79,42,26,优,71.7667,32,2016-11
24,57,凉山州,0.913,93,30,31,70,57,38,良,74.1613,32,2016-12
25,55,凉山州,0.948,82,34,29,96,53,34,良,88.4194,27,2017-01
26,54,凉山州,0.911,70,33,25,99,49,29,良,73.7857,23,2017-02
27,63,凉山州,0.771,81,40,23,114,36,19,良,50.7097,17,2017-03
28,68,凉山州,0.843,116,41,23,118,39,22,良,71.0000,17,2017-04
29,69,凉山州,0.823,100,33,21,120,38,22,良,57.9677,17,2017-05
30,55,凉山州,0.76,95,28,20,101,32,20,良,86.0333,13,2017-06
31,63,凉山州,0.894,120,25,21,110,39,25,良,117.7097,17,2017-07
32,54,凉山州,0.748,107,29,16,99,26,17,良,70.4839,12,2017-08
33,40,凉山州,0.81,66,23,19,78,25,16,优,48.3333,14,2017-09
34,35,凉山州,0.819,54,21,22,63,26,18,优,60.4516,15,2017-10
35,44,凉山州,1.043,60,27,30,76,39,25,优,44.4333,18,2017-11
36,53,凉山州,1.074,88,21,32,48,53,35,良,61.4516,17,2017-12
37,56,凉山州,0.945,92,30,29,89,48,31,良,99.1290,18,2018-01
38,62,凉山州,1.118,108,39,21,101,43,29,良,121.1071,16,2018-02
39,71,凉山州,1.058,95,48,17,125,32,20,良,183.7419,18,2018-03
40,74,凉山州,0.963,102,41,18,128,35,20,良,182.1667,18,2018-04
41,71,凉山州,0.597,99,35,20,120,34,19,良,181.1935,15,2018-05
42,53,凉山州,0.81,112,32,18,100,26,17,良,101.2000,14,2018-06
43,53,凉山州,0.794,107,26,17,98,30,19,良,116.0645,15,2018-07
44,65,凉山州,0.977,102,38,16,114,36,25,良,118.1935,14,2018-08
45,36,凉山州,0.877,63,21,18,65,25,16,优,105.1667,14,2018-09
46,37,凉山州,0.835,54,22,19,64,30,19,优,58.0000,17,2018-10
47,42,凉山州,0.903,57,32,23,78,39,25,优,69.2667,16,2018-11
48,43,凉山州,1.026,65,32,24,77,39,23,优,77.4194,17,2018-12
49,46,凉山州,0.95,48,42,21,81,37,24,优,72.2500,16,2019-01
