index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,139,包头,3.197,256,55,59,33,198,98,轻度污染,60.1333,125,2013-12
1,126,包头,3.103,236,67,57,34,198,76,轻度污染,98.6333,113,2014-01
2,110,包头,1.925,193,34,50,43,150,74,轻度污染,111.7857,85,2014-02
3,114,包头,1.371,271,38,45,55,173,48,轻度污染,121.8387,63,2014-03
4,97,包头,1.01,181,61,41,92,145,44,良,117.6207,38,2014-04
5,125,包头,0.9,373,48,37,120,190,46,轻度污染,135.4194,41,2014-05
6,82,包头,0.91,138,54,37,125,103,34,良,99.7333,29,2014-06
7,94,包头,0.997,155,41,39,148,97,39,良,123.6129,31,2014-07
8,76,包头,1.01,114,51,41,117,92,35,良,111.3871,26,2014-08
9,78,包头,1.097,123,38,47,92,105,40,良,122.5000,32,2014-09
10,110,包头,1.339,217,56,53,70,163,60,轻度污染,127.5484,40,2014-10
11,105,包头,2.113,235,33,54,49,157,64,轻度污染,114.5333,53,2014-11
12,104,包头,2.203,168,55,49,39,151,61,轻度污染,112.6129,69,2014-12
13,106,包头,2.394,221,52,54,38,147,75,轻度污染,193.2903,76,2015-01
14,101,包头,1.843,295,34,41,58,131,62,轻度污染,192.4286,56,2015-02
15,89,包头,1.384,151,35,39,79,124,46,良,218.7419,42,2015-03
16,72,包头,1.107,199,38,37,92,96,33,良,154.8333,32,2015-04
17,84,包头,0.874,138,48,31,120,108,35,良,220.9032,24,2015-05
18,83,包头,0.9,125,49,29,133,78,31,良,248.5000,18,2015-06
19,100,包头,0.865,159,52,32,158,84,37,良,295.8065,26,2015-07
20,80,包头,1.003,120,46,35,132,78,31,良,242.0000,24,2015-08
21,66,包头,0.973,102,39,37,103,70,33,良,194.3667,24,2015-09
22,82,包头,1.316,133,33,47,75,113,46,良,206.6129,34,2015-10
23,100,包头,1.637,218,42,47,38,121,71,轻度污染,251.3000,45,2015-11
24,139,包头,2.381,269,33,60,30,166,102,轻度污染,254.3871,59,2015-12
25,84,包头,1.7,231,40,41,55,104,54,良,169.4194,50,2016-01
26,77,包头,1.421,270,39,34,73,87,49,良,150.6207,43,2016-02
27,110,包头,1.377,475,41,42,92,152,59,轻度污染,196.9032,34,2016-03
28,89,包头,1.107,153,43,35,109,127,40,良,255.0667,22,2016-04
29,104,包头,1.158,375,58,31,130,132,45,轻度污染,258.7419,21,2016-05
30,75,包头,0.763,135,48,32,127,74,31,良,216.6333,20,2016-06
31,93,包头,0.758,144,46,27,149,67,30,良,287.1290,17,2016-07
32,75,包头,0.874,126,39,31,125,66,28,良,224.9032,16,2016-08
33,62,包头,1.03,92,45,39,104,68,29,良,163.7333,24,2016-09
34,75,包头,1.365,135,41,45,77,97,45,良,253.6129,30,2016-10
35,114,包头,2.257,192,31,57,53,159,74,轻度污染,270.1333,47,2016-11
36,104,包头,2.268,213,48,58,43,124,75,轻度污染,192.0968,52,2016-12
37,107,包头,2.265,437,36,50,56,126,80,轻度污染,191.8065,52,2017-01
38,94,包头,1.832,216,43,47,75,97,69,良,200.1071,41,2017-02
39,68,包头,1.197,155,41,37,97,72,41,良,139.5161,24,2017-03
40,79,包头,1.193,172,51,38,114,89,31,良,188.9000,25,2017-04
41,119,包头,1.035,500,55,38,131,100,34,轻度污染,233.8065,21,2017-05
42,92,包头,0.89,138,48,36,147,80,33,良,242.6333,18,2017-06
43,93,包头,0.994,150,50,36,151,72,32,良,239.9032,16,2017-07
44,75,包头,1.09,117,42,38,127,64,26,良,237.7097,19,2017-08
45,74,包头,1.02,171,48,43,108,80,29,良,248.7000,20,2017-09
46,75,包头,1.365,154,37,47,69,91,47,良,239.4516,21,2017-10
47,87,包头,1.727,167,40,48,54,117,50,良,203.0667,34,2017-11
48,88,包头,2.11,175,46,50,26,111,51,良,169.7097,40,2017-12
49,69,包头,1.642,124,0,43,55,87,40,良,148.4516,33,2018-01
50,68,包头,1.479,152,0,37,81,84,39,良,140.3929,31,2018-02
51,53,包头,1.503,118,0,47,97,66,31,良,144.6129,30,2018-03
52,51,包头,0.793,105,0,34,114,59,21,良,130.0000,19,2018-04
53,76,包头,0.735,137,0,34,135,78,29,良,194.5161,16,2018-05
54,94,包头,0.767,159,43,30,145,65,24,良,218.8667,15,2018-06
55,90,包头,1.013,131,52,27,146,59,33,良,263.5484,11,2018-07
56,81,包头,0.932,104,44,30,136,55,28,良,226.3871,14,2018-08
57,54,包头,0.737,96,29,33,76,54,23,良,192.9000,16,2018-09
58,66,包头,0.974,110,32,42,71,75,38,良,216.7742,21,2018-10
59,87,包头,1.53,347,29,51,47,111,52,良,245.4333,36,2018-11
60,85,包头,1.619,223,29,46,42,113,51,良,220.9677,37,2018-12
61,84,包头,1.525,134,55,42,41,91,60,良,162.0000,35,2019-01
