index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,100,北京,1.73,291,23,56,38,97,73,轻度污染,31.8000,37,2013-12
1,125,北京,1.948,402,26,65,37,123,94,轻度污染,80.0000,51,2014-01
2,184,北京,2.171,428,33,69,42,155,148,中度污染,136.6071,56,2014-02
3,130,北京,1.39,319,35,62,83,138,94,轻度污染,108.5161,34,2014-03
4,127,北京,0.927,279,65,57,129,145,89,轻度污染,144.5000,16,2014-04
5,107,北京,0.839,205,46,47,149,118,61,轻度污染,115.8387,15,2014-05
6,116,北京,0.79,179,50,39,168,74,54,轻度污染,143.3000,6,2014-06
7,140,北京,0.939,252,39,39,170,100,89,轻度污染,154.9677,6,2014-07
8,120,北京,0.839,200,46,43,172,88,62,轻度污染,157.3226,5,2014-08
9,99,北京,0.983,200,43,49,106,88,65,良,142.7667,6,2014-09
10,154,北京,1.339,381,28,70,54,148,118,中度污染,121.4194,9,2014-10
11,117,北京,1.567,342,29,65,37,127,86,轻度污染,101.4667,16,2014-11
12,86,北京,1.552,267,21,53,42,95,58,良,65.4194,28,2014-12
13,126,北京,1.91,378,28,66,39,120,97,轻度污染,196.6452,34,2015-01
14,127,北京,1.457,334,36,51,60,114,93,轻度污染,212.8571,26,2015-02
15,127,北京,1.194,281,40,53,87,146,86,轻度污染,253.4516,20,2015-03
16,107,北京,0.76,212,38,43,124,118,71,轻度污染,250.6000,9,2015-04
17,105,北京,0.745,203,42,37,153,97,55,轻度污染,244.6774,8,2015-05
18,111,北京,1.303,231,35,35,156,70,60,轻度污染,269.5333,6,2015-06
19,122,北京,0.823,200,41,35,177,74,61,轻度污染,304.0968,4,2015-07
20,104,北京,0.79,202,37,31,159,66,45,轻度污染,273.7419,3,2015-08
21,83,北京,0.837,201,34,43,109,59,50,良,220.8000,5,2015-09
22,106,北京,0.955,344,27,55,74,86,74,轻度污染,175.0645,6,2015-10
23,153,北京,1.983,450,37,62,25,85,119,中度污染,285.7667,12,2015-11
24,187,北京,2.865,485,23,76,26,172,152,中度污染,253.1613,20,2015-12
25,97,北京,1.584,316,32,53,42,88,68,良,165.4194,20,2016-01
26,71,北京,0.903,238,34,35,68,59,44,良,111.6897,15,2016-02
27,132,北京,1.229,365,37,57,79,136,93,轻度污染,212.9032,18,2016-03
28,106,北京,0.803,209,43,44,116,118,69,轻度污染,262.8966,10,2016-04
29,111,北京,0.665,234,49,38,160,90,54,轻度污染,266.6129,8,2016-05
30,126,北京,0.767,189,50,35,183,70,59,轻度污染,315.7667,5,2016-06
31,118,北京,0.916,177,40,33,159,74,69,轻度污染,307.5484,3,2016-07
32,94,北京,0.832,179,34,35,135,60,47,良,269.2258,3,2016-08
33,86,北京,0.76,211,0,43,104,73,55,良,217.8000,3,2016-09
34,116,北京,1.155,292,29,56,47,101,85,轻度污染,278.9355,4,2016-10
35,133,北京,1.797,315,28,68,28,134,100,轻度污染,254.0000,11,2016-11
36,168,北京,2.51,431,54,80,28,159,133,中度污染,250.0968,17,2016-12
37,146,北京,2.203,470,34,65,41,131,116,轻度污染,208.3871,18,2017-01
38,100,北京,1.318,305,36,53,65,84,71,良,170.4286,18,2017-02
39,94,北京,0.913,273,40,50,86,84,63,良,176.5161,11,2017-03
40,87,北京,0.693,174,38,48,101,104,53,良,229.2000,7,2017-04
41,134,北京,0.674,500,53,37,161,104,48,轻度污染,218.3226,7,2017-05
42,125,北京,0.783,200,50,38,184,75,42,轻度污染,228.5333,6,2017-06
43,118,北京,0.894,208,38,34,174,71,52,轻度污染,242.0645,3,2017-07
44,85,北京,0.803,162,34,35,131,56,38,良,224.1935,3,2017-08
45,98,北京,0.913,189,36,49,123,100,58,良,264.1667,4,2017-09
46,84,北京,0.923,221,25,46,47,63,57,良,216.4839,3,2017-10
47,75,北京,0.903,201,30,49,44,73,46,良,147.7667,5,2017-11
48,81,北京,1.09,254,23,49,25,68,44,良,105.3871,8,2017-12
49,66,北京,0.832,175,29,42,52,64,34,良,112.8065,8,2018-01
50,81,北京,0.861,219,35,34,76,72,50,良,140.5000,10,2018-02
51,119,北京,1.084,294,0,58,88,108,85,轻度污染,254.7419,10,2018-03
52,105,北京,0.743,273,39,41,125,116,64,轻度污染,234.8333,7,2018-04
53,100,北京,0.7,185,0,40,146,93,48,轻度污染,242.7742,5,2018-05
54,123,北京,0.803,203,48,35,183,74,48,轻度污染,96.9667,4,2018-06
55,100,北京,0.926,173,31,26,147,53,50,轻度污染,257.0323,3,2018-07
56,93,北京,0.861,172,39,28,145,51,35,良,215.7742,3,2018-08
57,59,北京,0.603,130,26,34,92,45,28,良,195.3333,3,2018-09
58,74,北京,0.71,202,25,45,70,62,41,良,170.1290,4,2018-10
59,108,北京,1.107,270,39,60,37,98,71,轻度污染,263.0333,7,2018-11
60,75,北京,0.871,233,33,46,41,81,40,良,179.1935,7,2018-12
61,69,北京,0.925,162,35,47,41,64,44,良,126.7500,10,2019-01
