index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,116,北海,1.37,210,34,25,111,121,85,轻度污染,50.3000,19,2013-12
1,110,北海,1.581,198,61,20,123,117,81,轻度污染,79.9032,17,2014-01
2,61,北海,1.236,139,36,9,73,64,37,良,55.2857,9,2014-02
3,53,北海,0.99,75,26,8,63,58,28,良,25.2581,11,2014-03
4,53,北海,1.143,99,34,7,87,51,21,良,26.6667,13,2014-04
5,52,北海,1.281,77,29,11,94,46,14,良,34.6774,12,2014-05
6,45,北海,1.063,106,32,9,84,40,11,优,26.7667,10,2014-06
7,40,北海,1.027,62,29,8,71,34,10,优,23.2667,11,2014-07
8,37,北海,1.106,79,24,11,70,27,6,优,23.1613,11,2014-08
9,46,北海,1.023,82,24,12,86,35,17,优,40.2667,8,2014-09
10,84,北海,1.171,138,41,15,134,81,49,良,90.3548,13,2014-10
11,64,北海,1.163,117,18,15,94,63,39,良,47.5667,12,2014-11
12,77,北海,1.377,126,29,24,92,81,56,良,74.7097,18,2014-12
13,78,北海,1.281,146,24,22,105,80,56,良,137.9355,13,2015-01
14,83,北海,1.1,161,30,17,96,75,60,良,159.2857,7,2015-02
15,56,北海,1.081,89,33,15,85,49,32,良,101.6452,6,2015-03
16,64,北海,1.023,121,24,15,107,53,31,良,135.6333,7,2015-04
17,52,北海,0.965,73,38,12,101,35,14,良,86.2581,6,2015-05
18,41,北海,0.943,53,26,10,82,29,9,优,76.1333,8,2015-06
19,46,北海,0.906,80,25,9,88,35,15,优,92.0968,8,2015-07
20,56,北海,0.968,115,27,9,100,40,17,良,132.5484,9,2015-08
21,44,北海,1.143,74,32,12,81,36,20,优,85.7000,9,2015-09
22,62,北海,1.032,103,32,16,99,63,41,良,126.7097,12,2015-10
23,49,北海,1.14,83,30,14,81,46,27,优,94.3667,10,2015-11
24,50,北海,1.11,149,26,17,65,48,33,良,65.7419,11,2015-12
25,55,北海,1.123,97,28,19,69,50,37,良,86.4516,9,2016-01
26,71,北海,0.959,176,28,15,79,66,51,良,159.9310,9,2016-02
27,59,北海,0.987,110,34,16,91,56,38,良,99.5806,9,2016-03
28,61,北海,0.95,90,38,11,108,49,29,良,128.1667,8,2016-04
29,63,北海,0.881,118,38,9,113,38,18,良,131.0968,7,2016-05
30,43,北海,0.807,60,31,6,86,26,10,优,76.7000,6,2016-06
31,35,北海,0.594,50,23,7,68,30,10,优,55.9355,8,2016-07
32,44,北海,0.7,76,32,10,84,32,16,优,83.3548,8,2016-08
33,60,北海,0.75,103,27,12,108,43,25,良,161.1333,11,2016-09
34,67,北海,0.748,102,30,12,117,46,29,良,221.6774,12,2016-10
35,53,北海,0.743,110,20,14,95,40,25,良,91.9000,11,2016-11
36,78,北海,1.113,109,53,19,126,70,49,良,142.4839,12,2016-12
37,78,北海,1.326,130,35,16,117,62,49,良,146.3226,9,2017-01
38,67,北海,1.236,106,42,13,110,57,43,良,140.9286,9,2017-02
39,54,北海,1.235,104,30,13,86,50,32,良,110.7419,8,2017-03
40,53,北海,1.073,100,32,12,94,41,25,良,62.2667,8,2017-04
41,48,北海,0.952,116,23,10,91,33,20,优,44.8065,8,2017-05
42,44,北海,0.86,173,27,9,82,28,9,优,51.6667,7,2017-06
43,32,北海,0.835,63,19,9,62,26,8,优,47.6129,8,2017-07
44,32,北海,0.677,52,20,10,61,28,7,优,51.1613,7,2017-08
45,38,北海,0.79,55,25,12,76,30,12,优,65.9000,8,2017-09
46,62,北海,1.135,182,26,14,109,50,29,良,109.5806,11,2017-10
47,63,北海,1.197,146,25,18,92,57,38,良,111.9667,10,2017-11
48,84,北海,1.213,148,28,24,62,81,61,良,150.2581,14,2017-12
49,76,北海,1.2,134,33,22,102,66,52,良,154.5484,11,2018-01
50,78,北海,0.943,192,28,17,87,72,56,良,163.0714,10,2018-02
51,62,北海,0.806,117,35,14,108,50,28,良,128.8710,9,2018-03
52,54,北海,0.947,95,30,15,92,52,24,良,93.9333,9,2018-04
53,42,北海,0.661,65,29,10,82,28,9,优,55.3548,7,2018-05
54,52,北海,0.857,90,30,10,96,35,15,良,93.6667,7,2018-06
55,37,北海,0.852,54,26,10,73,27,11,优,81.1613,7,2018-07
56,46,北海,0.916,83,28,13,87,33,15,优,103.6774,7,2018-08
57,42,北海,0.93,78,20,12,79,36,19,优,132.7667,7,2018-09
58,63,北海,1.032,129,25,14,109,51,29,良,146.8387,11,2018-10
59,59,北海,1.087,98,29,17,96,52,35,良,149.0000,11,2018-11
60,48,北海,1.081,77,23,17,61,43,30,优,94.7742,8,2018-12
61,40,北海,0.95,52,29,16,44,35,28,优,67.0000,8,2019-01
