index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,195,南京,1.62,386,61,87,37,243,155,中度污染,80.0333,61,2013-12
1,166,南京,1.374,347,65,73,56,201,129,中度污染,121.2258,46,2014-01
2,105,南京,1.021,242,24,44,66,109,78,轻度污染,103.8571,24,2014-02
3,107,南京,0.826,256,55,62,107,141,75,轻度污染,119.5806,33,2014-03
4,93,南京,0.697,144,47,53,125,108,60,良,113.8000,22,2014-04
5,134,南京,0.887,270,70,56,177,172,85,轻度污染,162.0968,26,2014-05
6,130,南京,0.813,216,49,45,161,128,90,轻度污染,150.6333,20,2014-06
7,98,南京,0.816,169,35,36,128,92,65,良,125.4194,13,2014-07
8,59,南京,0.758,126,26,31,64,59,42,良,66.2581,11,2014-08
9,77,南京,0.733,142,36,37,105,82,51,良,116.7333,13,2014-09
10,96,南京,0.79,176,60,54,105,120,67,良,110.2581,17,2014-10
11,111,南京,1.037,243,37,60,58,132,82,轻度污染,122.4000,21,2014-11
12,98,南京,1.065,148,65,58,41,136,63,良,113.4516,30,2014-12
13,129,南京,1.313,281,46,66,40,154,96,轻度污染,235.3548,30,2015-01
14,101,南京,1.175,212,29,44,70,115,73,轻度污染,198.8571,21,2015-02
15,83,南京,1.113,186,31,49,83,96,56,良,207.4516,20,2015-03
16,87,南京,0.92,153,44,56,123,95,50,良,229.7333,20,2015-04
17,95,南京,0.887,145,45,47,141,90,52,良,259.4516,18,2015-05
18,89,南京,0.863,185,28,39,132,77,46,良,245.3333,14,2015-06
19,77,南京,0.713,146,28,36,117,64,36,良,206.0645,12,2015-07
20,93,南京,0.745,166,30,38,147,65,33,良,257.0323,14,2015-08
21,84,南京,0.733,145,50,44,138,62,30,良,267.3667,15,2015-09
22,92,南京,0.932,201,42,61,119,112,56,良,247.8065,22,2015-10
23,84,南京,1.087,190,39,53,59,88,57,良,228.8333,17,2015-11
24,131,南京,1.21,241,60,65,49,143,94,轻度污染,257.3548,25,2015-12
25,111,南京,1.345,234,47,58,58,124,79,轻度污染,230.3871,26,2016-01
26,100,南京,1.345,153,47,47,93,116,69,轻度污染,252.7931,22,2016-02
27,110,南京,1.216,200,42,57,95,133,77,轻度污染,249.0968,21,2016-03
28,86,南京,0.993,143,41,45,131,89,45,良,231.9000,18,2016-04
29,97,南京,1.039,235,51,37,141,88,43,良,259.3871,15,2016-05
30,80,南京,0.94,152,43,34,124,62,37,良,221.9333,17,2016-06
31,76,南京,1.006,140,34,30,115,56,30,良,237.1613,18,2016-07
32,97,南京,0.829,203,39,31,152,54,26,良,279.9355,16,2016-08
33,102,南京,0.817,179,32,37,154,67,33,轻度污染,271.3000,14,2016-09
34,56,南京,1.019,109,33,39,74,47,25,良,165.2903,11,2016-10
35,72,南京,1.227,123,30,51,64,84,43,良,163.2667,18,2016-11
36,96,南京,1.306,158,40,65,75,113,66,良,178.0968,23,2016-12
37,89,南京,1.223,206,46,51,73,96,59,良,168.9355,20,2017-01
38,85,南京,1.286,125,46,53,93,94,60,良,183.6429,20,2017-02
39,77,南京,1.168,112,56,54,105,89,47,良,179.7097,18,2017-03
40,93,南京,1.227,124,43,51,136,93,42,良,210.6000,18,2017-04
41,111,南京,1.061,200,34,45,160,69,30,轻度污染,182.2258,18,2017-05
42,109,南京,0.95,200,40,37,164,61,31,轻度污染,182.6333,13,2017-06
43,79,南京,1.013,149,31,34,127,46,19,良,134.1290,13,2017-07
44,64,南京,0.974,130,35,33,112,39,17,良,130.6774,12,2017-08
45,72,南京,0.95,146,36,40,112,49,26,良,144.4000,10,2017-09
46,63,南京,0.781,128,30,43,97,56,31,良,138.0323,10,2017-10
47,81,南京,0.91,127,31,60,72,104,50,良,177.5667,16,2017-11
48,115,南京,1.139,304,52,67,29,112,63,轻度污染,188.2903,18,2017-12
49,115,南京,1.061,271,0,61,57,112,83,轻度污染,208.3226,14,2018-01
50,78,南京,0.868,183,0,47,74,86,54,良,167.9286,13,2018-02
51,74,南京,0.742,113,41,52,95,84,48,良,181.2258,13,2018-03
52,78,南京,0.697,150,0,50,133,85,38,良,191.5667,13,2018-04
53,69,南京,0.735,120,0,39,119,63,33,良,168.2903,9,2018-05
54,109,南京,0.62,188,38,31,165,58,30,轻度污染,77.9667,9,2018-06
55,78,南京,0.603,138,32,29,126,47,26,良,214.0968,9,2018-07
56,81,南京,0.639,174,34,23,133,41,24,良,146.8065,8,2018-08
57,70,南京,0.653,125,29,34,115,53,27,良,208.6667,8,2018-09
58,73,南京,0.584,137,47,44,113,72,34,良,196.3548,8,2018-10
59,82,南京,0.89,227,32,52,69,84,55,良,200.4667,8,2018-11
60,78,南京,0.845,144,34,47,44,82,50,良,191.4516,10,2018-12
61,97,南京,1.013,135,68,54,30,97,72,良,206.6250,12,2019-01
