index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,151,南充,1.0,151,151,50,41,197,116,中度污染,145.0000,27,2013-12
1,198,南充,1.416,301,115,49,38,222,154,中度污染,141.9032,40,2014-01
2,141,南充,1.214,239,46,39,36,152,107,轻度污染,133.6786,36,2014-02
3,98,南充,0.897,170,53,36,39,119,72,良,103.1290,25,2014-03
4,70,南充,0.787,138,35,29,47,82,50,良,61.1000,19,2014-04
5,96,南充,0.671,139,50,25,52,116,72,良,108.0323,17,2014-05
6,69,南充,0.627,125,34,19,47,75,50,良,78.9667,17,2014-06
7,65,南充,0.639,101,31,26,66,75,47,良,78.9032,24,2014-07
8,64,南充,0.539,103,31,25,75,68,46,良,83.4839,23,2014-08
9,58,南充,0.54,109,28,27,62,61,41,良,71.8000,20,2014-09
10,83,南充,0.655,158,37,35,63,95,61,良,85.5484,21,2014-10
11,70,南充,0.757,112,30,36,34,75,50,良,63.1667,19,2014-11
12,114,南充,0.932,203,52,43,26,128,85,轻度污染,127.0323,26,2014-12
13,148,南充,1.348,248,41,33,24,152,112,轻度污染,266.3226,19,2015-01
14,122,南充,1.543,204,43,32,30,131,92,轻度污染,253.1071,13,2015-02
15,82,南充,1.303,122,38,27,26,100,60,良,203.5484,13,2015-03
16,70,南充,0.82,148,24,20,41,84,49,良,144.7000,10,2015-04
17,73,南充,0.745,109,43,20,65,86,51,良,184.1290,12,2015-05
18,56,南充,0.63,84,29,23,53,64,37,良,146.2333,13,2015-06
19,82,南充,0.697,140,35,20,108,80,47,良,239.9355,13,2015-07
20,70,南充,0.629,98,30,27,100,64,44,良,209.8710,11,2015-08
21,62,南充,0.58,108,33,34,59,59,44,良,177.1333,10,2015-09
22,83,南充,0.668,133,37,45,59,90,61,良,214.7742,10,2015-10
23,69,南充,0.773,103,42,38,30,74,50,良,197.1667,9,2015-11
24,103,南充,0.926,214,57,47,38,115,76,轻度污染,222.0000,8,2015-12
25,117,南充,1.029,185,54,41,41,117,88,轻度污染,256.4516,10,2016-01
26,117,南充,1.021,259,46,34,47,124,88,轻度污染,288.5172,8,2016-02
27,94,南充,1.035,142,35,34,52,101,70,良,226.9355,10,2016-03
28,71,南充,0.867,133,48,33,73,73,51,良,169.8333,11,2016-04
29,71,南充,0.787,137,30,29,89,77,50,良,169.2258,14,2016-05
30,57,南充,0.64,85,30,23,94,58,36,良,141.0667,15,2016-06
31,53,南充,0.613,71,37,20,92,51,32,良,152.9032,12,2016-07
32,59,南充,0.623,88,36,21,99,60,38,良,169.2903,12,2016-08
33,69,南充,0.763,119,48,28,80,72,50,良,193.0333,14,2016-09
34,57,南充,0.8,110,27,28,60,59,41,良,153.8065,12,2016-10
35,81,南充,0.893,144,35,34,45,88,60,良,200.6000,13,2016-11
36,109,南充,1.126,148,51,39,46,119,81,轻度污染,224.1290,12,2016-12
37,115,南充,1.184,208,42,41,62,127,86,轻度污染,223.6452,11,2017-01
38,80,南充,0.986,133,38,40,77,86,59,良,167.2500,12,2017-02
39,67,南充,0.806,114,36,42,88,66,42,良,168.5484,12,2017-03
40,66,南充,0.66,116,32,35,107,59,36,良,139.0000,11,2017-04
41,87,南充,0.732,149,32,36,126,77,49,良,231.3548,13,2017-05
42,70,南充,0.73,132,37,28,120,52,34,良,189.8333,14,2017-06
43,77,南充,0.59,123,33,28,131,52,31,良,199.3871,15,2017-07
44,76,南充,0.594,115,27,24,130,46,27,良,188.9032,10,2017-08
45,57,南充,0.673,101,29,27,94,48,29,良,146.9333,15,2017-09
46,44,南充,0.665,73,26,28,67,41,27,优,109.7742,13,2017-10
47,73,南充,0.88,113,45,35,66,83,53,良,178.9333,12,2017-11
48,109,南充,1.097,162,57,40,43,114,74,轻度污染,228.1613,10,2017-12
49,93,南充,1.065,217,31,49,75,106,68,良,196.5806,12,2018-01
50,97,南充,1.004,210,47,40,97,108,70,良,235.4286,11,2018-02
51,75,南充,0.826,125,35,40,99,82,52,良,179.5161,10,2018-03
52,84,南充,0.66,132,48,36,132,82,45,良,216.0667,12,2018-04
53,82,南充,0.613,140,46,30,130,74,44,良,212.0645,11,2018-05
54,71,南充,0.57,164,36,27,123,47,30,良,160.2667,10,2018-06
55,61,南充,0.571,109,26,25,107,46,32,良,180.8710,7,2018-07
56,73,南充,0.694,120,45,26,124,62,42,良,239.6774,8,2018-08
57,45,南充,0.577,73,23,24,78,38,26,优,156.1333,9,2018-09
58,59,南充,0.694,119,35,31,63,61,42,良,183.3548,7,2018-10
59,67,南充,0.79,105,27,29,54,68,48,良,184.2000,6,2018-11
60,89,南充,0.913,175,38,26,50,89,64,良,239.7742,8,2018-12
61,97,南充,1.05,110,75,29,52,89,72,良,221.5000,7,2019-01
