index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,148,南宁,1.577,204,30,63,97,162,111,轻度污染,68.2000,41,2013-12
1,147,南宁,1.532,250,66,57,93,162,112,轻度污染,112.4194,35,2014-01
2,72,南宁,1.225,157,24,34,58,72,52,良,71.6071,15,2014-02
3,69,南宁,1.306,116,33,40,42,78,49,良,59.9677,15,2014-03
4,61,南宁,1.16,94,41,32,67,70,38,良,44.3667,14,2014-04
5,61,南宁,1.074,95,35,29,93,64,33,良,45.5161,13,2014-05
6,57,南宁,0.937,125,29,26,93,57,29,良,48.1333,13,2014-06
7,44,南宁,0.829,69,19,25,67,47,21,优,36.4839,12,2014-07
8,50,南宁,0.771,90,27,27,76,53,21,良,49.2903,11,2014-08
9,56,南宁,0.86,108,27,29,91,63,33,良,65.8667,12,2014-09
10,95,南宁,1.013,167,41,44,124,113,70,良,108.6452,18,2014-10
11,71,南宁,0.96,147,22,41,64,84,49,良,62.8667,15,2014-11
12,97,南宁,1.065,182,29,50,73,120,71,良,108.5161,24,2014-12
13,96,南宁,1.165,207,30,46,80,112,71,良,170.8065,18,2015-01
14,99,南宁,1.1,211,35,36,65,97,73,良,189.6429,13,2015-02
15,56,南宁,1.003,115,23,30,57,59,39,良,104.5161,10,2015-03
16,68,南宁,0.947,112,33,31,102,82,43,良,150.1333,13,2015-04
17,53,南宁,0.829,79,32,25,88,56,28,良,92.8065,9,2015-05
18,43,南宁,0.697,56,28,21,75,43,19,优,84.4667,8,2015-06
19,53,南宁,0.79,106,19,26,88,57,29,良,129.0323,11,2015-07
20,58,南宁,0.803,98,24,29,88,68,34,良,147.0968,13,2015-08
21,49,南宁,0.903,89,27,27,75,53,29,优,112.9667,11,2015-09
22,79,南宁,1.039,127,33,41,98,105,53,良,199.9677,18,2015-10
23,56,南宁,1.043,92,33,34,52,61,34,良,126.9000,13,2015-11
24,62,南宁,1.003,128,31,38,40,67,41,良,111.4839,15,2015-12
25,63,南宁,1.216,110,35,40,40,70,43,良,122.9032,13,2016-01
26,82,南宁,1.014,285,28,32,72,89,60,良,190.4828,16,2016-02
27,68,南宁,1.055,113,40,38,56,80,47,良,131.2581,12,2016-03
28,61,南宁,0.913,103,37,29,83,66,38,良,125.3667,9,2016-04
29,52,南宁,0.829,89,34,26,79,54,27,良,81.0645,10,2016-05
30,43,南宁,0.723,64,27,22,79,37,17,优,72.0333,8,2016-06
31,40,南宁,0.694,75,23,21,67,41,19,优,81.4516,9,2016-07
32,49,南宁,0.752,91,23,26,88,49,27,优,113.5484,10,2016-08
33,62,南宁,0.793,101,25,31,101,66,39,良,168.7000,14,2016-09
34,59,南宁,0.852,94,29,32,91,62,36,良,186.4839,15,2016-10
35,49,南宁,0.89,75,27,35,61,51,29,优,71.6000,13,2016-11
36,79,南宁,1.074,130,38,50,75,91,57,良,133.2903,19,2016-12
37,80,南宁,1.287,181,30,39,66,81,59,良,146.5161,14,2017-01
38,67,南宁,1.154,119,34,31,77,66,47,良,123.9286,15,2017-02
39,52,南宁,1.245,95,28,35,50,50,33,良,103.5806,11,2017-03
40,55,南宁,1.06,92,38,32,82,57,33,良,104.5333,11,2017-04
41,51,南宁,0.987,93,28,34,89,48,28,良,108.2581,9,2017-05
42,41,南宁,0.947,71,27,27,71,37,19,优,92.8667,8,2017-06
43,45,南宁,1.006,93,24,28,78,42,23,优,122.7419,8,2017-07
44,43,南宁,0.974,84,25,28,74,37,19,优,128.3871,8,2017-08
45,50,南宁,1.017,81,30,30,92,44,24,优,128.1000,9,2017-09
46,59,南宁,1.058,118,28,34,99,57,36,良,143.8710,11,2017-10
47,70,南宁,1.19,128,32,46,70,75,47,良,158.3667,12,2017-11
48,85,南宁,1.248,150,43,55,44,84,58,良,157.5161,19,2017-12
49,80,南宁,1.29,172,33,51,64,81,54,良,159.1290,14,2018-01
50,73,南宁,1.1,145,28,36,80,70,52,良,145.9643,12,2018-02
51,64,南宁,0.994,95,42,40,91,64,40,良,136.8065,11,2018-03
52,62,南宁,0.903,120,35,35,92,64,33,良,126.9333,11,2018-04
53,45,南宁,0.813,81,33,24,86,37,20,优,69.3226,8,2018-05
54,49,南宁,0.933,90,21,25,88,40,22,优,16.9667,9,2018-06
55,40,南宁,0.881,122,25,24,70,36,19,优,92.2258,8,2018-07
56,53,南宁,0.994,88,25,32,90,48,27,良,163.1935,9,2018-08
57,47,南宁,0.807,87,22,27,80,44,26,优,164.8000,9,2018-09
58,61,南宁,1.026,112,33,40,81,64,34,良,170.5484,11,2018-10
59,61,南宁,1.14,98,32,44,60,69,39,良,157.3000,12,2018-11
60,50,南宁,1.035,90,25,33,36,50,30,优,99.4839,9,2018-12
61,39,南宁,0.825,45,31,28,31,31,23,优,52.2500,9,2019-01
