index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,63,南平,1.3,63,63,10,64,65,45,良,101.0000,30,2014-12
1,64,南平,1.503,111,26,13,74,66,45,良,82.3548,23,2015-01
2,62,南平,1.546,116,29,14,76,61,42,良,101.7857,17,2015-02
3,47,南平,1.316,84,20,12,79,43,25,优,63.8710,18,2015-03
4,60,南平,1.163,105,25,14,102,53,31,良,110.0333,20,2015-04
5,53,南平,0.852,78,37,14,80,50,21,良,91.9355,12,2015-05
6,40,南平,0.643,72,24,9,70,36,18,优,74.6667,6,2015-06
7,34,南平,0.71,81,19,9,63,27,19,优,40.3548,11,2015-07
8,38,南平,0.832,84,18,12,72,29,20,优,54.3871,14,2015-08
9,51,南平,0.863,102,24,12,91,35,24,良,114.8333,16,2015-09
10,50,南平,0.977,107,23,12,86,40,29,优,70.1290,17,2015-10
11,37,南平,1.03,59,23,20,47,31,22,优,34.4333,15,2015-11
12,39,南平,1.087,62,22,20,41,33,23,优,32.6774,16,2015-12
13,40,南平,1.116,68,24,21,44,36,23,优,29.5484,16,2016-01
14,48,南平,0.979,140,24,14,72,42,30,优,53.5862,14,2016-02
15,57,南平,1.081,98,26,23,81,45,37,良,76.5484,7,2016-03
16,52,南平,1.327,86,29,20,87,37,26,良,85.4667,7,2016-04
17,50,南平,1.158,87,30,15,89,34,25,优,70.0000,8,2016-05
18,35,南平,0.997,50,24,13,66,29,16,优,44.4667,7,2016-06
19,47,南平,0.881,86,19,13,87,38,21,优,117.4194,9,2016-07
20,47,南平,0.945,93,27,13,89,37,22,优,97.2258,10,2016-08
21,51,南平,0.903,84,21,15,90,40,25,良,105.0667,12,2016-09
22,36,南平,0.794,60,25,17,63,32,19,优,58.6452,12,2016-10
23,38,南平,0.78,60,20,22,54,37,23,优,32.0667,16,2016-11
24,56,南平,0.926,113,26,29,64,54,38,良,59.3226,19,2016-12
25,50,南平,0.994,155,25,22,61,45,34,良,59.1935,11,2017-01
26,45,南平,0.968,73,24,22,78,39,30,优,57.5357,12,2017-02
27,45,南平,0.932,83,22,24,69,38,26,优,49.3871,11,2017-03
28,60,南平,0.877,95,26,22,102,43,27,良,64.4333,11,2017-04
29,57,南平,0.774,125,31,18,106,38,23,良,58.3226,9,2017-05
30,35,南平,0.873,63,20,14,67,25,13,优,39.0000,8,2017-06
31,42,南平,0.719,109,17,11,82,28,14,优,57.0968,7,2017-07
32,47,南平,0.755,75,20,13,92,31,17,优,84.7097,8,2017-08
33,60,南平,0.743,101,34,16,109,36,20,良,74.6667,9,2017-09
34,58,南平,0.726,99,31,17,107,36,23,良,74.7419,10,2017-10
35,47,南平,0.787,91,17,22,79,39,26,优,53.1333,12,2017-11
36,55,南平,0.774,84,21,31,46,50,37,良,59.8710,14,2017-12
37,44,南平,0.777,77,18,25,69,37,28,优,44.9032,11,2018-01
38,61,南平,0.693,276,20,17,80,50,41,良,90.4286,11,2018-02
39,54,南平,0.723,75,32,21,93,40,27,良,77.8387,10,2018-03
40,62,南平,0.737,109,25,20,104,53,33,良,122.9667,9,2018-04
41,63,南平,0.703,94,35,13,113,35,21,良,143.8065,7,2018-05
42,50,南平,0.703,89,24,11,94,27,16,良,91.5000,7,2018-06
43,44,南平,0.6,77,25,11,85,26,15,优,84.4839,8,2018-07
44,49,南平,0.703,87,25,10,93,27,16,优,42.0000,8,2018-08
45,43,南平,0.667,88,22,12,83,26,15,优,72.9000,7,2018-09
46,54,南平,0.79,91,18,20,95,39,26,良,100.1613,10,2018-10
47,34,南平,0.753,52,20,19,57,28,20,优,32.8333,8,2018-11
48,35,南平,0.855,68,15,20,37,32,22,优,42.7097,9,2018-12
49,31,南平,0.9,35,28,21,22,26,21,优,31.5000,8,2019-01
