index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,135,南昌,1.437,305,15,56,51,151,103,轻度污染,54.2000,57,2013-12
1,137,南昌,1.394,335,44,45,55,150,104,轻度污染,95.0968,37,2014-01
2,52,南昌,0.929,98,10,23,46,54,36,良,35.0000,18,2014-02
3,62,南昌,0.952,101,16,30,63,74,42,良,38.8065,21,2014-03
4,59,南昌,1.053,105,32,26,81,68,40,良,41.1667,22,2014-04
5,81,南昌,1.071,158,35,29,90,98,56,良,80.2903,24,2014-05
6,74,南昌,1.203,164,23,25,99,76,47,良,78.2000,23,2014-06
7,58,南昌,1.039,107,25,25,87,64,33,良,59.8387,20,2014-07
8,58,南昌,0.948,81,32,25,97,59,31,良,69.4516,20,2014-08
9,70,南昌,0.957,145,33,26,103,75,44,良,101.8000,24,2014-09
10,104,南昌,1.081,213,37,37,110,108,76,轻度污染,117.7419,27,2014-10
11,76,南昌,1.017,162,15,34,48,79,55,良,72.0333,22,2014-11
12,68,南昌,0.852,108,30,36,39,59,48,良,54.1935,32,2014-12
13,91,南昌,1.194,204,14,42,39,102,67,良,155.5161,28,2015-01
14,72,南昌,1.0,134,20,29,51,82,52,良,126.8571,15,2015-02
15,54,南昌,0.958,78,23,29,46,60,34,良,94.0323,15,2015-03
16,61,南昌,0.9,93,27,31,83,72,33,良,106.2000,20,2015-04
17,75,南昌,1.116,159,38,27,112,81,45,良,171.7742,30,2015-05
18,59,南昌,0.977,91,32,24,102,51,24,良,163.4333,29,2015-06
19,55,南昌,0.929,117,32,21,94,59,27,良,131.6129,24,2015-07
20,67,南昌,0.887,96,29,23,109,75,30,良,190.8387,29,2015-08
21,63,南昌,0.75,99,28,22,104,62,32,良,179.8667,27,2015-09
22,79,南昌,0.706,142,29,34,93,94,53,良,187.9355,30,2015-10
23,53,南昌,0.887,109,24,32,56,53,32,良,102.3667,24,2015-11
24,96,南昌,1.006,214,33,40,49,99,68,良,187.0968,23,2015-12
25,85,南昌,1.0,204,35,40,51,91,59,良,182.8387,17,2016-01
26,95,南昌,0.914,315,41,35,96,106,67,良,222.0690,19,2016-02
27,98,南昌,1.065,180,41,48,99,119,69,良,226.2903,24,2016-03
28,63,南昌,0.937,122,35,35,95,68,34,良,132.4667,16,2016-04
29,60,南昌,0.919,91,36,28,97,63,30,良,125.4194,15,2016-05
30,60,南昌,0.807,96,28,21,106,49,22,良,156.5000,14,2016-06
31,59,南昌,0.752,104,25,20,102,56,23,良,178.0645,17,2016-07
32,64,南昌,0.803,102,33,18,112,52,23,良,190.5484,10,2016-08
33,70,南昌,0.887,118,24,26,111,75,35,良,196.7667,14,2016-09
34,56,南昌,1.023,85,28,30,70,59,29,良,171.0968,14,2016-10
35,67,南昌,1.19,140,28,41,56,79,43,良,142.6333,18,2016-11
36,107,南昌,1.429,233,37,52,63,128,79,轻度污染,194.4516,22,2016-12
37,100,南昌,1.365,231,32,38,62,93,63,良,190.5161,18,2017-01
38,87,南昌,1.236,160,25,39,83,106,63,良,206.2143,16,2017-02
39,65,南昌,1.061,109,35,39,76,75,37,良,149.0645,12,2017-03
40,78,南昌,1.153,126,32,46,118,93,39,良,205.8667,19,2017-04
41,94,南昌,1.19,148,39,38,146,78,34,良,206.7419,16,2017-05
42,52,南昌,0.937,119,28,27,92,36,18,良,102.7333,10,2017-06
43,66,南昌,0.942,112,30,26,113,59,26,良,202.7097,15,2017-07
44,53,南昌,1.029,77,31,23,100,44,18,良,149.3226,14,2017-08
45,68,南昌,1.11,120,30,25,115,57,27,良,152.8000,12,2017-09
46,60,南昌,1.119,117,23,31,101,61,33,良,159.2258,12,2017-10
47,94,南昌,1.273,203,36,57,74,105,68,良,220.2333,16,2017-11
48,90,南昌,1.226,200,37,56,36,98,60,良,164.8387,17,2017-12
49,73,南昌,1.129,148,32,46,49,73,48,良,145.7742,13,2018-01
50,73,南昌,1.157,114,25,41,74,83,47,良,150.7500,10,2018-02
51,69,南昌,1.155,122,30,49,83,76,38,良,150.0645,11,2018-03
52,70,南昌,1.06,123,29,43,106,83,32,良,153.3667,17,2018-04
53,63,南昌,1.019,98,35,29,108,55,18,良,136.6774,13,2018-05
54,63,南昌,0.98,140,33,28,109,41,12,良,43.7333,9,2018-06
55,55,南昌,1.042,98,33,25,99,46,12,良,175.4516,10,2018-07
56,65,南昌,1.0,132,27,22,115,48,21,良,177.5161,8,2018-08
57,68,南昌,0.877,139,36,23,117,52,21,良,205.3000,9,2018-09
58,73,南昌,0.848,135,32,36,107,68,30,良,200.7097,11,2018-10
59,58,南昌,1.03,96,32,40,55,64,34,良,141.1667,9,2018-11
60,68,南昌,1.21,139,23,35,39,74,46,良,155.2581,8,2018-12
61,57,南昌,1.15,69,43,30,30,50,36,良,114.0000,5,2019-01
