index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,169,南通,1.273,336,43,58,60,185,132,中度污染,69.4667,54,2013-12
1,126,南通,0.945,290,45,43,72,133,94,轻度污染,80.0000,33,2014-01
2,86,南通,0.761,246,35,21,85,79,61,良,73.7857,15,2014-02
3,97,南通,0.771,205,45,44,97,112,70,良,100.3226,32,2014-03
4,82,南通,0.637,138,52,38,118,83,55,良,90.8333,22,2014-04
5,109,南通,0.832,243,58,49,147,129,74,轻度污染,124.2903,33,2014-05
6,90,南通,0.617,208,37,28,124,83,62,良,99.9667,17,2014-06
7,86,南通,0.648,158,41,30,124,71,50,良,104.2258,21,2014-07
8,70,南通,0.645,169,36,24,114,62,41,良,89.1290,19,2014-08
9,66,南通,0.593,115,37,22,113,59,37,良,93.3333,20,2014-09
10,86,南通,0.661,147,56,39,123,88,52,良,94.0968,26,2014-10
11,91,南通,0.76,192,43,47,90,100,66,良,94.4667,30,2014-11
12,104,南通,1.032,220,52,53,55,129,75,轻度污染,117.0968,49,2014-12
13,127,南通,1.135,271,34,47,60,135,96,轻度污染,218.7097,42,2015-01
14,97,南通,0.907,243,37,33,83,105,70,良,189.0714,23,2015-02
15,85,南通,0.961,196,40,39,99,90,58,良,191.8710,31,2015-03
16,84,南通,0.97,152,45,42,124,93,55,良,217.4667,33,2015-04
17,80,南通,0.587,148,45,28,132,71,41,良,206.4194,25,2015-05
18,92,南通,0.733,177,41,33,141,76,47,良,256.6000,27,2015-06
19,83,南通,0.752,190,35,31,131,64,43,良,207.2581,28,2015-07
20,80,南通,0.655,202,26,25,129,55,38,良,205.0968,26,2015-08
21,75,南通,0.597,183,44,26,127,52,35,良,214.8333,24,2015-09
22,91,南通,0.806,172,49,41,131,94,58,良,248.7419,34,2015-10
23,79,南通,0.81,162,36,40,76,78,57,良,199.3667,24,2015-11
24,115,南通,0.987,254,49,48,62,123,85,轻度污染,221.6774,34,2015-12
25,101,南通,0.961,209,34,40,73,106,73,轻度污染,202.7097,36,2016-01
26,89,南通,0.821,189,42,36,83,96,64,良,212.8276,29,2016-02
27,87,南通,0.748,137,46,42,100,86,59,良,205.7742,32,2016-03
28,88,南通,0.747,179,48,43,126,89,51,良,225.3667,28,2016-04
29,96,南通,0.755,172,44,37,145,78,46,良,248.1290,25,2016-05
30,78,南通,0.693,171,44,35,121,55,34,良,218.5667,21,2016-06
31,88,南通,0.648,188,26,32,137,61,34,良,240.7742,21,2016-07
32,68,南通,0.577,142,27,19,117,38,22,良,189.3548,20,2016-08
33,75,南通,0.73,160,27,27,123,53,33,良,186.6667,23,2016-09
34,47,南通,0.555,65,34,25,87,38,23,优,116.9355,16,2016-10
35,74,南通,0.773,148,36,46,75,73,50,良,169.1667,24,2016-11
36,90,南通,0.861,192,31,45,70,87,64,良,149.9677,28,2016-12
37,78,南通,0.887,183,37,29,80,69,56,良,136.6129,18,2017-01
38,86,南通,1.054,144,34,36,97,73,61,良,157.5357,21,2017-02
39,76,南通,1.113,125,48,39,120,68,46,良,147.0000,21,2017-03
40,94,南通,0.963,179,48,42,146,81,41,良,176.9000,24,2017-04
41,105,南通,0.69,204,40,37,157,61,30,轻度污染,154.9032,23,2017-05
42,93,南通,0.7,202,36,30,147,60,31,良,167.0333,21,2017-06
43,99,南通,0.8,203,41,47,151,61,33,良,220.5484,24,2017-07
44,88,南通,0.768,167,39,31,140,54,28,良,180.2258,18,2017-08
45,69,南通,0.633,189,34,30,117,46,25,良,106.1667,20,2017-09
46,53,南通,0.539,81,35,24,99,39,21,良,99.1613,16,2017-10
47,69,南通,0.883,116,37,51,83,74,40,良,116.1667,24,2017-11
48,88,南通,1.161,232,42,58,38,79,53,良,140.4516,23,2017-12
49,93,南通,0.919,254,0,43,70,75,65,良,160.8710,18,2018-01
50,73,南通,0.996,156,39,38,85,69,48,良,150.0357,18,2018-02
51,70,南通,0.948,111,38,49,98,61,35,良,159.7742,18,2018-03
52,90,南通,0.64,199,45,46,134,82,46,良,214.2333,18,2018-04
53,77,南通,0.652,171,0,38,127,57,36,良,184.7419,17,2018-05
54,90,南通,0.55,181,39,29,142,59,35,良,75.2000,15,2018-06
55,69,南通,0.548,197,24,23,107,53,24,良,190.8710,14,2018-07
56,55,南通,0.471,110,26,17,97,38,20,良,143.4194,14,2018-08
57,62,南通,0.61,150,20,23,108,42,26,良,167.8667,15,2018-09
58,67,南通,0.545,108,42,32,111,60,39,良,194.3871,16,2018-10
59,83,南通,0.737,217,34,39,88,71,58,良,199.8333,15,2018-11
60,70,南通,0.777,175,31,39,58,67,46,良,161.9677,16,2018-12
61,78,南通,0.7,110,55,34,65,63,53,良,171.7500,14,2019-01
