index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,82,南阳,0.0,129,52,23,0,113,0,良,,13,2013-05
1,80,南阳,0.0,142,26,26,0,110,0,良,,10,2013-06
2,59,南阳,0.0,101,33,15,0,69,0,良,,5,2013-07
3,65,南阳,0.0,121,51,26,0,79,0,良,,9,2013-08
4,81,南阳,0.0,149,37,33,0,111,0,良,,14,2013-09
5,124,南阳,0.0,194,55,55,0,197,0,轻度污染,,23,2013-10
6,135,南阳,5.55,330,58,50,21,148,77,轻度污染,,39,2013-11
7,206,南阳,3.213,323,97,47,89,166,157,重度污染,,65,2013-12
8,274,南阳,3.623,431,145,32,47,308,225,重度污染,,46,2014-01
9,150,南阳,1.396,265,64,14,62,143,111,中度污染,,29,2014-02
10,121,南阳,1.077,200,35,26,65,152,88,轻度污染,,28,2014-03
11,92,南阳,0.9,137,32,22,80,103,55,良,,24,2014-04
12,111,南阳,0.726,186,66,18,87,161,69,轻度污染,,26,2014-05
13,104,南阳,1.077,159,83,16,153,114,65,轻度污染,,32,2014-06
14,91,南阳,0.755,120,45,10,145,65,31,良,,16,2014-07
15,93,南阳,1.071,179,61,15,150,80,42,良,,25,2014-08
16,72,南阳,1.133,193,26,18,82,73,46,良,,24,2014-09
17,112,南阳,1.555,190,67,23,70,142,79,轻度污染,,30,2014-10
18,121,南阳,1.587,305,62,24,52,151,87,轻度污染,,28,2014-11
19,128,南阳,1.697,203,69,31,43,170,92,轻度污染,109.0000,29,2014-12
20,159,南阳,1.884,244,63,32,47,188,120,中度污染,290.6129,38,2015-01
21,142,南阳,1.646,217,82,26,69,186,106,轻度污染,298.4643,29,2015-02
22,116,南阳,1.597,198,64,31,76,149,83,轻度污染,291.4194,24,2015-03
23,100,南阳,0.953,182,46,26,99,144,61,轻度污染,271.5667,33,2015-04
24,101,南阳,0.99,193,60,22,126,144,67,轻度污染,282.0645,25,2015-05
25,89,南阳,0.623,143,41,17,115,118,54,良,263.0667,18,2015-06
26,86,南阳,0.561,140,57,19,122,107,54,良,260.5161,24,2015-07
27,81,南阳,0.697,113,52,19,125,102,53,良,256.7097,23,2015-08
28,82,南阳,0.98,128,53,22,119,102,54,良,265.1333,20,2015-09
29,106,南阳,1.239,202,44,39,119,143,71,轻度污染,273.0323,20,2015-10
30,78,南阳,1.507,138,25,32,48,88,57,良,200.0667,20,2015-11
31,141,南阳,1.69,256,55,42,53,170,103,轻度污染,268.7742,34,2015-12
32,155,南阳,2.035,294,71,42,49,195,116,中度污染,305.5161,33,2016-01
33,114,南阳,1.586,274,46,30,88,152,77,轻度污染,275.1724,33,2016-02
34,109,南阳,1.097,289,66,36,100,163,64,轻度污染,254.0645,27,2016-03
35,94,南阳,1.043,175,60,32,120,133,52,良,262.4667,29,2016-04
36,94,南阳,0.748,136,48,25,147,93,45,良,266.3226,23,2016-05
37,98,南阳,0.92,151,59,25,155,73,42,良,288.5000,23,2016-06
38,88,南阳,1.042,139,47,16,144,58,38,良,285.0968,17,2016-07
39,97,南阳,1.029,144,52,16,155,64,38,良,311.7097,16,2016-08
40,93,南阳,0.927,142,43,26,129,89,45,良,266.9667,20,2016-09
41,58,南阳,0.881,102,29,26,77,59,35,良,170.3548,16,2016-10
42,98,南阳,1.373,208,33,32,59,133,69,良,236.0667,23,2016-11
43,143,南阳,1.445,358,65,40,64,189,109,轻度污染,270.3871,26,2016-12
44,106,南阳,1.468,258,0,37,52,137,78,轻度污染,267.2581,23,2017-01
45,94,南阳,1.357,209,0,32,76,117,69,良,260.8571,20,2017-02
46,70,南阳,0.829,145,0,29,84,88,46,良,242.1290,21,2017-03
47,74,南阳,0.983,118,0,25,124,82,37,良,219.0333,17,2017-04
48,85,南阳,0.91,170,0,25,156,74,30,良,205.8387,18,2017-05
49,98,南阳,1.083,168,0,24,165,71,38,良,227.3667,12,2017-06
50,88,南阳,1.026,167,34,17,143,54,28,良,164.0323,13,2017-07
51,95,南阳,1.277,133,38,21,150,55,30,良,213.9032,9,2017-08
52,74,南阳,1.33,130,33,26,122,57,32,良,169.6667,10,2017-09
53,58,南阳,1.355,93,30,34,83,62,35,良,152.9677,8,2017-10
54,72,南阳,1.54,221,0,52,69,94,48,良,258.2667,15,2017-11
55,132,南阳,1.752,299,0,57,63,154,100,轻度污染,245.4516,16,2017-12
56,155,南阳,1.665,327,0,53,69,151,119,中度污染,275.9677,12,2018-01
57,111,南阳,1.379,241,0,43,79,116,83,轻度污染,233.3571,11,2018-02
58,92,南阳,1.165,158,0,35,99,97,66,良,230.8065,8,2018-03
59,62,南阳,0.95,104,0,29,112,72,33,良,147.6667,9,2018-04
60,81,南阳,0.842,133,0,27,129,79,37,良,206.6774,6,2018-05
61,111,南阳,0.837,166,54,25,170,63,29,轻度污染,253.7333,5,2018-06
62,79,南阳,0.703,151,26,19,131,47,24,良,213.9032,4,2018-07
63,97,南阳,0.91,142,47,17,155,59,32,良,216.6452,5,2018-08
64,73,南阳,0.91,121,38,32,119,66,28,良,240.0333,6,2018-09
65,87,南阳,0.932,139,50,48,129,97,46,良,239.8710,10,2018-10
66,117,南阳,1.27,308,30,48,73,139,87,轻度污染,272.9333,9,2018-11
67,161,南阳,1.458,403,62,53,45,178,124,中度污染,325.0968,11,2018-12
68,197,南阳,1.425,237,170,54,50,185,151,中度污染,316.2500,8,2019-01
