index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,128,博州,0.3,128,128,24,20,122,97,轻度污染,309.0000,28,2014-12
1,80,博州,0.474,163,35,17,19,78,59,良,139.9032,25,2015-01
2,81,博州,0.582,138,37,18,23,100,54,良,163.6429,20,2015-02
3,60,博州,1.061,107,25,11,19,72,29,良,123.0968,21,2015-03
4,63,博州,1.097,192,27,11,25,80,25,良,124.7333,24,2015-04
5,46,博州,0.997,93,19,8,19,51,16,优,69.4839,15,2015-05
6,38,博州,0.673,64,27,9,46,37,14,优,58.6667,14,2015-06
7,51,博州,0.519,76,31,14,56,55,20,良,114.8710,15,2015-07
8,52,博州,0.758,80,32,16,78,55,21,良,124.8065,19,2015-08
9,49,博州,0.743,72,23,15,61,53,19,优,115.3667,19,2015-09
10,66,博州,1.129,115,26,27,49,84,31,良,165.9032,24,2015-10
11,58,博州,1.386,124,31,25,34,69,33,良,129.1379,35,2015-11
12,83,博州,2.068,158,31,25,24,99,59,良,165.7419,43,2015-12
13,99,博州,2.274,178,62,12,32,123,74,良,229.5806,28,2016-01
14,97,博州,2.424,157,36,17,20,134,61,良,244.9655,37,2016-02
15,66,博州,1.081,125,32,26,74,76,37,良,133.7419,20,2016-03
16,66,博州,0.4,103,46,22,112,69,21,良,161.5667,13,2016-04
17,61,博州,0.677,81,43,19,112,47,19,良,131.0323,8,2016-05
18,64,博州,0.95,84,0,17,112,46,16,良,184.8667,11,2016-06
19,66,博州,1.026,89,49,17,119,39,15,良,217.6452,11,2016-07
20,65,博州,0.974,83,49,18,116,53,19,良,209.4839,17,2016-08
21,63,博州,0.933,84,47,25,109,67,22,良,173.8667,20,2016-09
22,58,博州,1.21,94,30,27,55,67,32,良,184.3871,14,2016-10
23,66,博州,1.92,126,30,31,42,76,37,良,156.3667,20,2016-11
24,71,博州,2.339,118,37,35,35,82,48,良,116.5161,25,2016-12
25,108,博州,2.694,160,77,43,59,130,81,轻度污染,232.5161,33,2017-01
26,85,博州,1.543,122,42,36,77,109,63,良,208.2143,21,2017-02
27,64,博州,1.11,94,47,22,83,77,43,良,164.9355,10,2017-03
28,59,博州,0.773,92,37,18,101,62,23,良,171.2667,9,2017-04
29,71,博州,0.89,106,50,19,123,58,21,良,160.2258,9,2017-05
30,70,博州,0.76,97,47,18,124,48,19,良,202.1333,8,2017-06
31,75,博州,0.735,91,58,17,130,44,19,良,194.5806,9,2017-07
32,65,博州,0.626,83,44,19,118,42,18,良,223.6774,11,2017-08
33,67,博州,0.773,95,28,24,106,73,24,良,282.8667,11,2017-09
34,66,博州,1.242,99,29,35,74,85,34,良,241.4516,17,2017-10
35,71,博州,1.477,130,34,30,36,95,39,良,185.9667,15,2017-11
36,66,博州,1.574,100,36,30,23,73,47,良,130.5806,15,2017-12
37,85,博州,1.977,163,0,36,42,98,64,良,191.4194,23,2018-01
38,81,博州,1.821,135,40,34,73,99,59,良,190.1429,27,2018-02
39,43,博州,0.848,65,0,17,66,44,25,优,56.6774,16,2018-03
40,60,博州,0.563,108,0,15,100,63,23,良,137.4667,14,2018-04
41,51,博州,0.384,78,0,11,102,49,20,良,111.1935,13,2018-05
42,57,博州,0.377,72,37,14,104,41,18,良,107.0667,11,2018-06
43,53,博州,0.348,66,35,12,96,39,18,良,204.3871,10,2018-07
44,53,博州,0.413,77,38,11,100,36,15,良,208.8387,12,2018-08
45,46,博州,0.403,60,30,13,76,45,16,优,248.9333,10,2018-09
46,54,博州,0.59,72,21,20,58,61,21,良,219.2258,9,2018-10
47,74,博州,0.847,186,34,21,43,96,37,良,206.7333,12,2018-11
48,75,博州,1.203,110,29,28,53,100,44,良,229.5862,13,2018-12
49,80,博州,1.125,87,75,30,54,109,54,良,177.7500,15,2019-01
