index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,103,即墨,1.5,103,103,62,33,156,51,轻度污染,59.0000,104,2013-12
1,106,即墨,1.097,243,32,55,43,107,78,轻度污染,63.4839,93,2014-01
2,68,即墨,0.929,122,27,35,73,62,46,良,50.0357,45,2014-02
3,78,即墨,0.832,116,53,37,94,96,51,良,72.9355,51,2014-03
4,73,即墨,0.637,125,41,29,113,82,42,良,69.1481,24,2014-04
5,92,即墨,0.565,178,51,34,145,92,40,良,95.2903,27,2014-05
6,77,即墨,0.533,125,39,27,129,56,36,良,88.8000,20,2014-06
7,93,即墨,0.629,169,39,24,148,64,42,良,114.1290,16,2014-07
8,84,即墨,0.532,168,40,31,139,66,39,良,118.2258,16,2014-08
9,68,即墨,0.63,106,34,29,116,60,31,良,99.1333,15,2014-09
10,75,即墨,0.629,144,39,32,108,89,39,良,68.9677,21,2014-10
11,123,即墨,1.28,230,46,41,59,143,91,轻度污染,134.6333,48,2014-11
12,108,即墨,1.594,258,54,34,35,133,78,轻度污染,117.8387,81,2014-12
13,98,即墨,1.548,235,33,27,42,111,71,良,152.0000,66,2015-01
14,85,即墨,1.429,146,42,30,58,100,61,良,170.6786,58,2015-02
15,68,即墨,0.955,111,36,30,72,85,43,良,150.5161,45,2015-03
16,73,即墨,0.703,116,40,24,94,95,40,良,173.9000,26,2015-04
17,66,即墨,0.665,113,39,21,102,80,36,良,147.5161,33,2015-05
18,74,即墨,0.52,118,42,18,124,72,36,良,217.3667,31,2015-06
19,74,即墨,0.5,140,34,18,125,60,29,良,201.1935,20,2015-07
20,82,即墨,0.526,180,27,28,134,63,34,良,224.4516,13,2015-08
21,74,即墨,0.6,151,35,32,119,62,31,良,215.8000,39,2015-09
22,87,即墨,0.619,156,42,35,114,88,57,良,234.5806,16,2015-10
23,90,即墨,0.987,192,32,37,64,95,66,良,230.6667,24,2015-11
24,150,即墨,1.765,337,41,59,39,160,115,轻度污染,258.8065,56,2015-12
25,121,即墨,1.6,320,47,50,43,132,90,轻度污染,230.0645,60,2016-01
26,95,即墨,1.255,186,31,36,57,101,69,良,217.4483,44,2016-02
27,82,即墨,0.826,168,43,36,72,107,50,良,183.1290,26,2016-03
28,97,即墨,0.69,365,41,32,93,134,54,良,227.2000,19,2016-04
29,108,即墨,0.532,204,48,29,162,83,42,轻度污染,279.1935,13,2016-05
30,115,即墨,0.477,179,46,18,175,52,31,轻度污染,311.9000,10,2016-06
31,91,即墨,0.487,148,27,15,145,51,33,良,268.8710,9,2016-07
32,72,即墨,0.487,205,28,19,119,45,22,良,186.6452,11,2016-08
33,99,即墨,0.517,195,35,25,155,70,38,良,273.4667,15,2016-09
34,67,即墨,0.626,117,38,32,92,71,40,良,221.1935,9,2016-10
35,92,即墨,1.173,195,31,46,57,117,64,良,221.8333,21,2016-11
36,112,即墨,1.497,250,39,51,46,135,83,轻度污染,200.2581,34,2016-12
37,106,即墨,1.539,258,39,43,59,120,77,轻度污染,181.6774,31,2017-01
38,85,即墨,1.064,222,0,33,76,98,59,良,182.9286,25,2017-02
39,76,即墨,0.803,119,48,39,98,93,50,良,201.7742,17,2017-03
40,90,即墨,0.68,153,60,38,136,105,45,良,257.9333,13,2017-04
41,114,即墨,0.51,188,47,25,163,100,34,轻度污染,263.1290,9,2017-05
42,105,即墨,0.463,207,53,20,164,54,25,轻度污染,268.2667,6,2017-06
43,97,即墨,0.603,168,32,17,153,63,29,良,263.8065,5,2017-07
44,77,即墨,0.568,159,33,19,128,44,21,良,233.1935,5,2017-08
45,90,即墨,0.593,157,36,27,144,54,26,良,268.4000,7,2017-09
46,58,即墨,0.577,107,28,32,93,54,31,良,156.6774,7,2017-10
47,74,即墨,0.88,189,30,45,65,81,46,良,164.1667,15,2017-11
48,90,即墨,1.448,198,38,61,26,118,59,良,184.6774,28,2017-12
49,87,即墨,1.365,202,34,51,51,113,56,良,177.9032,25,2018-01
50,67,即墨,0.961,107,45,31,82,77,42,良,129.2500,18,2018-02
51,72,即墨,0.858,111,35,32,113,81,41,良,162.2667,10,2018-03
52,86,即墨,0.71,163,39,28,129,91,35,良,191.0667,9,2018-04
53,87,即墨,0.623,134,48,22,143,59,28,良,227.6000,6,2018-05
54,85,即墨,0.563,150,39,15,140,44,24,良,193.7333,4,2018-06
55,49,即墨,0.423,91,20,11,88,35,16,优,123.6129,4,2018-07
56,60,即墨,0.484,105,28,13,107,38,16,良,156.5484,6,2018-08
57,67,即墨,0.603,105,33,25,117,48,19,良,221.1111,6,2018-09
58,65,即墨,0.616,90,42,38,103,65,26,良,191.2258,8,2018-10
59,92,即墨,0.997,269,29,46,73,119,57,良,229.1000,11,2018-11
60,80,即墨,1.142,183,39,45,48,98,53,良,194.0000,18,2018-12
61,159,即墨,2.275,206,93,77,46,195,120,中度污染,287.0000,48,2019-01
