index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,70,厦门,0.803,110,27,42,94,74,48,良,20.4000,22,2013-12
1,75,厦门,0.81,140,34,48,101,74,53,良,34.3226,23,2014-01
2,48,厦门,0.668,83,21,33,76,45,30,优,34.5357,13,2014-02
3,67,厦门,0.648,105,35,48,92,72,42,良,50.7419,20,2014-03
4,64,厦门,0.707,86,52,38,100,67,40,良,50.3000,18,2014-04
5,61,厦门,0.803,104,30,40,88,59,40,良,45.9032,13,2014-05
6,49,厦门,0.523,94,26,22,86,45,27,优,34.0667,10,2014-06
7,44,厦门,0.545,71,27,27,84,41,21,优,32.5806,14,2014-07
8,56,厦门,0.658,92,23,33,101,53,32,良,65.1613,16,2014-08
9,52,厦门,0.557,81,35,23,96,49,28,良,59.0667,10,2014-09
10,58,厦门,0.632,85,38,23,96,60,37,良,37.8387,10,2014-10
11,55,厦门,0.68,86,33,30,71,57,36,良,40.8667,12,2014-11
12,59,厦门,0.616,96,31,36,61,64,41,良,42.1290,14,2014-12
13,69,厦门,0.723,124,24,39,66,72,49,良,98.6774,13,2015-01
14,55,厦门,0.786,94,30,25,73,56,39,良,72.0000,8,2015-02
15,51,厦门,0.635,90,27,33,73,52,33,良,74.3226,8,2015-03
16,50,厦门,0.527,78,28,33,83,52,28,良,60.6667,10,2015-04
17,51,厦门,0.597,87,32,30,64,53,33,良,82.4194,11,2015-05
18,40,厦门,0.393,61,26,24,62,40,23,优,66.3333,9,2015-06
19,41,厦门,0.477,68,24,25,72,37,21,优,63.5484,10,2015-07
20,42,厦门,0.484,64,28,31,67,37,20,优,70.2903,10,2015-08
21,48,厦门,0.613,60,30,25,80,47,27,优,103.5000,8,2015-09
22,49,厦门,0.603,73,30,22,73,51,29,优,77.2581,8,2015-10
23,48,厦门,0.657,65,30,23,47,51,25,优,87.8000,7,2015-11
24,53,厦门,0.687,78,34,32,39,55,29,良,79.3871,9,2015-12
25,56,厦门,0.761,89,34,36,40,53,34,良,87.9032,9,2016-01
26,51,厦门,0.628,94,25,26,50,52,34,良,70.7931,7,2016-02
27,63,厦门,0.794,133,30,38,61,61,43,良,103.8710,11,2016-03
28,56,厦门,0.73,77,32,36,65,54,32,良,99.6000,11,2016-04
29,46,厦门,0.613,69,24,26,65,45,24,优,53.4194,10,2016-05
30,33,厦门,0.46,50,19,18,48,32,14,优,32.1000,9,2016-06
31,41,厦门,0.452,117,16,22,65,38,16,优,81.2581,11,2016-07
32,51,厦门,0.584,82,24,34,87,43,23,良,124.8065,14,2016-08
33,52,厦门,0.623,79,28,27,94,39,22,良,114.6000,9,2016-09
34,45,厦门,0.535,90,29,27,73,40,21,优,104.5161,10,2016-10
35,61,厦门,0.62,144,33,37,71,63,34,良,120.2667,13,2016-11
36,65,厦门,0.7,98,39,44,67,71,40,良,99.8387,15,2016-12
37,59,厦门,0.745,98,34,37,72,57,39,良,89.1935,12,2017-01
38,60,厦门,0.675,96,39,38,81,53,36,良,84.3214,11,2017-02
39,74,厦门,0.719,129,44,56,88,72,40,良,131.0968,14,2017-03
40,63,厦门,0.64,108,29,38,91,62,31,良,94.7667,13,2017-04
41,51,厦门,0.555,86,33,27,86,47,25,良,75.0323,10,2017-05
42,35,厦门,0.463,50,20,23,61,27,16,优,44.5000,8,2017-06
43,33,厦门,0.403,58,21,21,63,26,14,优,43.5484,10,2017-07
44,45,厦门,0.465,69,26,24,86,34,20,优,70.8387,9,2017-08
45,54,厦门,0.59,90,29,23,100,40,24,良,76.8000,10,2017-09
46,51,厦门,0.545,85,30,23,96,46,23,良,89.1290,9,2017-10
47,54,厦门,0.637,81,30,37,83,49,26,良,64.2667,13,2017-11
48,60,厦门,0.661,98,20,39,46,63,33,良,68.6452,12,2017-12
49,55,厦门,0.668,79,33,38,70,48,28,良,86.9355,11,2018-01
50,54,厦门,0.629,92,33,30,77,50,30,良,83.0357,8,2018-02
51,60,厦门,0.665,122,39,44,86,53,33,良,109.2581,11,2018-03
52,60,厦门,0.57,89,33,32,93,64,32,良,111.0667,12,2018-04
53,49,厦门,0.494,75,25,26,92,43,23,优,84.9677,11,2018-05
54,50,厦门,0.527,93,25,23,91,34,17,优,30.4000,9,2018-06
55,46,厦门,0.49,88,27,27,83,39,19,优,113.0000,9,2018-07
56,53,厦门,0.574,92,24,28,94,33,19,良,60.8065,8,2018-08
57,52,厦门,0.52,90,31,24,95,35,18,良,109.6667,7,2018-09
58,65,厦门,0.581,96,38,25,115,49,24,良,126.6774,7,2018-10
59,47,厦门,0.637,59,30,30,78,43,22,优,97.7333,7,2018-11
60,47,厦门,0.648,77,25,32,68,46,24,优,82.1935,8,2018-12
61,39,厦门,0.55,62,28,28,49,24,13,优,17.7500,4,2019-01
