index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,202,句容,1.1,202,202,81,68,160,152,重度污染,180.0000,62,2013-12
1,166,句容,1.072,323,63,63,106,54,128,中度污染,125.6207,63,2014-01
2,110,句容,0.792,249,38,38,107,27,81,轻度污染,114.0800,36,2014-02
3,108,句容,0.826,187,54,45,88,70,81,轻度污染,119.7419,42,2014-03
4,100,句容,0.81,170,50,31,113,63,67,轻度污染,122.7241,51,2014-04
5,122,句容,0.839,197,55,38,150,115,82,轻度污染,147.1935,39,2014-05
6,115,句容,0.8,205,47,29,105,77,84,轻度污染,135.7667,22,2014-06
7,90,句容,0.784,222,24,31,111,56,55,良,107.0968,21,2014-07
8,76,句容,0.734,174,36,24,91,70,40,良,97.9310,24,2014-08
9,64,句容,0.667,121,31,28,96,62,35,良,82.3667,26,2014-09
10,76,句容,0.71,143,50,34,100,77,50,良,70.1935,29,2014-10
11,98,句容,1.047,201,45,42,68,51,73,良,104.9667,33,2014-11
12,101,句容,1.055,170,58,39,47,89,74,轻度污染,114.4516,37,2014-12
13,134,句容,1.09,281,32,39,61,62,102,轻度污染,228.1613,37,2015-01
14,90,句容,1.011,189,37,27,97,69,65,良,167.7500,24,2015-02
15,74,句容,0.842,157,38,29,92,58,48,良,165.5161,21,2015-03
16,92,句容,0.83,148,37,33,134,57,47,良,232.6000,26,2015-04
17,90,句容,0.897,163,40,31,139,78,41,良,239.3871,24,2015-05
18,72,句容,0.827,134,16,27,98,71,34,良,199.6667,21,2015-06
19,70,句容,0.674,195,23,16,95,50,29,良,159.5484,20,2015-07
20,58,句容,0.706,88,20,25,46,69,22,良,148.2581,19,2015-08
21,60,句容,0.727,90,41,26,81,64,25,良,166.3333,21,2015-09
22,71,句容,0.955,152,34,31,82,80,46,良,166.2581,23,2015-10
23,65,句容,1.197,147,35,22,70,60,45,良,140.4000,22,2015-11
24,113,句容,1.245,216,46,34,54,96,81,轻度污染,213.0000,31,2015-12
25,97,句容,0.971,228,26,26,32,73,71,良,180.6452,29,2016-01
26,85,句容,0.903,173,21,19,41,80,61,良,187.4138,25,2016-02
27,97,句容,0.952,256,20,22,34,90,69,良,192.3226,16,2016-03
28,65,句容,0.877,109,33,24,42,77,37,良,137.4667,16,2016-04
29,64,句容,0.842,186,29,21,72,78,31,良,128.1935,15,2016-05
30,55,句容,0.717,108,29,21,86,55,21,良,130.7667,12,2016-06
31,61,句容,0.7,167,20,22,85,56,24,良,167.4516,15,2016-07
32,95,句容,0.645,201,43,26,149,56,21,良,274.8387,14,2016-08
33,90,句容,0.693,183,32,31,140,65,34,良,241.1000,17,2016-09
34,47,句容,0.748,75,33,32,68,42,21,优,106.8710,14,2016-10
35,63,句容,0.987,115,32,37,68,71,39,良,122.0000,15,2016-11
36,101,句容,0.81,237,36,37,53,100,75,轻度污染,187.6452,14,2016-12
37,102,句容,0.89,216,49,37,64,84,76,轻度污染,200.7742,10,2017-01
38,105,句容,0.746,163,46,33,97,88,78,轻度污染,250.5714,15,2017-02
39,81,句容,0.771,152,44,39,104,83,57,良,224.1935,17,2017-03
40,88,句容,0.747,139,38,36,130,85,43,良,241.6333,17,2017-04
41,87,句容,0.568,143,37,33,130,84,36,良,187.2903,17,2017-05
42,70,句容,0.913,110,30,31,113,67,31,良,177.2333,18,2017-06
43,74,句容,0.719,150,27,24,124,46,20,良,194.5484,10,2017-07
44,63,句容,0.829,133,35,25,112,47,19,良,194.4194,9,2017-08
45,72,句容,0.65,117,40,35,103,58,42,良,215.2000,10,2017-09
46,64,句容,0.674,114,29,26,100,61,37,良,182.2258,11,2017-10
47,86,句容,1.073,166,52,32,71,110,56,良,224.4667,14,2017-11
48,119,句容,0.981,298,57,40,40,119,89,轻度污染,227.6129,12,2017-12
49,141,句容,0.942,316,37,43,61,138,107,轻度污染,262.2581,12,2018-01
50,106,句容,0.757,249,46,62,59,118,71,轻度污染,258.9286,11,2018-02
51,84,句容,0.835,129,48,40,111,105,57,良,220.6000,10,2018-03
52,101,句容,0.723,153,56,45,137,130,50,轻度污染,260.0667,11,2018-04
53,85,句容,1.113,147,50,44,118,94,46,良,214.6333,10,2018-05
54,97,句容,0.71,170,39,37,149,75,41,良,239.1667,9,2018-06
55,82,句容,0.626,130,40,30,126,57,32,良,257.5161,6,2018-07
56,72,句容,0.555,140,41,27,120,50,29,良,207.3871,6,2018-08
57,75,句容,0.713,138,35,41,110,71,38,良,246.4444,11,2018-09
58,75,句容,0.639,137,50,38,110,90,41,良,238.9032,10,2018-10
59,86,句容,1.047,279,34,42,78,99,60,良,224.0000,7,2018-11
60,81,句容,0.977,218,34,39,51,99,53,良,209.2000,7,2018-12
61,115,句容,1.3,158,72,47,45,123,86,轻度污染,257.0000,9,2019-01
