index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,222,合肥,1.867,411,71,48,36,195,180,重度污染,87.6000,41,2013-12
1,196,合肥,1.577,401,90,39,39,164,155,中度污染,140.2258,32,2014-01
2,112,合肥,1.018,316,27,23,41,88,85,轻度污染,107.1429,18,2014-02
3,103,合肥,0.932,153,66,32,50,107,78,轻度污染,118.1613,21,2014-03
4,90,合肥,0.847,137,46,29,54,82,67,良,106.1667,15,2014-04
5,109,合肥,0.858,204,61,29,67,148,76,轻度污染,127.0323,18,2014-05
6,124,合肥,1.083,314,50,23,80,127,94,轻度污染,143.6667,20,2014-06
7,82,合肥,0.919,160,30,21,58,97,58,良,103.9677,11,2014-07
8,75,合肥,0.923,133,41,17,55,83,54,良,106.4839,12,2014-08
9,76,合肥,0.877,160,26,19,46,84,54,良,104.4333,15,2014-09
10,103,合肥,1.016,253,63,29,50,130,75,轻度污染,114.8387,17,2014-10
11,126,合肥,1.22,402,31,29,30,121,95,轻度污染,134.3000,23,2014-11
12,94,合肥,1.01,150,55,33,28,100,68,良,101.9355,28,2014-12
13,134,合肥,1.194,264,53,36,34,121,102,轻度污染,248.2903,27,2015-01
14,111,合肥,1.05,240,29,25,45,105,84,轻度污染,218.2857,26,2015-02
15,88,合肥,0.99,184,22,24,51,88,63,良,222.2903,21,2015-03
16,85,合肥,0.91,131,51,27,62,101,58,良,218.0667,23,2015-04
17,88,合肥,0.968,156,47,30,71,101,62,良,223.9677,14,2015-05
18,69,合肥,0.94,121,23,29,88,74,45,良,198.7333,11,2015-06
19,59,合肥,0.797,132,22,25,77,61,40,良,147.5161,9,2015-07
20,63,合肥,0.842,89,33,28,96,74,39,良,172.3871,9,2015-08
21,64,合肥,0.893,82,36,30,94,73,41,良,195.0000,10,2015-09
22,97,合肥,1.174,203,33,44,85,115,70,良,246.6129,14,2015-10
23,89,合肥,1.247,192,28,39,46,83,65,良,233.3000,17,2015-11
24,147,合肥,1.432,293,60,46,36,145,113,轻度污染,278.6774,19,2015-12
25,119,合肥,1.168,253,55,42,48,108,88,轻度污染,244.6452,20,2016-01
26,108,合肥,1.062,261,39,37,82,107,80,轻度污染,249.8276,21,2016-02
27,117,合肥,1.1,211,36,44,98,120,87,轻度污染,259.8387,22,2016-03
28,78,合肥,0.987,130,51,49,111,91,50,良,209.4000,15,2016-04
29,83,合肥,0.845,181,39,38,121,94,48,良,211.8710,12,2016-05
30,73,合肥,0.877,112,43,38,114,64,42,良,212.4000,10,2016-06
31,67,合肥,0.742,126,34,31,106,63,36,良,213.2258,11,2016-07
32,84,合肥,0.813,140,43,39,133,76,37,良,266.0323,12,2016-08
33,84,合肥,0.837,139,29,51,131,90,45,良,240.3667,14,2016-09
34,59,合肥,0.842,99,29,42,54,53,34,良,187.2581,11,2016-10
35,82,合肥,1.12,153,38,55,55,85,55,良,202.3667,16,2016-11
36,118,合肥,1.258,180,48,74,51,115,86,轻度污染,235.0323,17,2016-12
37,119,合肥,1.287,252,53,61,60,94,87,轻度污染,238.8710,16,2017-01
38,114,合肥,1.168,161,49,65,87,91,86,轻度污染,233.6071,17,2017-02
39,90,合肥,0.968,140,62,63,91,84,63,良,231.2258,14,2017-03
40,92,合肥,0.923,127,40,51,119,89,52,良,225.4667,12,2017-04
41,109,合肥,0.794,188,47,48,156,74,43,轻度污染,197.7097,11,2017-05
42,103,合肥,0.777,200,32,37,160,65,43,轻度污染,227.3333,10,2017-06
43,76,合肥,0.684,176,29,30,128,58,33,良,179.0968,9,2017-07
44,63,合肥,0.787,96,33,33,109,48,27,良,180.1290,9,2017-08
45,67,合肥,1.007,123,34,44,99,57,36,良,185.4333,10,2017-09
46,70,合肥,0.932,154,29,51,90,65,41,良,158.8065,12,2017-10
47,100,合肥,1.04,174,31,73,72,107,67,良,209.5667,14,2017-11
48,131,合肥,1.294,285,42,68,32,120,94,轻度污染,230.3871,14,2017-12
49,119,合肥,1.177,234,32,53,60,85,88,轻度污染,221.3226,9,2018-01
50,90,合肥,0.914,185,33,43,73,88,64,良,213.3214,8,2018-02
51,73,合肥,0.806,102,34,44,96,69,47,良,176.0323,7,2018-03
52,88,合肥,0.797,154,0,44,128,105,47,良,217.7667,8,2018-04
53,68,合肥,0.777,118,0,36,121,55,32,良,170.6129,6,2018-05
54,103,合肥,0.787,171,38,34,159,65,40,轻度污染,79.3667,6,2018-06
55,70,合肥,0.681,133,29,28,120,51,28,良,212.7097,6,2018-07
56,73,合肥,0.765,160,27,25,123,48,25,良,167.5806,5,2018-08
57,67,合肥,0.707,125,30,35,112,56,28,良,212.4000,6,2018-09
58,79,合肥,0.742,153,52,52,108,77,40,良,227.9032,8,2018-10
59,88,合肥,1.003,224,34,54,67,80,62,良,231.0667,7,2018-11
60,92,合肥,0.906,238,29,46,41,81,65,良,215.7742,6,2018-12
61,116,合肥,1.075,149,74,52,35,93,88,轻度污染,241.0000,9,2019-01
