index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,53,吉安,0.7,53,53,38,88,56,34,良,56.0000,58,2014-12
1,75,吉安,0.942,120,22,41,59,87,55,良,119.2581,49,2015-01
2,68,吉安,0.882,156,16,25,50,72,50,良,118.9643,17,2015-02
3,42,吉安,0.848,66,22,21,46,41,29,优,43.9355,17,2015-03
4,56,吉安,0.83,100,27,17,79,55,38,良,88.5333,23,2015-04
5,59,吉安,0.868,151,28,11,70,58,41,良,102.8387,18,2015-05
6,42,吉安,0.813,71,25,12,63,41,28,优,77.2667,17,2015-06
7,56,吉安,0.832,119,29,12,77,56,39,良,126.5161,21,2015-07
8,57,吉安,0.761,87,27,12,88,57,38,良,144.0323,25,2015-08
9,60,吉安,0.903,83,29,15,95,53,41,良,168.1333,29,2015-09
10,75,吉安,0.829,128,35,23,98,76,54,良,179.3871,36,2015-10
11,57,吉安,1.017,114,29,29,40,48,40,良,118.0667,24,2015-11
12,69,吉安,0.923,122,34,35,44,63,50,良,127.2903,26,2015-12
13,67,吉安,0.948,139,37,33,54,61,48,良,123.6774,21,2016-01
14,69,吉安,0.769,214,39,23,79,65,50,良,134.2759,17,2016-02
15,66,吉安,0.932,95,27,30,80,62,47,良,108.0645,26,2016-03
16,53,吉安,0.96,88,35,20,74,47,36,良,77.3333,22,2016-04
17,60,吉安,0.9,97,29,18,89,63,41,良,123.2903,23,2016-05
18,56,吉安,0.98,84,27,11,96,51,34,良,139.0000,23,2016-06
19,55,吉安,0.939,105,31,11,93,53,35,良,156.5806,18,2016-07
20,60,吉安,0.945,113,32,12,99,55,35,良,160.1613,24,2016-08
21,74,吉安,1.017,107,19,18,117,76,49,良,212.0000,32,2016-09
22,65,吉安,0.89,104,28,20,76,72,45,良,219.0000,25,2016-10
23,74,吉安,0.78,249,28,30,57,83,53,良,153.1333,26,2016-11
24,100,吉安,0.761,152,49,42,74,114,75,轻度污染,202.2258,39,2016-12
25,105,吉安,0.813,270,46,33,89,96,67,轻度污染,207.9355,30,2017-01
26,91,吉安,0.664,144,38,22,113,90,63,良,191.7143,22,2017-02
27,69,吉安,0.752,119,34,25,89,67,45,良,148.3548,23,2017-03
28,94,吉安,0.617,169,33,17,146,68,45,良,185.2000,29,2017-04
29,84,吉安,0.706,120,40,16,131,75,51,良,215.0323,31,2017-05
30,53,吉安,0.667,80,35,12,82,47,34,良,155.4333,25,2017-06
31,53,吉安,0.626,92,24,12,85,52,34,良,188.1935,22,2017-07
32,57,吉安,0.626,87,31,11,103,50,32,良,187.3871,23,2017-08
33,74,吉安,0.87,130,36,13,120,65,45,良,213.1333,25,2017-09
34,75,吉安,0.732,131,28,18,105,72,52,良,228.2258,24,2017-10
35,99,吉安,0.903,204,40,32,79,98,74,良,229.2000,28,2017-11
36,99,吉安,0.842,152,33,36,43,102,75,良,193.3871,35,2017-12
37,85,吉安,0.961,160,35,34,53,88,63,良,171.0968,24,2018-01
38,83,吉安,0.771,170,36,21,78,87,60,良,174.2500,14,2018-02
39,68,吉安,0.674,118,28,23,90,71,46,良,141.4839,23,2018-03
40,80,吉安,0.61,111,35,17,116,88,49,良,199.0333,22,2018-04
41,66,吉安,0.668,101,40,11,116,55,35,良,157.9355,16,2018-05
42,65,吉安,0.607,149,27,12,110,51,30,良,136.1667,16,2018-06
43,60,吉安,0.548,102,40,11,106,49,24,良,178.8710,18,2018-07
44,74,吉安,0.623,133,26,12,127,49,27,良,198.7742,22,2018-08
45,60,吉安,0.733,107,31,13,107,52,29,良,190.2000,22,2018-09
46,75,吉安,0.726,133,30,24,110,70,38,良,199.9355,23,2018-10
47,55,吉安,0.75,90,24,26,63,63,36,良,133.0667,19,2018-11
48,55,吉安,0.8,105,24,26,41,61,36,良,125.7778,16,2018-12
49,53,吉安,0.85,59,42,26,23,56,34,良,118.7500,15,2019-01
