index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,68,吉林,0.7,68,68,16,57,87,22,良,6.0000,17,2013-12
1,122,吉林,1.797,271,49,38,52,128,91,轻度污染,77.9355,38,2014-01
2,130,吉林,2.386,283,53,41,73,137,96,轻度污染,127.9286,47,2014-02
3,79,吉林,1.413,148,54,31,91,92,56,良,69.3548,29,2014-03
4,81,吉林,1.077,148,51,35,111,106,49,良,87.4000,20,2014-04
5,64,吉林,0.987,165,31,29,107,61,28,良,52.4516,11,2014-05
6,67,吉林,0.81,161,31,33,115,58,27,良,71.5667,9,2014-06
7,77,吉林,0.9,177,32,25,119,67,43,良,94.1935,6,2014-07
8,78,吉林,0.7,105,51,30,133,64,32,良,117.2581,12,2014-08
9,57,吉林,0.613,91,38,31,96,58,24,良,71.3000,11,2014-09
10,149,吉林,1.058,498,34,47,103,169,117,轻度污染,125.4194,20,2014-10
11,116,吉林,1.043,455,54,39,62,135,87,轻度污染,113.8333,31,2014-11
12,102,吉林,1.048,213,53,36,56,105,72,轻度污染,105.8387,41,2014-12
13,123,吉林,1.39,265,41,45,59,127,92,轻度污染,220.5806,55,2015-01
14,112,吉林,1.241,296,49,42,88,120,82,轻度污染,208.2593,50,2015-02
15,80,吉林,0.868,143,41,30,114,93,49,良,190.6452,28,2015-03
16,87,吉林,0.697,163,46,30,131,95,43,良,228.2000,18,2015-04
17,94,吉林,0.603,424,39,26,126,87,32,良,202.9677,14,2015-05
18,88,吉林,0.583,152,43,32,141,51,26,良,249.4000,11,2015-06
19,83,吉林,0.703,138,41,29,138,55,28,良,232.9677,17,2015-07
20,57,吉林,0.655,95,30,25,103,40,20,良,153.2581,13,2015-08
21,57,吉林,0.713,82,38,34,90,59,26,良,158.0667,19,2015-09
22,105,吉林,0.91,302,33,42,91,114,73,轻度污染,233.2903,23,2015-10
23,145,吉林,1.183,491,41,44,72,146,116,轻度污染,291.2333,45,2015-11
24,133,吉林,1.361,304,36,47,61,134,101,轻度污染,226.7097,51,2015-12
25,100,吉林,1.187,268,39,40,68,97,73,轻度污染,195.6452,56,2016-01
26,63,吉林,0.81,122,44,26,94,58,39,良,117.1034,33,2016-02
27,78,吉林,0.7,132,44,29,117,83,46,良,164.4194,28,2016-03
28,78,吉林,0.567,122,46,25,124,80,34,良,206.0333,17,2016-04
29,85,吉林,0.526,139,42,25,137,56,27,良,218.8710,14,2016-05
30,88,吉林,0.523,178,46,29,144,43,23,良,256.9667,12,2016-06
31,68,吉林,0.645,109,33,25,119,42,24,良,211.2903,12,2016-07
32,63,吉林,0.565,113,19,24,110,48,24,良,191.3548,15,2016-08
33,47,吉林,0.583,69,24,26,79,45,22,优,90.4000,11,2016-09
34,69,吉林,0.81,133,25,37,69,75,46,良,213.8710,18,2016-10
35,89,吉林,1.123,236,41,33,65,89,64,良,196.4333,26,2016-11
36,104,吉林,1.406,206,47,37,61,102,76,轻度污染,194.6129,40,2016-12
37,134,吉林,1.674,423,45,43,80,132,106,轻度污染,220.4516,41,2017-01
38,90,吉林,1.275,203,46,30,109,81,65,良,174.3214,30,2017-02
39,82,吉林,1.116,180,44,34,117,87,61,良,215.9355,26,2017-03
40,97,吉林,1.003,251,46,29,137,98,59,良,231.7333,15,2017-04
41,108,吉林,0.858,500,30,23,141,55,24,轻度污染,160.6452,11,2017-05
42,75,吉林,0.773,144,33,30,126,48,25,良,175.4667,10,2017-06
43,72,吉林,0.761,111,41,19,125,49,27,良,180.3226,8,2017-07
44,45,吉林,0.69,104,26,16,86,30,14,优,102.1613,7,2017-08
45,47,吉林,0.833,84,31,24,85,44,18,优,132.6000,9,2017-09
46,100,吉林,1.194,213,34,38,87,106,72,良,263.3226,17,2017-10
47,99,吉林,1.103,500,39,26,65,112,80,良,189.9000,17,2017-11
48,92,吉林,1.313,214,38,37,35,95,69,良,146.4194,30,2017-12
49,77,吉林,1.223,127,41,32,66,78,54,良,168.0645,27,2018-01
50,81,吉林,1.193,153,47,29,86,82,57,良,176.7500,28,2018-02
51,92,吉林,1.106,198,50,32,120,97,62,良,225.2258,22,2018-03
52,82,吉林,0.93,133,0,25,130,94,46,良,213.0333,14,2018-04
53,74,吉林,0.777,111,44,26,122,68,31,良,185.1613,12,2018-05
54,88,吉林,0.77,183,38,25,143,41,24,良,196.1333,8,2018-06
55,64,吉林,0.774,147,27,20,112,36,20,良,167.8065,8,2018-07
56,47,吉林,0.732,122,25,22,84,32,16,优,116.3226,10,2018-08
57,37,吉林,0.59,64,19,21,67,33,15,优,138.0333,8,2018-09
58,43,吉林,0.716,68,22,28,61,45,22,优,110.3548,11,2018-10
59,57,吉林,0.917,95,26,29,51,61,37,良,146.1000,17,2018-11
60,75,吉林,0.89,230,30,26,57,75,50,良,164.6452,16,2018-12
61,68,吉林,1.075,78,52,28,58,68,48,良,159.5000,18,2019-01
