index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,55,吕梁,2.6,55,55,21,41,55,35,良,63.0000,185,2014-12
1,104,吕梁,4.219,220,41,32,32,101,77,轻度污染,181.8387,150,2015-01
2,70,吕梁,3.739,93,47,28,35,84,49,良,136.1071,114,2015-02
3,59,吕梁,3.639,76,46,28,35,68,37,良,111.9032,90,2015-03
4,66,吕梁,3.073,109,47,23,52,81,32,良,136.8667,56,2015-04
5,73,吕梁,2.581,138,54,25,74,81,45,良,174.0645,41,2015-05
6,83,吕梁,2.087,176,50,26,96,86,55,良,243.3333,44,2015-06
7,81,吕梁,2.058,143,45,33,120,73,55,良,230.2258,38,2015-07
8,62,吕梁,1.758,120,40,22,91,60,40,良,165.0000,36,2015-08
9,71,吕梁,2.423,113,49,29,64,63,46,良,222.3333,33,2015-09
10,61,吕梁,2.097,119,44,23,44,63,34,良,132.7419,27,2015-10
11,80,吕梁,2.807,112,49,23,35,71,51,良,237.8333,88,2015-11
12,93,吕梁,2.69,155,53,23,27,93,58,良,203.0323,107,2015-12
13,81,吕梁,2.748,127,46,19,25,95,43,良,179.5161,102,2016-01
14,78,吕梁,2.417,120,38,19,37,84,36,良,192.1724,73,2016-02
15,79,吕梁,1.526,146,52,26,44,108,35,良,167.3226,53,2016-03
16,60,吕梁,1.433,86,42,23,58,69,24,良,121.6333,18,2016-04
17,73,吕梁,1.052,148,32,22,66,85,40,良,169.8065,30,2016-05
18,66,吕梁,1.273,107,39,20,102,62,38,良,178.8000,27,2016-06
19,72,吕梁,1.316,136,45,18,115,60,41,良,214.1935,20,2016-07
20,63,吕梁,1.003,87,32,20,88,61,41,良,190.1290,31,2016-08
21,65,吕梁,1.037,102,43,23,76,68,42,良,171.1667,34,2016-09
22,72,吕梁,1.316,106,35,25,49,89,45,良,246.4194,39,2016-10
23,132,吕梁,1.44,202,66,34,37,201,93,轻度污染,310.7667,132,2016-11
24,151,吕梁,2.029,217,73,45,31,199,112,中度污染,297.1613,191,2016-12
25,141,吕梁,2.155,268,75,45,43,134,80,轻度污染,275.8387,184,2017-01
26,109,吕梁,1.979,194,54,47,64,120,68,轻度污染,273.3571,139,2017-02
27,86,吕梁,1.584,151,47,46,78,115,56,良,262.5161,76,2017-03
28,79,吕梁,0.893,163,55,48,90,107,36,良,241.7333,29,2017-04
29,107,吕梁,0.942,424,52,45,132,95,27,轻度污染,255.7097,24,2017-05
30,91,吕梁,1.017,127,52,49,145,79,40,良,238.9667,33,2017-06
31,85,吕梁,1.416,134,40,40,140,83,39,良,264.1935,37,2017-07
32,72,吕梁,1.577,122,48,41,112,75,37,良,262.8710,30,2017-08
33,78,吕梁,1.53,104,60,49,105,100,42,良,273.7000,29,2017-09
34,76,吕梁,1.661,139,32,43,57,92,51,良,233.4516,30,2017-10
35,106,吕梁,2.07,149,62,48,54,153,75,轻度污染,282.3000,85,2017-11
36,134,吕梁,2.242,200,54,49,25,139,83,轻度污染,276.9677,127,2017-12
37,118,吕梁,2.103,199,53,49,42,142,86,轻度污染,250.1290,100,2018-01
38,93,吕梁,1.836,160,0,35,64,118,64,良,235.7143,84,2018-02
39,84,吕梁,1.829,119,0,46,92,110,55,良,225.8387,38,2018-03
40,66,吕梁,1.247,112,0,41,122,78,34,良,174.6667,19,2018-04
41,86,吕梁,1.277,142,0,47,133,82,41,良,220.9677,22,2018-05
42,101,吕梁,1.247,164,66,53,155,70,43,轻度污染,215.8000,20,2018-06
43,87,吕梁,1.294,146,45,38,138,61,43,良,258.8387,19,2018-07
44,88,吕梁,1.281,140,42,37,138,72,51,良,283.1290,17,2018-08
45,53,吕梁,0.943,77,38,34,74,45,25,良,178.1667,16,2018-09
46,68,吕梁,0.994,105,51,43,78,79,35,良,238.1935,21,2018-10
47,87,吕梁,1.23,182,34,50,46,118,56,良,259.6333,47,2018-11
48,92,吕梁,1.261,178,51,45,39,126,58,良,251.5484,69,2018-12
49,154,吕梁,1.875,190,125,63,25,180,117,中度污染,290.2500,105,2019-01
