index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,56,呼伦贝尔,0.8,56,56,25,34,61,40,良,73.0000,18,2014-12
1,73,呼伦贝尔,0.965,162,43,35,44,82,51,良,108.3226,28,2015-01
2,78,呼伦贝尔,0.807,137,42,30,67,89,55,良,154.1429,24,2015-02
3,60,呼伦贝尔,0.674,110,42,22,87,70,38,良,117.5556,19,2015-03
4,75,呼伦贝尔,0.473,228,44,20,98,94,42,良,155.3000,17,2015-04
5,58,呼伦贝尔,0.368,101,35,21,101,60,28,良,113.1290,14,2015-05
6,55,呼伦贝尔,0.353,86,33,19,83,52,31,良,148.2000,7,2015-06
7,66,呼伦贝尔,0.455,117,43,19,97,58,40,良,179.8387,4,2015-07
8,54,呼伦贝尔,0.261,98,33,20,72,61,27,良,133.5161,3,2015-08
9,51,呼伦贝尔,0.233,73,29,18,67,57,23,良,124.9333,4,2015-09
10,49,呼伦贝尔,0.281,78,27,16,58,53,24,优,77.4839,5,2015-10
11,58,呼伦贝尔,0.517,78,36,20,45,66,37,良,144.9333,7,2015-11
12,64,呼伦贝尔,0.671,117,35,24,44,65,43,良,112.2581,7,2015-12
13,72,呼伦贝尔,0.765,172,30,30,46,70,52,良,142.0968,9,2016-01
14,58,呼伦贝尔,0.531,160,36,23,68,56,41,良,98.3793,8,2016-02
15,55,呼伦贝尔,0.494,161,31,19,78,62,28,良,71.7419,6,2016-03
16,52,呼伦贝尔,0.403,73,40,17,90,53,25,良,71.2333,5,2016-04
17,64,呼伦贝尔,0.361,147,38,18,100,73,35,良,137.9355,5,2016-05
18,60,呼伦贝尔,0.327,89,40,20,90,66,29,良,158.8667,5,2016-06
19,64,呼伦贝尔,0.329,99,35,17,104,64,28,良,195.2258,4,2016-07
20,60,呼伦贝尔,0.365,82,33,19,73,69,18,良,176.2581,5,2016-08
21,58,呼伦贝尔,0.373,120,0,19,55,66,26,良,143.3333,6,2016-09
22,39,呼伦贝尔,0.348,67,28,17,59,36,20,优,62.8387,9,2016-10
23,39,呼伦贝尔,0.363,82,26,21,54,36,23,优,39.6667,8,2016-11
24,43,呼伦贝尔,0.623,69,30,24,53,40,26,优,28.6129,6,2016-12
25,51,呼伦贝尔,0.868,112,28,26,57,46,34,良,60.3226,7,2017-01
26,45,呼伦贝尔,0.743,60,35,19,83,34,23,优,48.6786,5,2017-02
27,48,呼伦贝尔,0.606,57,42,19,95,34,22,优,68.1613,4,2017-03
28,57,呼伦贝尔,0.43,109,45,13,105,42,16,良,72.1000,3,2017-04
29,74,呼伦贝尔,0.361,500,35,12,101,55,14,良,108.2581,2,2017-05
30,54,呼伦贝尔,0.4,96,36,16,98,53,18,良,186.8000,2,2017-06
31,63,呼伦贝尔,0.597,114,45,16,108,50,16,良,201.1613,3,2017-07
32,54,呼伦贝尔,0.423,112,24,15,90,44,22,良,177.0645,2,2017-08
33,38,呼伦贝尔,0.383,54,26,16,77,28,12,优,60.1333,2,2017-09
34,36,呼伦贝尔,0.394,44,29,18,71,25,12,优,40.7742,3,2017-10
35,31,呼伦贝尔,0.46,45,24,17,57,30,17,优,36.8000,4,2017-11
36,47,呼伦贝尔,0.726,78,19,26,28,42,32,优,52.8710,6,2017-12
37,38,呼伦贝尔,0.581,68,26,18,58,31,24,优,38.6774,6,2018-01
38,46,呼伦贝尔,0.579,69,35,19,73,38,30,优,54.0357,6,2018-02
39,50,呼伦贝尔,0.448,67,44,15,96,29,17,良,69.3226,5,2018-03
40,54,呼伦贝尔,0.363,66,0,12,106,24,10,良,96.2000,3,2018-04
41,66,呼伦贝尔,0.365,98,45,14,114,43,13,良,151.7097,3,2018-05
42,62,呼伦贝尔,0.353,340,34,14,100,23,10,良,102.0000,3,2018-06
43,49,呼伦贝尔,0.416,94,33,11,93,20,10,优,128.3226,3,2018-07
44,38,呼伦贝尔,0.41,69,28,13,75,26,14,优,101.7097,3,2018-08
45,36,呼伦贝尔,0.347,70,21,13,71,24,13,优,87.4333,2,2018-09
46,34,呼伦贝尔,0.365,70,19,13,61,27,15,优,51.8387,3,2018-10
47,34,呼伦贝尔,0.4,84,25,12,55,32,17,优,36.5333,3,2018-11
48,34,呼伦贝尔,0.481,55,25,12,54,31,21,优,43.9355,4,2018-12
49,36,呼伦贝尔,0.55,43,28,18,48,32,24,优,50.2500,4,2019-01
