index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,112,呼和浩特,4.323,182,37,59,27,154,78,轻度污染,47.0333,95,2013-12
1,91,呼和浩特,4.039,302,38,60,31,123,61,良,55.2258,98,2014-01
2,85,呼和浩特,3.457,229,22,51,35,97,60,良,72.3571,76,2014-02
3,94,呼和浩特,2.51,199,28,47,49,139,45,良,97.7097,75,2014-03
4,96,呼和浩特,2.143,230,53,44,63,141,40,良,108.8000,32,2014-04
5,91,呼和浩特,1.49,165,40,39,68,133,37,良,98.2903,25,2014-05
6,72,呼和浩特,1.173,110,28,33,101,86,26,良,84.9000,23,2014-06
7,80,呼和浩特,0.745,131,49,39,122,100,32,良,104.5806,18,2014-07
8,72,呼和浩特,0.842,104,48,39,107,88,25,良,101.1613,19,2014-08
9,70,呼和浩特,0.827,109,34,40,85,89,29,良,104.5667,19,2014-09
10,96,呼和浩特,1.394,160,33,51,62,142,51,良,107.6774,34,2014-10
11,87,呼和浩特,1.897,139,32,50,43,121,51,良,88.6667,58,2014-11
12,105,呼和浩特,2.371,257,45,43,39,131,71,轻度污染,103.6452,81,2014-12
13,87,呼和浩特,2.619,170,34,54,34,119,59,良,145.9032,97,2015-01
14,93,呼和浩特,1.882,247,32,41,51,123,51,良,165.8214,71,2015-02
15,86,呼和浩特,1.419,151,33,38,70,123,38,良,207.4194,49,2015-03
16,74,呼和浩特,0.853,251,33,34,81,96,27,良,150.2000,22,2015-04
17,74,呼和浩特,0.655,105,43,26,100,98,25,良,179.6452,14,2015-05
18,71,呼和浩特,0.657,138,41,27,113,72,21,良,199.9333,11,2015-06
19,89,呼和浩特,0.771,135,45,31,145,83,27,良,272.4516,14,2015-07
20,79,呼和浩特,0.629,120,47,33,131,76,21,良,237.1935,12,2015-08
21,64,呼和浩特,0.667,101,35,34,102,71,27,良,186.4667,12,2015-09
22,78,呼和浩特,0.877,147,33,42,80,103,39,良,182.9677,23,2015-10
23,104,呼和浩特,1.78,305,37,44,43,124,76,轻度污染,241.6667,35,2015-11
24,136,呼和浩特,2.561,263,28,59,32,158,102,轻度污染,239.9032,53,2015-12
25,87,呼和浩特,1.865,190,35,43,49,103,60,良,181.5806,50,2016-01
26,75,呼和浩特,1.403,232,37,33,68,86,47,良,151.9310,43,2016-02
27,98,呼和浩特,1.239,419,41,41,86,132,49,良,175.4516,35,2016-03
28,79,呼和浩特,0.887,124,41,35,106,107,28,良,211.6667,19,2016-04
29,96,呼和浩特,0.739,258,45,33,129,119,33,良,228.0968,15,2016-05
30,77,呼和浩特,0.803,144,43,32,131,59,24,良,219.3667,14,2016-06
31,87,呼和浩特,0.752,143,35,32,142,58,24,良,271.9677,8,2016-07
32,73,呼和浩特,0.729,117,40,31,124,50,18,良,221.6129,8,2016-08
33,61,呼和浩特,0.767,108,38,45,93,60,24,良,157.8667,11,2016-09
34,71,呼和浩特,1.023,101,35,52,73,89,37,良,243.4516,20,2016-10
35,112,呼和浩特,1.877,192,35,61,48,152,73,轻度污染,259.9333,53,2016-11
36,93,呼和浩特,2.277,169,37,61,48,107,65,良,169.3871,64,2016-12
37,105,呼和浩特,2.51,451,41,58,56,115,74,轻度污染,191.1290,66,2017-01
38,90,呼和浩特,1.968,177,44,50,78,94,64,良,191.1429,54,2017-02
39,71,呼和浩特,1.348,148,43,44,96,75,41,良,140.5806,42,2017-03
40,75,呼和浩特,0.953,142,45,42,113,92,29,良,181.9667,22,2017-04
41,105,呼和浩特,0.732,500,55,39,132,109,30,轻度污染,229.1935,14,2017-05
42,101,呼和浩特,0.76,212,48,38,154,83,26,轻度污染,232.8000,13,2017-06
43,106,呼和浩特,0.839,171,55,38,165,80,28,轻度污染,247.1613,13,2017-07
44,79,呼和浩特,0.884,124,38,34,133,63,25,良,242.6129,12,2017-08
45,77,呼和浩特,0.92,140,48,45,123,80,28,良,222.3333,16,2017-09
46,84,呼和浩特,1.19,154,29,49,77,102,57,良,232.2581,20,2017-10
47,93,呼和浩特,1.607,197,32,54,56,118,55,良,193.4333,34,2017-11
48,92,呼和浩特,1.994,165,37,54,25,116,58,良,177.5806,41,2017-12
49,67,呼和浩特,1.532,152,0,47,56,79,38,良,137.6452,35,2018-01
50,69,呼和浩特,1.354,249,0,40,76,82,38,良,136.4643,34,2018-02
51,53,呼和浩特,1.368,147,0,49,94,66,30,良,146.9355,27,2018-03
52,63,呼和浩特,0.937,117,0,37,112,81,24,良,165.3667,16,2018-04
53,76,呼和浩特,0.823,150,0,35,135,87,27,良,191.8710,13,2018-05
54,90,呼和浩特,0.877,149,46,31,140,73,22,良,76.3667,11,2018-06
55,82,呼和浩特,1.039,133,36,31,135,50,25,良,240.3871,10,2018-07
56,78,呼和浩特,0.99,113,46,29,133,48,20,良,198.8710,9,2018-08
57,51,呼和浩特,0.883,80,27,32,77,49,18,良,176.0667,10,2018-09
58,65,呼和浩特,1.042,109,29,44,69,77,34,良,191.3871,14,2018-10
59,96,呼和浩特,1.56,432,31,55,45,129,56,良,260.6000,25,2018-11
60,85,呼和浩特,1.748,151,29,49,39,117,53,良,223.7742,28,2018-12
61,85,呼和浩特,1.825,113,53,52,43,92,60,良,175.7500,27,2019-01
