index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,115,和田地区,1.5,115,115,20,49,179,57,轻度污染,281.0000,41,2014-12
1,155,和田地区,1.9,322,120,23,39,251,71,中度污染,287.1935,59,2015-01
2,188,和田地区,4.148,342,106,21,57,284,78,中度污染,328.0741,275,2015-02
3,325,和田地区,3.27,476,127,28,83,422,97,严重污染,354.9000,77,2015-03
4,247,和田地区,1.191,500,115,27,93,339,103,重度污染,351.8696,54,2015-04
5,230,和田地区,0.706,500,65,21,104,410,108,重度污染,327.6774,41,2015-05
6,242,和田地区,0.597,500,62,18,116,441,101,重度污染,345.1667,34,2015-06
7,247,和田地区,0.506,500,68,25,106,421,126,重度污染,337.7097,49,2015-07
8,261,和田地区,0.726,500,66,21,76,441,120,重度污染,353.4839,35,2015-08
9,117,和田地区,0.727,500,58,24,91,165,57,轻度污染,290.5000,30,2015-09
10,141,和田地区,0.868,400,79,30,81,216,72,轻度污染,315.7742,33,2015-10
11,118,和田地区,1.747,280,68,48,67,178,81,轻度污染,302.4000,87,2015-11
12,90,和田地区,1.558,132,35,36,54,104,64,良,188.6774,71,2015-12
13,156,和田地区,1.629,500,73,35,50,217,92,中度污染,272.6129,83,2016-01
14,228,和田地区,1.772,500,99,28,53,273,152,重度污染,319.5862,58,2016-02
15,292,和田地区,0.907,500,67,29,69,433,177,重度污染,322.6000,49,2016-03
16,220,和田地区,0.933,500,61,20,94,310,142,重度污染,330.3000,31,2016-04
17,322,和田地区,0.939,500,78,20,100,620,215,严重污染,350.9032,28,2016-05
18,191,和田地区,0.887,496,74,18,113,278,88,中度污染,347.3667,28,2016-06
19,226,和田地区,0.974,500,74,21,115,338,103,重度污染,349.9032,34,2016-07
20,91,和田地区,0.758,343,41,18,102,120,37,良,233.7419,19,2016-08
21,84,和田地区,0.987,265,45,19,106,110,34,良,232.0000,14,2016-09
22,187,和田地区,1.587,500,56,27,87,279,87,中度污染,345.8710,43,2016-10
23,183,和田地区,2.28,500,69,33,68,279,82,中度污染,317.1333,90,2016-11
24,109,和田地区,2.552,160,76,47,64,166,72,轻度污染,228.5161,82,2016-12
25,83,和田地区,1.471,149,50,36,56,98,62,良,166.4839,44,2017-01
26,157,和田地区,1.614,500,75,33,68,115,42,中度污染,265.2143,42,2017-02
27,205,和田地区,1.268,500,71,28,84,20,6,重度污染,300.8710,38,2017-03
28,293,和田地区,0.7,500,70,17,91,24,5,重度污染,318.0000,31,2017-04
29,245,和田地区,0.777,500,114,21,96,0,0,重度污染,325.5161,33,2017-05
30,225,和田地区,0.79,500,67,17,120,13,5,重度污染,324.0333,27,2017-06
31,214,和田地区,0.652,500,55,17,107,46,15,重度污染,317.6774,31,2017-07
32,209,和田地区,0.642,500,72,17,102,28,9,重度污染,334.4839,35,2017-08
33,181,和田地区,0.86,500,70,20,106,38,11,中度污染,329.4000,34,2017-09
34,239,和田地区,1.439,500,98,26,97,69,18,重度污染,320.5161,26,2017-10
35,125,和田地区,2.95,165,99,44,94,48,19,轻度污染,307.3333,47,2017-11
36,177,和田地区,3.268,730,59,41,43,170,88,中度污染,269.3548,37,2017-12
37,109,和田地区,2.748,191,0,33,71,183,59,轻度污染,205.6452,26,2018-01
38,127,和田地区,2.689,191,0,33,98,210,63,轻度污染,269.8929,26,2018-02
39,16,和田地区,1.377,140,0,22,0,31,9,优,55.2581,0,2018-03
40,0,和田地区,0.507,0,0,17,68,0,0,无,30.9667,13,2018-04
41,0,和田地区,0.365,0,0,22,98,0,0,无,23.0645,16,2018-05
42,242,和田地区,0.41,500,65,15,101,48,12,重度污染,296.5000,17,2018-06
43,253,和田地区,0.506,500,64,19,103,37,12,重度污染,339.3871,22,2018-07
44,238,和田地区,0.452,500,76,21,96,50,13,重度污染,323.8065,16,2018-08
45,146,和田地区,0.503,330,67,22,78,57,17,轻度污染,316.0000,15,2018-09
46,113,和田地区,0.935,434,68,34,70,166,43,轻度污染,308.3226,16,2018-10
47,103,和田地区,1.433,500,26,36,55,147,47,轻度污染,261.8000,25,2018-11
48,167,和田地区,1.706,474,85,41,54,252,70,中度污染,310.6452,27,2018-12
49,149,和田地区,1.75,154,139,44,47,248,82,轻度污染,289.2500,31,2019-01
