index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,90,哈密地区,1.2,90,90,20,31,129,45,良,197.0000,8,2014-12
1,97,哈密地区,1.558,184,55,20,30,144,59,良,180.5806,16,2015-01
2,115,哈密地区,1.346,275,46,14,37,174,53,轻度污染,224.7500,9,2015-02
3,105,哈密地区,0.777,303,61,13,46,144,46,轻度污染,237.7097,7,2015-03
4,114,哈密地区,0.55,398,42,12,53,148,50,轻度污染,207.9000,4,2015-04
5,67,哈密地区,0.594,123,37,8,58,85,26,良,162.4839,9,2015-05
6,60,哈密地区,0.557,109,25,9,58,72,25,良,162.3667,7,2015-06
7,60,哈密地区,0.726,97,36,9,60,72,21,良,157.8387,5,2015-07
8,76,哈密地区,0.884,242,46,11,58,98,27,良,212.8710,6,2015-08
9,65,哈密地区,0.857,100,36,13,50,81,19,良,197.9000,6,2015-09
10,76,哈密地区,1.0,120,48,16,42,103,33,良,189.5161,7,2015-10
11,79,哈密地区,1.427,114,43,19,30,103,50,良,224.2333,9,2015-11
12,74,哈密地区,1.387,127,38,18,26,90,50,良,146.8065,14,2015-12
13,74,哈密地区,1.455,118,42,18,30,95,46,良,159.5806,11,2016-01
14,99,哈密地区,1.424,209,52,15,38,143,48,良,216.5172,7,2016-02
15,108,哈密地区,1.11,235,55,14,49,164,44,轻度污染,234.5806,4,2016-03
16,71,哈密地区,0.767,177,46,11,58,93,28,良,157.1667,3,2016-04
17,71,哈密地区,0.623,165,32,10,58,94,31,良,163.0323,4,2016-05
18,76,哈密地区,0.727,500,34,8,61,94,30,良,144.7667,3,2016-06
19,54,哈密地区,0.945,100,36,8,58,60,21,良,147.3871,3,2016-07
20,65,哈密地区,1.171,109,36,15,49,80,27,良,202.1935,3,2016-08
21,66,哈密地区,1.263,89,48,39,90,81,28,良,188.8000,9,2016-09
22,71,哈密地区,1.506,109,45,37,92,91,30,良,253.6452,9,2016-10
23,75,哈密地区,1.623,130,39,48,61,99,42,良,184.9667,15,2016-11
24,77,哈密地区,1.839,119,61,50,41,98,53,良,144.6452,22,2016-12
25,71,哈密地区,1.565,102,51,48,51,87,39,良,140.3226,18,2017-01
26,70,哈密地区,1.661,122,38,41,69,91,29,良,156.2143,13,2017-02
27,89,哈密地区,1.365,288,46,32,103,56,23,良,194.7419,10,2017-03
28,75,哈密地区,1.14,151,44,30,114,70,21,良,178.1000,11,2017-04
29,82,哈密地区,1.113,99,62,20,138,58,22,良,158.6774,9,2017-05
30,81,哈密地区,0.723,159,57,18,131,58,22,良,227.9000,6,2017-06
31,77,哈密地区,1.042,91,58,16,132,64,21,良,251.4839,4,2017-07
32,71,哈密地区,0.984,87,54,16,124,58,18,良,260.6129,5,2017-08
33,73,哈密地区,0.98,108,54,24,116,74,21,良,256.9667,8,2017-09
34,73,哈密地区,1.497,112,45,28,101,97,32,良,247.0000,9,2017-10
35,73,哈密地区,2.03,133,37,38,72,93,48,良,198.9000,9,2017-11
36,94,哈密地区,2.987,149,43,39,34,87,59,良,208.4516,12,2017-12
37,71,哈密地区,2.213,94,48,30,62,77,46,良,163.3548,11,2018-01
38,61,哈密地区,1.939,85,45,25,81,71,28,良,119.0000,9,2018-02
39,56,哈密地区,1.365,119,0,32,102,76,13,良,148.4839,11,2018-03
40,70,哈密地区,0.93,138,0,23,113,87,25,良,183.5667,8,2018-04
41,79,哈密地区,0.732,162,0,28,133,71,22,良,219.0968,9,2018-05
42,85,哈密地区,0.997,114,57,25,140,55,16,良,197.6333,8,2018-06
43,64,哈密地区,0.923,94,33,29,112,41,16,良,208.4839,7,2018-07
44,68,哈密地区,0.935,500,35,30,85,41,16,良,203.6774,6,2018-08
45,54,哈密地区,0.913,83,32,35,51,42,14,良,188.4000,6,2018-09
46,67,哈密地区,0.974,230,40,38,41,72,25,良,146.2581,10,2018-10
47,60,哈密地区,1.203,109,30,22,35,72,32,良,155.7000,11,2018-11
48,76,哈密地区,1.687,150,43,34,34,82,47,良,220.1481,16,2018-12
49,92,哈密地区,2.35,109,77,43,29,95,68,良,197.0000,21,2019-01
