index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,197,哈尔滨,1.693,370,83,78,27,198,155,中度污染,77.8000,120,2013-12
1,160,哈尔滨,1.41,412,54,68,33,164,123,中度污染,115.3548,126,2014-01
2,150,哈尔滨,1.479,308,46,73,54,163,114,中度污染,139.6071,116,2014-02
3,81,哈尔滨,0.916,213,43,62,62,96,56,良,67.1613,68,2014-03
4,79,哈尔滨,0.733,134,50,56,92,104,49,良,79.8333,30,2014-04
5,53,哈尔滨,0.658,129,24,40,80,55,28,良,36.2903,15,2014-05
6,58,哈尔滨,0.733,119,29,38,93,61,30,良,56.8000,13,2014-06
7,74,哈尔滨,0.771,249,24,35,100,72,49,良,78.8065,8,2014-07
8,53,哈尔滨,0.681,74,23,41,90,54,29,良,58.4194,10,2014-08
9,44,哈尔滨,0.59,73,22,35,60,47,22,优,41.5000,15,2014-09
10,151,哈尔滨,0.987,446,29,58,61,160,120,中度污染,105.1333,45,2014-10
11,184,哈尔滨,1.06,375,50,60,43,194,145,中度污染,152.3333,84,2014-11
12,137,哈尔滨,1.042,220,58,60,29,140,99,轻度污染,150.3226,139,2014-12
13,156,哈尔滨,1.252,287,47,76,33,156,120,中度污染,271.9355,153,2015-01
14,150,哈尔滨,1.282,381,45,69,51,154,113,中度污染,257.8571,91,2015-02
15,90,哈尔滨,1.032,217,45,51,65,105,63,良,202.2581,43,2015-03
16,81,哈尔滨,0.683,134,40,45,57,102,52,良,206.3000,19,2015-04
17,54,哈尔滨,0.548,132,25,35,61,64,27,良,95.6452,9,2015-05
18,66,哈尔滨,0.667,113,35,33,106,58,34,良,173.4333,8,2015-06
19,69,哈尔滨,0.842,117,34,37,109,52,31,良,181.6452,6,2015-07
20,48,哈尔滨,0.784,100,28,32,76,41,24,优,101.3548,5,2015-08
21,50,哈尔滨,0.757,80,32,37,64,48,22,优,115.6333,8,2015-09
22,82,哈尔滨,0.994,211,26,42,60,83,57,良,173.5806,18,2015-10
23,178,哈尔滨,1.403,500,50,62,37,178,148,中度污染,311.8000,39,2015-11
24,182,哈尔滨,1.668,414,50,77,30,188,145,中度污染,288.2258,71,2015-12
25,127,哈尔滨,1.387,234,53,63,34,119,96,轻度污染,261.8065,74,2016-01
26,92,哈尔滨,1.434,195,40,56,49,90,67,良,222.5172,56,2016-02
27,82,哈尔滨,1.319,172,38,47,63,97,55,良,165.3226,36,2016-03
28,73,哈尔滨,1.067,169,39,37,72,87,40,良,172.2333,17,2016-04
29,60,哈尔滨,0.984,103,37,31,96,60,27,良,119.6452,10,2016-05
30,55,哈尔滨,0.93,107,33,32,99,40,25,良,133.4000,8,2016-06
31,54,哈尔滨,0.923,89,29,33,93,42,24,良,152.1613,6,2016-07
32,50,哈尔滨,0.932,88,22,32,86,45,23,优,126.5806,9,2016-08
33,46,哈尔滨,0.95,64,28,34,61,38,23,优,84.1333,10,2016-09
34,66,哈尔滨,0.971,139,40,43,52,60,43,良,201.0968,17,2016-10
35,118,哈尔滨,1.243,500,57,58,46,106,100,轻度污染,257.4000,46,2016-11
36,123,哈尔滨,1.545,212,49,60,39,112,92,轻度污染,240.1290,58,2016-12
37,156,哈尔滨,1.91,350,47,69,50,148,123,中度污染,249.5484,65,2017-01
38,99,哈尔滨,1.746,275,43,58,82,93,73,良,180.6071,45,2017-02
39,81,哈尔滨,1.519,161,42,56,93,82,56,良,182.5806,32,2017-03
40,96,哈尔滨,1.56,236,43,46,112,104,60,良,230.9333,24,2017-04
41,85,哈尔滨,0.877,297,37,31,122,65,24,良,155.1290,11,2017-05
42,68,哈尔滨,0.723,148,32,37,114,45,24,良,158.2333,9,2017-06
43,74,哈尔滨,0.713,128,42,37,124,50,21,良,187.1290,8,2017-07
44,48,哈尔滨,0.574,85,27,28,88,38,16,优,136.3548,7,2017-08
45,48,哈尔滨,0.637,70,29,33,74,48,21,优,152.4000,8,2017-09
46,119,哈尔滨,0.848,473,35,49,84,122,94,轻度污染,249.0645,17,2017-10
47,121,哈尔滨,0.98,435,33,39,62,118,101,轻度污染,183.3667,26,2017-11
48,101,哈尔滨,1.219,206,25,49,30,92,74,轻度污染,176.8710,53,2017-12
49,108,哈尔滨,1.123,294,35,51,52,99,81,轻度污染,217.8387,54,2018-01
50,90,哈尔滨,1.164,215,44,45,74,85,66,良,200.8214,43,2018-02
51,97,哈尔滨,0.965,285,48,45,105,96,62,良,221.4516,30,2018-03
52,82,哈尔滨,0.823,270,0,40,117,81,53,良,178.7000,16,2018-04
53,74,哈尔滨,0.665,118,44,35,124,67,29,良,181.3871,8,2018-05
54,72,哈尔滨,0.613,157,37,31,124,42,18,良,63.3000,6,2018-06
55,58,哈尔滨,0.655,138,30,30,99,45,20,良,172.0000,6,2018-07
56,42,哈尔滨,0.571,99,18,26,72,35,13,优,118.4839,7,2018-08
57,41,哈尔滨,0.587,70,20,28,61,38,15,优,121.7000,7,2018-09
58,46,哈尔滨,0.639,85,22,33,59,49,22,优,119.7742,11,2018-10
59,56,哈尔滨,0.793,111,23,35,45,61,34,良,143.3000,20,2018-11
60,76,哈尔滨,0.926,310,27,36,47,71,54,良,154.2581,29,2018-12
61,82,哈尔滨,1.1,122,53,43,41,75,60,良,200.5000,39,2019-01
