index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,222,喀什地区,3.0,222,222,61,53,296,172,重度污染,357.0000,94,2014-12
1,173,喀什地区,2.877,286,86,46,58,247,131,中度污染,303.3871,47,2015-01
2,164,喀什地区,1.993,328,87,34,69,234,109,中度污染,295.2857,30,2015-02
3,265,喀什地区,1.3,496,95,30,91,375,120,重度污染,347.2609,17,2015-03
4,187,喀什地区,0.767,500,51,27,98,424,97,中度污染,325.7917,17,2015-04
5,154,喀什地区,0.545,500,59,18,98,364,117,中度污染,277.6774,18,2015-05
6,135,喀什地区,0.46,402,52,16,118,194,55,轻度污染,296.4333,15,2015-06
7,188,喀什地区,0.577,500,70,30,121,276,96,中度污染,334.0645,12,2015-07
8,165,喀什地区,0.571,500,50,22,98,250,84,中度污染,295.3548,11,2015-08
9,131,喀什地区,0.657,500,56,24,87,189,57,轻度污染,305.8333,13,2015-09
10,245,喀什地区,1.2,500,87,41,65,359,140,重度污染,345.6774,15,2015-10
11,214,喀什地区,2.443,282,122,53,47,259,165,重度污染,353.1667,14,2015-11
12,223,喀什地区,2.868,308,95,52,44,204,177,重度污染,323.5161,18,2015-12
13,211,喀什地区,2.81,293,156,48,44,244,160,重度污染,345.7097,20,2016-01
14,320,喀什地区,2.572,500,120,38,61,513,206,严重污染,350.3793,15,2016-02
15,330,喀什地区,2.019,500,88,37,71,1457,511,严重污染,351.2581,16,2016-03
16,266,喀什地区,1.407,500,61,23,99,597,165,重度污染,323.3333,13,2016-04
17,261,喀什地区,0.477,500,73,21,109,793,226,重度污染,323.7097,14,2016-05
18,143,喀什地区,0.47,500,75,22,122,212,63,轻度污染,318.3333,13,2016-06
19,124,喀什地区,0.477,365,65,22,131,178,46,轻度污染,314.1935,14,2016-07
20,97,喀什地区,0.645,199,51,27,116,139,38,良,293.0968,10,2016-08
21,102,喀什地区,0.73,189,59,35,100,153,46,轻度污染,290.0333,9,2016-09
22,216,喀什地区,1.29,500,90,49,77,331,106,重度污染,359.0645,13,2016-10
23,198,喀什地区,2.317,451,103,55,58,277,130,中度污染,333.8667,17,2016-11
24,239,喀什地区,3.345,332,133,59,37,301,189,重度污染,344.3548,14,2016-12
25,169,喀什地区,2.439,277,62,52,53,175,133,中度污染,299.3548,10,2017-01
26,225,喀什地区,1.975,500,66,42,51,117,70,重度污染,287.0000,10,2017-02
27,208,喀什地区,0.9,500,61,35,68,17,10,重度污染,291.0645,7,2017-03
28,173,喀什地区,0.823,500,43,45,83,35,15,中度污染,294.4000,8,2017-04
29,181,喀什地区,0.819,500,54,59,96,39,14,中度污染,296.5161,11,2017-05
30,118,喀什地区,0.587,347,64,18,136,88,27,轻度污染,297.9333,11,2017-06
31,109,喀什地区,0.539,500,58,16,147,84,24,轻度污染,278.6774,10,2017-07
32,114,喀什地区,0.465,401,51,18,142,74,20,轻度污染,316.4839,9,2017-08
33,147,喀什地区,0.613,500,70,24,134,71,21,轻度污染,307.6333,9,2017-09
34,198,喀什地区,0.877,500,62,27,105,93,42,中度污染,312.5161,10,2017-10
35,147,喀什地区,2.073,242,91,46,98,194,91,轻度污染,315.2333,16,2017-11
36,196,喀什地区,3.145,409,67,46,46,210,117,中度污染,298.3226,16,2017-12
37,205,喀什地区,2.571,430,0,40,74,314,122,重度污染,307.5484,11,2018-01
38,124,喀什地区,2.029,246,0,27,95,203,78,轻度污染,242.9643,10,2018-02
39,43,喀什地区,1.232,155,0,23,114,67,20,优,116.8065,8,2018-03
40,32,喀什地区,0.71,149,0,23,113,43,13,优,93.8000,8,2018-04
41,51,喀什地区,0.558,218,0,19,132,45,13,良,143.6129,7,2018-05
42,156,喀什地区,0.533,500,80,22,150,65,18,中度污染,267.3000,8,2018-06
43,135,喀什地区,0.555,500,85,24,156,54,18,轻度污染,316.3548,10,2018-07
44,102,喀什地区,0.587,154,61,24,134,106,33,轻度污染,313.5484,10,2018-08
45,111,喀什地区,0.593,334,59,28,103,125,44,轻度污染,308.1333,6,2018-09
46,122,喀什地区,0.916,194,97,46,90,194,68,轻度污染,331.3871,8,2018-10
47,126,喀什地区,1.633,315,54,42,65,193,78,轻度污染,302.1667,8,2018-11
48,223,喀什地区,2.194,500,120,46,67,340,114,重度污染,347.5806,11,2018-12
49,191,喀什地区,2.8,199,185,46,54,333,131,中度污染,318.2500,11,2019-01
