index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,181,嘉兴,1.877,412,35,87,56,197,144,中度污染,71.7000,68,2013-12
1,122,嘉兴,1.629,252,43,64,71,128,92,轻度污染,81.8387,39,2014-01
2,79,嘉兴,1.061,258,32,39,83,70,57,良,70.5357,22,2014-02
3,83,嘉兴,1.045,145,45,50,112,86,59,良,77.2903,32,2014-03
4,74,嘉兴,0.68,137,36,43,109,69,48,良,68.9000,22,2014-04
5,104,嘉兴,0.797,204,43,43,151,108,64,轻度污染,112.7742,24,2014-05
6,96,嘉兴,0.703,203,42,32,151,67,46,良,113.3667,16,2014-06
7,91,嘉兴,0.706,179,40,28,143,65,44,良,111.3548,13,2014-07
8,85,嘉兴,0.729,127,41,32,130,58,43,良,121.6129,17,2014-08
9,82,嘉兴,0.79,164,25,25,133,54,37,良,123.5667,17,2014-09
10,87,嘉兴,0.716,169,43,41,132,74,48,良,100.0968,25,2014-10
11,87,嘉兴,0.903,196,43,55,78,89,64,良,89.0333,32,2014-11
12,99,嘉兴,1.0,155,56,71,50,113,73,良,115.7742,51,2014-12
13,116,嘉兴,1.032,213,39,66,56,123,87,轻度污染,207.3226,42,2015-01
14,85,嘉兴,0.843,184,31,45,82,88,62,良,162.0714,21,2015-02
15,76,嘉兴,0.755,156,42,48,102,73,50,良,174.7742,21,2015-03
16,96,嘉兴,0.853,169,45,48,140,81,51,良,254.5333,24,2015-04
17,90,嘉兴,0.626,147,50,35,141,66,43,良,244.1613,15,2015-05
18,77,嘉兴,0.637,145,41,31,125,59,39,良,222.0667,10,2015-06
19,75,嘉兴,0.555,145,20,23,125,51,34,良,199.1613,13,2015-07
20,90,嘉兴,0.632,191,30,23,142,59,40,良,233.9355,14,2015-08
21,98,嘉兴,0.58,164,36,33,155,57,39,良,279.1000,17,2015-09
22,90,嘉兴,0.703,157,53,46,138,77,48,良,249.4516,20,2015-10
23,81,嘉兴,0.903,134,39,56,59,73,55,良,219.7000,20,2015-11
24,116,嘉兴,1.058,255,55,64,53,114,85,轻度污染,225.8387,32,2015-12
25,99,嘉兴,1.003,199,48,54,58,97,71,良,206.1613,24,2016-01
26,83,嘉兴,0.855,172,43,35,93,87,59,良,201.1379,19,2016-02
27,81,嘉兴,0.755,143,38,43,108,87,56,良,171.3871,19,2016-03
28,82,嘉兴,0.88,155,43,36,131,65,41,良,208.3667,14,2016-04
29,88,嘉兴,0.813,142,45,31,136,70,44,良,237.8387,12,2016-05
30,80,嘉兴,0.71,178,38,29,130,54,34,良,223.4000,10,2016-06
31,93,嘉兴,0.716,189,29,20,146,56,34,良,261.4194,7,2016-07
32,80,嘉兴,0.574,153,29,19,131,43,24,良,225.1935,10,2016-08
33,75,嘉兴,0.63,148,23,24,121,52,33,良,197.7333,11,2016-09
34,53,嘉兴,0.794,75,27,35,69,53,30,良,159.4839,12,2016-10
35,76,嘉兴,0.973,145,35,56,64,80,47,良,180.7000,16,2016-11
36,89,嘉兴,1.087,148,47,65,59,97,59,良,162.1935,18,2016-12
37,72,嘉兴,1.01,130,38,43,65,71,47,良,130.1290,11,2017-01
38,78,嘉兴,0.971,129,36,41,98,78,55,良,143.2143,13,2017-02
39,74,嘉兴,0.832,148,43,42,113,76,49,良,157.8710,14,2017-03
40,102,嘉兴,0.85,182,56,40,155,79,46,轻度污染,168.7000,11,2017-04
41,102,嘉兴,0.9,196,36,31,157,67,36,轻度污染,140.0968,9,2017-05
42,78,嘉兴,0.93,186,36,25,128,47,30,良,150.9667,6,2017-06
43,103,嘉兴,0.668,202,32,24,161,54,31,轻度污染,183.8065,8,2017-07
44,86,嘉兴,0.884,170,34,22,141,47,27,良,156.0323,7,2017-08
45,74,嘉兴,0.947,172,33,30,120,48,28,良,150.3000,8,2017-09
46,60,嘉兴,0.858,139,36,33,97,50,28,良,139.8065,11,2017-10
47,74,嘉兴,1.033,122,36,54,73,77,47,良,136.8000,14,2017-11
48,111,嘉兴,1.206,286,52,64,36,108,74,轻度污染,176.5806,17,2017-12
49,99,嘉兴,1.055,267,34,51,57,92,71,良,174.8710,14,2018-01
50,85,嘉兴,0.986,207,45,36,90,84,59,良,185.5000,12,2018-02
51,75,嘉兴,0.916,132,39,41,111,70,47,良,182.1290,10,2018-03
52,100,嘉兴,0.993,202,46,39,148,89,45,轻度污染,243.0000,12,2018-04
53,92,嘉兴,1.113,150,34,26,143,64,38,良,229.3871,10,2018-05
54,90,嘉兴,0.857,160,34,22,146,45,29,良,72.5000,10,2018-06
55,71,嘉兴,0.777,179,23,18,119,39,23,良,164.5161,5,2018-07
56,73,嘉兴,0.832,180,26,18,122,32,20,良,107.7419,4,2018-08
57,69,嘉兴,0.793,152,28,29,113,41,25,良,153.9667,5,2018-09
58,65,嘉兴,0.723,112,42,38,107,54,29,良,145.0323,7,2018-10
59,59,嘉兴,0.843,105,33,46,66,59,35,良,143.9000,6,2018-11
60,73,嘉兴,0.9,130,27,50,39,76,45,良,181.5806,8,2018-12
61,85,嘉兴,0.975,104,63,50,30,91,60,良,177.2500,7,2019-01
