index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,63,嘉峪关,0.9,63,63,38,84,76,33,良,4.0000,34,2013-12
1,77,嘉峪关,1.052,155,50,37,66,105,34,良,42.0645,50,2014-01
2,94,嘉峪关,1.089,156,56,31,81,138,35,良,99.5357,43,2014-02
3,124,嘉峪关,0.984,497,72,34,114,182,46,轻度污染,123.9677,43,2014-03
4,127,嘉峪关,0.829,416,73,31,153,149,46,轻度污染,143.3571,29,2014-04
5,116,嘉峪关,0.762,279,88,26,166,120,30,轻度污染,135.8621,27,2014-05
6,84,嘉峪关,0.997,144,61,23,129,91,29,良,107.8276,33,2014-06
7,79,嘉峪关,0.835,119,39,25,129,74,22,良,104.9355,20,2014-07
8,72,嘉峪关,0.69,138,50,26,117,74,25,良,101.8065,20,2014-08
9,89,嘉峪关,0.786,184,47,28,87,127,35,良,129.0690,23,2014-09
10,77,嘉峪关,0.571,137,56,31,72,104,29,良,76.5806,25,2014-10
11,76,嘉峪关,0.627,151,42,34,62,103,30,良,77.7333,29,2014-11
12,84,嘉峪关,0.735,254,38,29,69,116,35,良,81.2581,34,2014-12
13,85,嘉峪关,0.816,136,51,39,69,121,33,良,150.1290,41,2015-01
14,71,嘉峪关,0.889,164,44,27,85,91,33,良,136.8571,31,2015-02
15,104,嘉峪关,0.74,189,63,26,102,158,39,轻度污染,261.6000,32,2015-03
16,113,嘉峪关,0.683,442,63,21,121,147,33,轻度污染,260.7586,20,2015-04
17,92,嘉峪关,0.626,190,57,23,134,104,31,良,250.6774,20,2015-05
18,91,嘉峪关,0.603,159,62,19,141,81,26,良,275.7333,17,2015-06
19,92,嘉峪关,0.8,464,57,21,130,72,32,良,249.6774,21,2015-07
20,91,嘉峪关,0.632,278,60,24,131,86,24,良,266.0645,18,2015-08
21,83,嘉峪关,0.523,500,48,27,110,91,18,良,211.9333,20,2015-09
22,73,嘉峪关,0.584,143,43,34,96,95,26,良,177.1935,24,2015-10
23,73,嘉峪关,0.977,213,45,34,75,94,31,良,189.9667,31,2015-11
24,56,嘉峪关,0.9,78,34,30,69,61,24,良,89.0000,29,2015-12
25,74,嘉峪关,0.79,128,32,27,66,96,34,良,153.0968,26,2016-01
26,88,嘉峪关,0.638,338,39,27,78,121,32,良,188.8276,28,2016-02
27,109,嘉峪关,0.655,228,61,30,106,160,50,轻度污染,236.0000,24,2016-03
28,74,嘉峪关,0.593,240,55,22,115,77,21,良,177.8000,25,2016-04
29,75,嘉峪关,0.535,156,47,20,115,82,27,良,191.0323,23,2016-05
30,94,嘉峪关,0.527,416,48,19,118,101,38,良,227.0667,14,2016-06
31,89,嘉峪关,0.561,397,45,20,128,78,27,良,253.4839,12,2016-07
32,94,嘉峪关,0.665,500,39,24,105,101,51,良,205.0323,13,2016-08
33,78,嘉峪关,0.51,95,55,24,131,64,18,良,240.8333,15,2016-09
34,86,嘉峪关,0.619,500,54,29,106,105,25,良,263.8387,23,2016-10
35,99,嘉峪关,0.72,420,57,30,90,138,35,良,210.1667,26,2016-11
36,67,嘉峪关,0.819,100,40,34,78,83,26,良,102.5806,20,2016-12
37,80,嘉峪关,0.755,500,42,27,80,78,22,良,122.1935,21,2017-01
38,96,嘉峪关,0.761,500,50,25,89,63,17,良,151.7500,23,2017-02
39,95,嘉峪关,0.716,485,52,24,112,77,21,良,141.6452,22,2017-03
40,78,嘉峪关,0.62,176,41,22,122,66,16,良,109.4000,19,2017-04
41,110,嘉峪关,0.535,500,55,19,132,68,12,轻度污染,164.6452,14,2017-05
42,117,嘉峪关,0.56,500,65,22,140,64,15,轻度污染,199.5667,12,2017-06
43,101,嘉峪关,0.626,500,54,23,144,54,14,轻度污染,169.6774,13,2017-07
44,77,嘉峪关,0.677,107,52,23,129,56,14,良,182.2581,16,2017-08
45,71,嘉峪关,0.72,149,52,29,112,64,15,良,185.7000,18,2017-09
46,64,嘉峪关,0.726,84,39,30,89,78,19,良,195.0000,17,2017-10
47,59,嘉峪关,0.667,107,40,27,76,71,20,良,103.1333,17,2017-11
48,119,嘉峪关,0.771,1210,20,31,41,66,21,轻度污染,99.0968,17,2017-12
49,73,嘉峪关,0.803,125,0,26,69,99,28,良,161.2581,16,2018-01
50,57,嘉峪关,0.689,98,0,23,95,58,21,良,103.8214,14,2018-02
51,53,嘉峪关,0.581,141,0,26,103,67,17,良,120.7742,16,2018-03
52,68,嘉峪关,0.603,130,0,24,114,81,20,良,160.2333,17,2018-04
53,50,嘉峪关,0.597,101,0,23,127,45,13,良,141.6774,18,2018-05
54,79,嘉峪关,0.653,110,59,25,129,63,18,良,181.7667,15,2018-06
55,87,嘉峪关,0.571,129,52,23,139,63,15,良,289.4516,10,2018-07
56,73,嘉峪关,0.623,155,42,24,119,51,13,良,216.5484,10,2018-08
57,60,嘉峪关,0.62,117,43,25,97,59,15,良,215.5667,12,2018-09
58,93,嘉峪关,0.629,500,38,30,89,130,37,良,166.6774,11,2018-10
59,85,嘉峪关,0.613,500,40,28,68,106,27,良,195.5333,14,2018-11
60,89,嘉峪关,0.742,420,35,28,68,115,35,良,189.7097,11,2018-12
61,86,嘉峪关,1.175,97,76,46,68,110,63,良,195.2500,18,2019-01
