index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,123,固原,1.4,123,123,51,47,196,82,轻度污染,299.0000,73,2014-12
1,78,固原,1.223,144,54,29,49,94,51,良,132.1935,31,2015-01
2,94,固原,1.186,206,48,19,53,108,59,良,197.8929,21,2015-02
3,84,固原,1.068,155,35,22,60,108,53,良,210.1290,18,2015-03
4,98,固原,0.653,445,43,21,73,129,50,良,186.6333,9,2015-04
5,72,固原,0.584,143,38,21,83,94,36,良,170.6452,8,2015-05
6,67,固原,0.543,140,34,17,89,82,28,良,192.6333,6,2015-06
7,78,固原,0.51,137,52,19,127,71,28,良,237.9677,7,2015-07
8,71,固原,0.584,144,47,23,117,67,25,良,208.9677,8,2015-08
9,55,固原,0.457,94,29,19,90,55,21,良,142.5667,5,2015-09
10,71,固原,0.719,168,21,29,70,92,35,良,170.0968,10,2015-10
11,64,固原,1.03,91,25,27,46,76,37,良,171.2667,15,2015-11
12,66,固原,1.123,150,33,35,53,73,37,良,119.8065,21,2015-12
13,76,固原,1.106,125,34,32,50,94,47,良,162.5161,26,2016-01
14,119,固原,0.883,406,43,22,58,168,47,轻度污染,234.5862,15,2016-02
15,93,固原,0.839,191,35,26,69,134,43,良,196.3226,13,2016-03
16,76,固原,0.58,153,52,25,67,101,28,良,200.3000,10,2016-04
17,76,固原,0.587,166,23,20,69,94,28,良,184.1935,7,2016-05
18,78,固原,0.49,121,58,25,130,64,20,良,235.4667,6,2016-06
19,76,固原,0.481,100,47,24,130,53,19,良,240.5806,5,2016-07
20,61,固原,0.694,102,39,19,109,48,24,良,180.2903,6,2016-08
21,57,固原,0.633,72,44,29,101,51,21,良,141.4333,6,2016-09
22,61,固原,0.732,149,29,24,76,70,30,良,170.2258,6,2016-10
23,102,固原,1.4,500,52,36,65,147,49,轻度污染,226.6333,18,2016-11
24,83,固原,1.435,202,57,36,55,101,51,良,151.8065,18,2016-12
25,87,固原,1.223,500,34,29,49,82,39,良,148.9032,17,2017-01
26,79,固原,1.221,151,44,29,71,56,35,良,187.3214,14,2017-02
27,72,固原,1.045,149,44,28,95,44,25,良,179.3548,9,2017-03
28,77,固原,0.83,183,42,30,114,69,22,良,185.2000,8,2017-04
29,109,固原,1.081,491,65,29,132,71,25,轻度污染,207.6129,9,2017-05
30,85,固原,0.763,123,57,25,142,67,23,良,205.2667,8,2017-06
31,81,固原,0.613,112,56,22,137,75,27,良,240.0645,7,2017-07
32,61,固原,0.755,91,29,24,108,53,22,良,201.4194,6,2017-08
33,64,固原,0.81,91,49,31,90,78,31,良,216.7333,6,2017-09
34,54,固原,0.881,90,23,27,64,51,21,良,138.6774,7,2017-10
35,76,固原,1.053,107,59,40,73,97,38,良,198.2333,15,2017-11
36,106,固原,1.297,646,42,37,50,61,32,轻度污染,157.6129,16,2017-12
37,71,固原,0.99,158,0,30,84,79,43,良,156.6774,13,2018-01
38,64,固原,0.875,96,0,24,99,78,35,良,143.2857,12,2018-02
39,45,固原,0.777,100,0,30,119,51,22,优,118.4194,9,2018-03
40,59,固原,0.65,111,0,28,116,76,27,良,161.4333,7,2018-04
41,58,固原,0.6,106,0,22,132,56,19,良,158.1290,6,2018-05
42,86,固原,0.713,122,59,22,139,58,22,良,209.4667,6,2018-06
43,66,固原,0.719,183,46,16,110,47,20,良,205.4839,6,2018-07
44,61,固原,0.855,82,43,19,108,55,21,良,187.6452,7,2018-08
45,51,固原,0.76,73,23,24,88,47,16,良,174.0667,5,2018-09
46,61,固原,0.797,125,36,32,83,71,25,良,176.7419,8,2018-10
47,86,固原,0.95,500,36,31,73,113,36,良,215.6667,9,2018-11
48,93,固原,0.981,500,30,28,65,119,37,良,192.4194,12,2018-12
49,86,固原,1.65,94,69,41,67,96,63,良,202.2500,17,2019-01
