index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,45,大兴安岭地区,0.7,45,45,25,51,45,15,优,27.0000,38,2014-12
1,55,大兴安岭地区,0.784,152,25,27,48,60,30,良,56.0000,45,2015-01
2,53,大兴安岭地区,0.825,84,31,17,62,56,29,良,74.9643,52,2015-02
3,48,大兴安岭地区,0.613,100,34,13,83,46,24,优,65.3871,41,2015-03
4,55,大兴安岭地区,0.5,194,35,15,92,52,21,良,73.1667,29,2015-04
5,42,大兴安岭地区,0.545,83,24,20,82,31,10,优,47.4839,25,2015-05
6,41,大兴安岭地区,0.773,56,28,11,66,41,14,优,73.3667,14,2015-06
7,55,大兴安岭地区,0.61,128,27,12,70,57,22,良,123.1667,15,2015-07
8,47,大兴安岭地区,0.71,69,32,13,59,48,13,优,92.5806,15,2015-08
9,42,大兴安岭地区,0.837,65,26,12,43,42,13,优,69.2667,18,2015-09
10,58,大兴安岭地区,0.887,225,25,22,47,62,30,良,101.5484,23,2015-10
11,93,大兴安岭地区,1.207,239,32,21,39,89,61,良,214.1000,27,2015-11
12,56,大兴安岭地区,1.032,139,27,16,33,63,28,良,90.0000,35,2015-12
13,44,大兴安岭地区,0.568,72,24,13,43,47,21,优,53.2903,28,2016-01
14,51,大兴安岭地区,0.755,147,28,17,54,50,32,良,63.6207,32,2016-02
15,49,大兴安岭地区,0.61,159,32,13,70,43,28,优,46.4839,24,2016-03
16,40,大兴安岭地区,0.813,52,33,11,74,30,15,优,20.4667,21,2016-04
17,52,大兴安岭地区,1.116,114,35,11,82,48,26,良,82.3226,20,2016-05
18,42,大兴安岭地区,1.223,65,32,17,70,28,10,优,72.0333,29,2016-06
19,52,大兴安岭地区,1.674,104,35,18,84,43,13,良,132.7742,25,2016-07
20,51,大兴安岭地区,1.4,127,29,17,56,46,9,良,126.1290,24,2016-08
21,44,大兴安岭地区,1.303,103,28,20,59,40,18,优,77.8333,25,2016-09
22,38,大兴安岭地区,1.026,55,30,24,69,33,16,优,59.2581,31,2016-10
23,48,大兴安岭地区,0.807,70,31,28,49,46,27,优,71.4667,36,2016-11
24,53,大兴安岭地区,0.855,79,30,29,47,50,34,良,61.9355,39,2016-12
25,51,大兴安岭地区,0.987,115,26,23,54,48,33,良,62.6129,31,2017-01
26,42,大兴安岭地区,0.882,62,34,18,74,38,22,优,65.4643,24,2017-02
27,39,大兴安岭地区,0.726,48,31,17,77,30,15,优,51.4516,29,2017-03
28,39,大兴安岭地区,0.92,47,29,17,76,26,11,优,40.3333,32,2017-04
29,45,大兴安岭地区,0.658,228,26,13,78,21,8,优,35.2903,32,2017-05
30,36,大兴安岭地区,0.71,47,26,13,70,23,12,优,79.7333,23,2017-06
31,35,大兴安岭地区,0.606,88,21,13,68,22,13,优,74.3871,18,2017-07
32,36,大兴安岭地区,0.677,147,18,14,60,23,14,优,70.4839,21,2017-08
33,32,大兴安岭地区,0.723,49,20,14,64,23,10,优,62.6000,18,2017-09
34,49,大兴安岭地区,0.726,277,30,23,66,41,26,优,104.3871,31,2017-10
35,42,大兴安岭地区,0.74,55,27,25,49,39,23,优,70.1333,29,2017-11
36,47,大兴安岭地区,0.703,79,20,28,33,48,34,优,81.9355,33,2017-12
37,54,大兴安岭地区,0.758,134,0,25,64,52,33,良,89.1613,30,2018-01
38,56,大兴安岭地区,0.668,93,37,30,74,55,37,良,92.2500,29,2018-02
39,51,大兴安岭地区,0.523,104,0,23,90,43,23,良,74.7097,20,2018-03
40,60,大兴安岭地区,0.46,112,48,16,109,35,15,良,112.8000,14,2018-04
41,55,大兴安岭地区,0.39,80,35,14,104,28,13,良,107.0645,11,2018-05
42,40,大兴安岭地区,0.527,83,23,12,77,22,10,优,50.6667,14,2018-06
43,36,大兴安岭地区,0.516,79,18,6,69,18,10,优,66.3871,4,2018-07
44,30,大兴安岭地区,0.4,39,19,7,59,18,11,优,52.2581,4,2018-08
45,37,大兴安岭地区,0.36,84,17,10,71,20,13,优,76.6333,5,2018-09
46,39,大兴安岭地区,0.458,75,23,12,62,34,16,优,57.5484,15,2018-10
47,39,大兴安岭地区,0.48,59,26,14,52,38,18,优,61.8000,21,2018-11
48,42,大兴安岭地区,0.442,77,25,15,51,43,23,优,68.4839,26,2018-12
49,42,大兴安岭地区,0.55,55,35,17,54,44,25,优,104.5000,27,2019-01
