index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,98,大同,1.803,279,34,54,20,110,68,良,33.2333,111,2013-12
1,94,大同,2.997,280,32,55,36,109,67,良,57.1613,94,2014-01
2,106,大同,2.804,253,28,43,52,117,77,轻度污染,95.8571,73,2014-02
3,73,大同,2.523,129,31,39,73,97,31,良,57.1613,59,2014-03
4,79,大同,2.2,197,50,37,97,107,38,良,76.1000,37,2014-04
5,102,大同,1.148,252,44,26,104,148,45,轻度污染,105.2903,26,2014-05
6,61,大同,1.123,86,44,23,106,61,29,良,60.2333,21,2014-06
7,72,大同,1.113,135,30,26,111,73,40,良,86.3226,24,2014-07
8,63,大同,1.29,114,40,27,107,66,33,良,80.2258,24,2014-08
9,60,大同,1.267,108,31,26,83,64,34,良,80.3333,20,2014-09
10,63,大同,1.316,97,28,24,69,74,32,良,46.0000,16,2014-10
11,64,大同,1.74,102,31,22,49,81,34,良,53.6333,50,2014-11
12,91,大同,2.419,199,48,24,43,123,53,良,90.3871,76,2014-12
13,89,大同,2.639,173,46,35,47,118,60,良,154.8710,76,2015-01
14,87,大同,1.629,175,43,27,48,116,51,良,175.4286,55,2015-02
15,86,大同,1.416,149,37,24,80,121,41,良,203.6774,41,2015-03
16,77,大同,1.08,164,49,22,110,100,29,良,186.9333,33,2015-04
17,93,大同,0.794,201,57,19,141,99,33,良,239.1290,25,2015-05
18,82,大同,0.733,124,44,17,135,68,30,良,244.7667,20,2015-06
19,87,大同,0.839,145,53,20,143,72,38,良,254.5161,23,2015-07
20,61,大同,0.748,150,41,20,104,62,24,良,164.6129,20,2015-08
21,52,大同,1.057,94,28,25,79,55,27,良,121.9667,23,2015-09
22,62,大同,1.303,123,32,30,69,71,32,良,133.8065,41,2015-10
23,73,大同,2.207,129,40,39,48,77,49,良,190.6000,68,2015-11
24,94,大同,2.065,179,31,43,44,101,65,良,183.6452,80,2015-12
25,64,大同,2.016,107,36,29,53,63,39,良,125.0968,67,2016-01
26,70,大同,2.145,140,45,26,66,70,40,良,151.4828,71,2016-02
27,77,大同,1.926,151,43,31,88,100,39,良,140.3226,50,2016-03
28,70,大同,0.907,111,45,25,109,86,24,良,168.4333,27,2016-04
29,81,大同,1.103,138,52,25,128,93,34,良,201.2581,24,2016-05
30,70,大同,1.307,107,48,22,121,65,30,良,200.9667,24,2016-06
31,78,大同,1.181,108,41,22,132,56,30,良,251.1290,20,2016-07
32,59,大同,1.235,89,30,21,102,50,23,良,169.8065,18,2016-08
33,57,大同,1.553,82,38,29,83,63,26,良,137.5667,28,2016-09
34,58,大同,1.413,86,33,31,74,66,31,良,182.6129,28,2016-10
35,88,大同,1.757,173,38,38,59,109,53,良,215.4333,83,2016-11
36,105,大同,2.503,210,40,43,47,119,73,轻度污染,188.6129,130,2016-12
37,99,大同,2.103,496,38,40,62,72,47,良,174.0323,101,2017-01
38,77,大同,1.364,200,43,34,76,62,41,良,140.3571,82,2017-02
39,69,大同,1.306,137,40,32,97,72,41,良,144.4516,59,2017-03
40,71,大同,1.12,120,48,28,112,81,28,良,159.2000,31,2017-04
41,110,大同,1.139,500,57,25,137,89,25,轻度污染,209.1613,20,2017-05
42,90,大同,1.523,130,52,27,146,68,25,良,200.0333,23,2017-06
43,94,大同,1.471,165,36,29,149,57,31,良,198.6774,25,2017-07
44,72,大同,1.529,102,39,28,126,48,26,良,192.5806,23,2017-08
45,70,大同,1.753,106,38,35,108,75,35,良,228.6333,36,2017-09
46,63,大同,1.877,114,22,36,66,69,41,良,209.8065,30,2017-10
47,69,大同,1.89,119,35,33,54,83,39,良,140.3333,47,2017-11
48,76,大同,2.116,192,33,33,25,73,42,良,120.3226,61,2017-12
49,63,大同,1.916,125,33,31,53,72,38,良,112.9677,48,2018-01
50,62,大同,1.714,125,0,24,81,70,33,良,112.1429,43,2018-02
51,79,大同,1.723,162,0,32,96,100,48,良,199.8710,35,2018-03
52,58,大同,1.28,112,0,25,109,71,24,良,135.3000,24,2018-04
53,76,大同,1.277,126,0,25,138,79,33,良,196.0323,22,2018-05
54,98,大同,1.357,180,59,24,151,73,29,良,222.3667,22,2018-06
55,83,大同,1.168,140,34,20,138,43,31,良,215.3226,16,2018-07
56,72,大同,1.29,115,45,22,126,56,27,良,213.9355,15,2018-08
57,50,大同,1.147,82,31,25,79,58,20,良,181.3667,18,2018-09
58,63,大同,1.803,96,32,33,76,76,29,良,200.5161,25,2018-10
59,81,大同,2.09,248,25,40,53,109,46,良,231.2333,44,2018-11
60,79,大同,1.829,148,32,35,42,109,43,良,214.1290,50,2018-12
61,90,大同,2.5,144,38,42,38,111,64,良,196.7500,65,2019-01
