index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,101,大庆,0.972,303,37,35,46,90,76,轻度污染,57.6207,34,2014-01
1,97,大庆,0.846,282,30,30,62,89,73,良,91.3929,28,2014-02
2,64,大庆,0.639,153,35,25,83,65,45,良,38.3226,19,2014-03
3,65,大庆,0.423,170,44,20,101,77,34,良,46.9667,16,2014-04
4,46,大庆,0.352,97,29,16,83,40,22,优,22.6452,9,2014-05
5,50,大庆,0.38,104,33,18,92,46,24,良,41.4667,10,2014-06
6,75,大庆,0.571,237,21,18,92,71,53,良,76.4839,11,2014-07
7,45,大庆,0.452,61,32,17,89,33,19,优,38.7097,11,2014-08
8,41,大庆,0.35,60,24,18,77,35,19,优,28.3333,11,2014-09
9,76,大庆,0.681,233,29,28,75,76,53,良,55.7419,16,2014-10
10,66,大庆,0.787,202,26,27,54,65,45,良,51.4000,22,2014-11
11,78,大庆,0.816,172,27,26,45,71,56,良,65.1613,28,2014-12
12,92,大庆,0.806,207,30,33,53,84,68,良,151.8065,34,2015-01
13,77,大庆,0.754,322,32,28,71,75,51,良,128.1429,25,2015-02
14,62,大庆,0.661,116,37,24,91,63,41,良,123.0645,19,2015-03
15,67,大庆,0.587,162,38,21,87,78,41,良,135.8667,12,2015-04
16,49,大庆,0.532,92,29,20,80,45,31,优,76.6774,9,2015-05
17,57,大庆,0.553,127,32,19,90,48,38,良,135.1667,12,2015-06
18,61,大庆,0.603,96,36,19,107,48,34,良,159.2581,10,2015-07
19,50,大庆,0.497,77,31,17,93,41,28,良,120.5484,10,2015-08
20,48,大庆,0.437,86,27,23,88,41,23,优,102.3333,10,2015-09
21,62,大庆,0.513,205,29,24,84,62,37,良,106.7097,12,2015-10
22,116,大庆,0.797,350,32,32,64,108,90,轻度污染,203.6667,22,2015-11
23,76,大庆,1.0,180,30,43,50,66,52,良,130.8710,39,2015-12
24,67,大庆,0.739,149,37,34,54,61,48,良,112.6774,30,2016-01
25,62,大庆,0.7,130,34,28,77,58,44,良,107.9310,22,2016-02
26,77,大庆,0.561,285,38,25,99,83,46,良,129.1613,16,2016-03
27,74,大庆,0.553,168,45,21,113,72,32,良,173.5667,13,2016-04
28,88,大庆,0.529,190,47,25,142,67,30,良,230.7419,11,2016-05
29,64,大庆,0.543,117,34,26,115,35,21,良,175.5000,9,2016-06
30,68,大庆,0.635,110,43,29,117,41,25,良,207.9677,10,2016-07
31,52,大庆,0.619,89,23,25,95,36,17,良,132.9355,10,2016-08
32,43,大庆,0.717,79,22,25,73,36,21,优,68.4333,11,2016-09
33,49,大庆,0.79,129,28,29,64,48,29,优,126.8065,13,2016-10
34,93,大庆,1.14,500,39,36,52,101,78,良,171.5000,20,2016-11
35,79,大庆,1.039,198,31,35,45,79,57,良,125.2258,25,2016-12
36,102,大庆,1.358,250,30,42,53,99,76,轻度污染,147.9032,23,2017-01
37,54,大庆,0.868,178,28,26,66,53,37,良,85.7857,14,2017-02
38,58,大庆,0.8,122,31,28,89,56,39,良,132.3548,14,2017-03
39,69,大庆,0.673,146,45,23,109,71,33,良,130.7667,11,2017-04
40,100,大庆,0.552,500,37,20,114,44,16,良,124.9677,6,2017-05
41,66,大庆,0.527,131,31,18,117,34,18,良,78.6000,7,2017-06
42,63,大庆,0.587,120,36,18,114,31,20,良,101.6452,7,2017-07
43,46,大庆,0.635,71,25,14,87,27,19,优,97.2581,6,2017-08
44,40,大庆,0.593,68,27,19,77,30,17,优,90.6000,7,2017-09
45,60,大庆,0.665,204,30,32,75,56,37,良,134.3548,10,2017-10
46,67,大庆,0.71,261,25,33,53,65,46,良,111.4000,22,2017-11
47,62,大庆,0.939,109,22,36,27,54,44,良,91.3548,24,2017-12
48,69,大庆,0.881,207,29,34,57,59,50,良,106.1935,23,2018-01
49,55,大庆,0.718,109,39,28,76,52,36,良,79.5714,20,2018-02
50,74,大庆,0.69,300,41,28,103,50,37,良,134.0323,18,2018-03
51,54,大庆,0.597,107,0,26,108,49,27,良,112.8333,11,2018-04
52,67,大庆,0.474,121,32,18,118,48,24,良,154.7419,10,2018-05
53,67,大庆,0.52,125,30,17,118,32,18,良,141.8000,8,2018-06
54,58,大庆,0.603,125,27,11,104,32,23,良,157.9355,7,2018-07
55,40,大庆,0.565,85,19,14,77,21,12,优,56.9032,6,2018-08
56,38,大庆,0.503,95,20,17,75,26,12,优,100.5333,6,2018-09
57,40,大庆,0.561,107,19,20,61,40,18,优,79.4194,8,2018-10
58,46,大庆,0.58,98,24,27,49,49,27,优,86.0333,15,2018-11
59,49,大庆,0.581,124,27,28,48,50,31,优,86.0323,16,2018-12
60,47,大庆,0.5,62,38,30,49,47,30,优,93.0000,16,2019-01
