index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,58,大理州,0.7,58,58,30,72,48,41,良,80.0000,19,2014-12
1,51,大理州,0.647,71,40,18,79,16,36,良,56.3667,13,2015-01
2,58,大理州,0.525,79,44,19,93,17,41,良,95.9286,5,2015-02
3,71,大理州,0.489,159,47,22,115,23,49,良,159.0000,6,2015-03
4,57,大理州,0.693,79,43,21,93,28,36,良,95.9643,5,2015-04
5,77,大理州,0.306,93,59,20,115,15,53,良,208.1613,8,2015-05
6,55,大理州,0.403,87,29,14,73,12,34,良,137.6000,6,2015-06
7,38,大理州,0.397,67,22,12,73,21,14,优,51.8065,7,2015-07
8,27,大理州,0.432,45,17,12,50,20,14,优,16.9677,7,2015-08
9,24,大理州,0.303,30,18,10,45,20,12,优,5.0667,5,2015-09
10,35,大理州,0.626,46,29,14,66,26,14,优,23.2903,9,2015-10
11,33,大理州,0.637,40,23,11,65,27,13,优,26.1667,9,2015-11
12,37,大理州,0.552,49,26,12,61,32,22,优,28.6452,10,2015-12
13,37,大理州,0.487,57,24,12,66,33,21,优,29.7097,11,2016-01
14,50,大理州,0.41,88,31,11,69,42,34,优,63.7931,8,2016-02
15,49,大理州,0.335,109,36,13,90,44,30,优,51.9677,8,2016-03
16,45,大理州,0.53,62,35,15,87,39,23,优,44.8333,9,2016-04
17,44,大理州,0.581,63,26,16,85,36,23,优,49.8710,7,2016-05
18,29,大理州,0.51,46,0,14,51,23,18,优,19.7000,5,2016-06
19,24,大理州,0.532,54,15,13,32,20,15,优,15.0968,5,2016-07
20,35,大理州,0.629,49,22,21,58,31,22,优,44.4839,7,2016-08
21,30,大理州,0.567,52,19,15,50,25,17,优,24.7333,6,2016-09
22,31,大理州,0.642,43,18,15,59,25,14,优,33.5161,7,2016-10
23,34,大理州,0.65,47,18,13,64,25,15,优,29.7333,8,2016-11
24,37,大理州,0.887,54,25,18,65,34,19,优,14.0968,13,2016-12
25,48,大理州,0.913,71,28,16,93,26,23,优,60.6129,10,2017-01
26,59,大理州,0.868,80,42,15,109,34,33,良,93.2143,9,2017-02
27,63,大理州,0.977,87,38,17,114,37,37,良,118.2581,9,2017-03
28,65,大理州,0.943,112,42,18,114,40,36,良,141.1667,8,2017-04
29,60,大理州,0.968,77,44,18,109,41,31,良,129.0645,8,2017-05
30,46,大理州,0.723,85,25,15,88,28,16,优,79.6667,6,2017-06
31,40,大理州,0.8,72,21,20,74,29,18,优,114.9355,9,2017-07
32,36,大理州,0.787,60,18,19,70,26,13,优,111.2258,7,2017-08
33,35,大理州,0.723,56,24,19,65,28,17,优,68.8000,7,2017-09
34,37,大理州,0.735,63,21,20,69,31,19,优,96.8710,7,2017-10
35,44,大理州,0.853,53,29,22,85,34,16,优,43.4667,9,2017-11
36,44,大理州,0.865,58,29,21,52,43,17,优,44.9677,6,2017-12
37,46,大理州,0.771,74,29,17,83,38,19,优,63.2581,5,2018-01
38,59,大理州,0.818,72,49,12,109,50,25,良,108.2143,6,2018-02
39,73,大理州,0.832,90,54,19,127,59,30,良,191.3871,6,2018-03
40,73,大理州,0.663,101,41,19,127,58,27,良,178.0000,6,2018-04
41,57,大理州,0.477,81,20,16,106,42,17,良,126.1613,6,2018-05
42,42,大理州,0.563,83,18,13,80,29,11,优,62.4667,3,2018-06
43,37,大理州,0.642,55,18,16,72,26,10,优,75.2903,4,2018-07
44,45,大理州,0.69,70,23,20,87,32,13,优,106.1935,5,2018-08
45,31,大理州,0.68,41,22,14,60,21,8,优,54.4667,4,2018-09
46,34,大理州,0.668,42,21,14,68,23,9,优,27.4194,4,2018-10
47,44,大理州,0.663,57,39,16,88,32,13,优,87.8000,6,2018-11
48,40,大理州,0.681,46,31,15,79,24,9,优,61.3548,5,2018-12
49,41,大理州,0.525,42,40,14,82,26,12,优,56.5000,5,2019-01
