index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,86,大连,0.893,219,33,40,35,95,59,良,25.0667,57,2013-12
1,99,大连,0.981,269,41,41,38,107,71,良,55.9677,61,2014-01
2,99,大连,0.861,200,35,40,55,101,71,良,94.8571,61,2014-02
3,96,大连,0.761,191,52,44,66,111,68,良,97.0323,43,2014-03
4,83,大连,0.777,192,45,51,81,106,56,良,85.6000,15,2014-04
5,67,大连,0.616,110,45,41,90,82,38,良,56.1290,8,2014-05
6,62,大连,0.58,166,30,31,75,67,41,良,58.7333,5,2014-06
7,70,大连,0.735,150,37,31,101,68,46,良,73.0000,7,2014-07
8,68,大连,0.894,133,38,29,109,63,42,良,85.3871,9,2014-08
9,57,大连,0.777,108,36,34,93,52,29,良,65.4000,8,2014-09
10,73,大连,0.703,173,31,35,68,82,49,良,59.8387,12,2014-10
11,97,大连,1.057,227,43,47,49,106,69,良,90.0000,51,2014-11
12,74,大连,0.91,343,32,44,36,80,48,良,45.0000,59,2014-12
13,79,大连,0.874,181,32,38,46,82,55,良,115.2903,60,2015-01
14,98,大连,0.889,435,34,32,58,109,59,良,167.3571,57,2015-02
15,84,大连,0.806,193,42,42,78,105,56,良,195.7097,44,2015-03
16,79,大连,0.637,148,42,35,113,87,46,良,194.3000,15,2015-04
17,84,大连,0.555,141,45,33,136,70,31,良,201.1613,15,2015-05
18,77,大连,0.627,105,43,25,131,59,31,良,235.5667,12,2015-06
19,73,大连,0.555,120,42,20,126,50,25,良,210.1935,8,2015-07
20,88,大连,0.765,151,39,22,144,61,36,良,256.8710,10,2015-08
21,80,大连,0.703,119,42,30,134,47,24,良,256.0667,12,2015-09
22,68,大连,0.774,121,33,34,101,68,34,良,145.2581,13,2015-10
23,123,大连,1.083,460,38,41,67,121,93,轻度污染,265.0333,43,2015-11
24,113,大连,1.216,315,35,42,56,113,82,轻度污染,190.0968,65,2015-12
25,80,大连,1.039,284,37,34,62,87,53,良,148.9355,60,2016-01
26,64,大连,0.945,158,42,29,79,65,39,良,124.2414,54,2016-02
27,77,大连,1.061,190,43,34,99,92,48,良,147.1613,38,2016-03
28,85,大连,0.937,150,44,33,118,106,46,良,217.8000,17,2016-04
29,90,大连,1.0,153,53,35,144,72,38,良,235.1290,16,2016-05
30,99,大连,0.907,182,50,23,156,49,30,良,277.3667,13,2016-06
31,74,大连,0.958,165,36,19,127,39,24,良,226.2581,9,2016-07
32,70,大连,0.945,126,32,21,123,36,19,良,220.2258,10,2016-08
33,81,大连,1.027,187,41,25,135,47,28,良,225.2333,11,2016-09
34,61,大连,0.99,132,32,32,95,57,31,良,188.0968,15,2016-10
35,73,大连,1.05,218,36,38,73,78,49,良,149.4000,32,2016-11
36,85,大连,1.145,216,32,40,66,84,59,良,120.7742,36,2016-12
37,76,大连,1.165,223,36,35,70,76,53,良,119.6774,37,2017-01
38,73,大连,0.957,172,42,30,86,72,49,良,135.8571,30,2017-02
39,74,大连,0.968,135,40,38,100,78,50,良,163.5806,27,2017-03
40,76,大连,0.88,114,49,30,122,76,40,良,140.7000,14,2017-04
41,88,大连,0.732,252,45,23,134,54,24,良,133.2903,11,2017-05
42,95,大连,0.883,206,40,23,154,49,29,良,160.3333,10,2017-06
43,86,大连,0.994,192,46,20,142,43,27,良,148.5806,9,2017-07
44,61,大连,0.848,108,32,17,110,29,16,良,99.0000,8,2017-08
45,90,大连,1.003,140,36,21,147,50,27,良,139.4000,11,2017-09
46,56,大连,0.958,95,30,28,97,48,26,良,111.3226,11,2017-10
47,53,大连,0.937,124,30,32,71,58,28,良,74.2333,17,2017-11
48,61,大连,1.068,182,34,37,34,60,33,良,67.8065,24,2017-12
49,62,大连,1.039,229,33,35,59,70,37,良,94.2903,23,2018-01
50,68,大连,0.982,168,35,31,79,70,43,良,113.6429,21,2018-02
51,67,大连,0.916,140,44,36,101,71,42,良,141.5161,15,2018-03
52,72,大连,0.773,120,46,28,119,70,29,良,160.2000,9,2018-04
53,83,大连,0.694,157,39,24,138,57,27,良,205.6452,9,2018-05
54,84,大连,0.723,179,46,20,139,43,26,良,77.6667,8,2018-06
55,53,大连,0.668,103,28,14,98,31,19,良,144.4839,6,2018-07
56,73,大连,0.797,151,29,17,124,37,19,良,132.3226,8,2018-08
57,68,大连,0.683,126,33,20,118,34,17,良,134.6333,7,2018-09
58,56,大连,0.713,109,26,25,97,45,24,良,97.7419,7,2018-10
59,74,大连,0.887,166,30,36,66,82,46,良,177.6000,14,2018-11
60,54,大连,0.758,120,30,29,57,57,31,良,106.6774,15,2018-12
61,77,大连,1.025,137,40,43,49,76,54,良,144.7500,25,2019-01
