index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,156,天津,2.7,371,31,78,26,203,120,中度污染,60.5000,129,2013-12
1,147,天津,2.526,357,26,71,27,179,113,轻度污染,98.9677,113,2014-01
2,129,天津,2.079,289,31,61,44,136,96,轻度污染,111.9286,100,2014-02
3,150,天津,1.994,252,57,71,66,173,112,轻度污染,148.4839,69,2014-03
4,121,天津,1.41,199,64,56,99,153,85,轻度污染,153.3333,35,2014-04
5,102,天津,1.348,204,44,49,116,132,70,轻度污染,111.0323,29,2014-05
6,97,天津,1.387,141,47,41,146,93,58,良,124.4667,21,2014-06
7,117,天津,1.497,177,63,39,160,114,76,轻度污染,155.0323,22,2014-07
8,87,天津,1.452,134,48,40,124,100,57,良,131.0323,20,2014-08
9,80,天津,1.29,150,37,40,84,87,56,良,120.4667,21,2014-09
10,134,天津,1.142,285,42,53,51,146,99,轻度污染,123.9032,19,2014-10
11,145,天津,1.887,422,50,68,43,156,111,轻度污染,133.3333,52,2014-11
12,144,天津,2.061,378,43,65,35,154,107,轻度污染,129.3548,76,2014-12
13,133,天津,2.252,364,36,70,33,161,100,轻度污染,222.1613,76,2015-01
14,116,天津,1.746,236,42,51,49,146,80,轻度污染,236.1071,60,2015-02
15,117,天津,1.435,274,54,52,60,166,72,轻度污染,276.1935,37,2015-03
16,92,天津,0.913,145,39,30,74,109,64,良,243.8000,15,2015-04
17,88,天津,0.977,156,40,27,130,90,51,良,220.4194,14,2015-05
18,99,天津,1.363,175,32,34,142,92,59,良,279.6667,15,2015-06
19,78,天津,0.706,122,46,18,116,88,49,良,227.3226,7,2015-07
20,78,天津,1.0,149,44,25,110,94,50,良,223.0323,11,2015-08
21,68,天津,0.87,147,27,25,81,75,44,良,184.9000,13,2015-09
22,86,天津,1.058,219,37,42,70,100,54,良,192.7742,17,2015-10
23,119,天津,2.037,345,35,57,36,133,88,轻度污染,252.3000,36,2015-11
24,162,天津,2.058,391,28,66,22,189,125,中度污染,256.9677,45,2015-12
25,106,天津,1.565,384,49,58,34,124,74,轻度污染,208.5806,37,2016-01
26,77,天津,1.317,189,30,42,53,85,50,良,157.3793,27,2016-02
27,121,天津,1.516,267,49,54,62,148,81,轻度污染,254.4516,30,2016-03
28,100,天津,0.993,273,53,43,98,128,64,轻度污染,255.0000,19,2016-04
29,90,天津,0.942,154,57,42,133,93,51,良,242.9355,17,2016-05
30,101,天津,0.997,185,51,36,151,77,54,轻度污染,285.6333,12,2016-06
31,88,天津,0.858,136,32,28,127,71,53,良,273.1935,7,2016-07
32,72,天津,0.855,135,38,31,105,65,41,良,216.1613,9,2016-08
33,88,天津,1.243,165,40,42,125,83,52,良,242.6000,15,2016-09
34,91,天津,1.426,225,40,51,65,90,64,良,263.8387,18,2016-10
35,138,天津,2.023,307,32,66,38,150,104,轻度污染,277.7667,27,2016-11
36,175,天津,2.739,340,60,84,32,177,135,中度污染,283.1935,35,2016-12
37,142,天津,2.439,330,39,67,44,127,109,轻度污染,230.1935,31,2017-01
38,118,天津,1.664,281,43,64,73,115,85,轻度污染,207.0357,28,2017-02
39,100,天津,1.352,251,43,64,100,106,70,轻度污染,211.3871,24,2017-03
40,98,天津,1.21,172,57,57,115,125,64,良,262.2000,19,2017-04
41,139,天津,0.981,500,51,40,158,91,41,轻度污染,232.0323,12,2017-05
42,115,天津,1.057,177,49,37,173,78,46,轻度污染,243.0000,10,2017-06
43,104,天津,1.148,188,44,30,156,72,52,轻度污染,255.7097,6,2017-07
44,90,天津,1.139,155,38,31,144,55,37,良,218.4194,8,2017-08
45,102,天津,1.22,158,41,39,154,90,54,轻度污染,260.8000,13,2017-09
46,90,天津,1.355,247,33,54,66,74,62,良,225.9355,12,2017-10
47,87,天津,1.21,201,40,58,46,86,53,良,153.7667,14,2017-11
48,108,天津,1.616,303,40,62,24,100,69,轻度污染,156.5161,18,2017-12
49,83,天津,1.361,188,32,56,47,82,52,良,166.4839,19,2018-01
50,88,天津,1.189,190,0,42,77,84,60,良,165.0000,17,2018-02
51,111,天津,1.203,335,0,59,94,103,77,轻度污染,255.1613,15,2018-03
52,94,天津,0.873,224,0,45,130,105,47,良,224.5000,10,2018-04
53,89,天津,0.89,164,0,41,149,82,42,良,229.6129,9,2018-05
54,135,天津,0.977,203,61,32,198,76,44,轻度污染,111.3333,7,2018-06
55,100,天津,0.968,173,37,26,154,57,42,轻度污染,281.1935,5,2018-07
56,108,天津,1.129,204,27,31,162,55,33,轻度污染,204.7742,7,2018-08
57,67,天津,0.843,116,38,37,105,54,30,良,214.9000,9,2018-09
58,80,天津,0.965,142,34,54,82,73,44,良,186.0323,12,2018-10
59,117,天津,1.36,302,47,64,46,114,82,轻度污染,293.6000,16,2018-11
60,92,天津,1.171,290,39,56,38,101,55,良,226.2258,16,2018-12
61,106,天津,1.425,173,75,70,34,98,79,轻度污染,255.7500,22,2019-01
