index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,109,娄底,1.7,109,109,31,104,125,82,轻度污染,265.0000,29,2014-12
1,119,娄底,1.719,186,23,46,59,141,90,轻度污染,225.0323,37,2015-01
2,108,娄底,2.093,182,24,32,74,135,75,轻度污染,228.3929,29,2015-02
3,81,娄底,2.348,175,30,28,74,91,59,良,197.0645,32,2015-03
4,72,娄底,2.017,113,38,28,95,82,50,良,170.0000,38,2015-04
5,100,娄底,1.555,276,44,26,102,103,71,轻度污染,242.9677,33,2015-05
6,57,娄底,0.99,97,33,17,90,60,31,良,151.6000,32,2015-06
7,57,娄底,0.877,113,35,14,81,65,34,良,140.8710,46,2015-07
8,60,娄底,1.432,93,30,12,80,66,38,良,156.3871,32,2015-08
9,67,娄底,1.35,115,35,11,98,74,46,良,198.5000,31,2015-09
10,89,娄底,1.274,142,38,22,132,96,58,良,230.7742,32,2015-10
11,54,娄底,1.167,92,26,24,65,56,34,良,109.8333,23,2015-11
12,78,娄底,1.113,149,32,26,62,89,54,良,146.7742,20,2015-12
13,86,娄底,1.184,176,35,27,62,97,62,良,183.7419,20,2016-01
14,90,娄底,1.762,331,38,23,98,101,63,良,205.6207,21,2016-02
15,82,娄底,1.335,135,38,30,94,92,59,良,181.0000,31,2016-03
16,63,娄底,1.15,100,33,22,93,59,40,良,137.6000,31,2016-04
17,62,娄底,1.3,102,40,22,101,57,37,良,131.9032,29,2016-05
18,58,娄底,1.173,82,36,14,100,54,35,良,146.6333,21,2016-06
19,53,娄底,1.235,95,28,20,93,49,30,良,147.0645,18,2016-07
20,69,娄底,1.213,141,40,17,120,57,33,良,210.9355,16,2016-08
21,88,娄底,1.15,129,36,22,139,81,49,良,260.3667,22,2016-09
22,55,娄底,1.426,99,30,18,90,52,32,良,157.0645,15,2016-10
23,59,娄底,1.777,108,32,25,67,63,39,良,109.9000,17,2016-11
24,94,娄底,2.374,145,48,32,71,106,68,良,182.0968,26,2016-12
25,109,娄底,2.032,368,36,30,66,116,80,轻度污染,203.0645,23,2017-01
26,78,娄底,2.507,157,48,20,77,78,52,良,165.1071,22,2017-02
27,57,娄底,1.877,103,37,24,74,60,36,良,108.2903,14,2017-03
28,58,娄底,1.403,73,33,22,94,61,37,良,136.5000,19,2017-04
29,75,娄底,1.365,131,36,17,115,52,33,良,163.2581,15,2017-05
30,48,娄底,1.643,77,32,12,84,35,25,优,111.2667,15,2017-06
31,44,娄底,1.513,75,31,14,78,36,24,优,143.8710,20,2017-07
32,50,娄底,1.558,82,37,17,88,38,26,优,154.8387,15,2017-08
33,77,娄底,1.833,140,41,18,130,52,34,良,171.2667,15,2017-09
34,67,娄底,2.087,107,39,19,110,52,32,良,137.0968,11,2017-10
35,81,娄底,1.94,151,36,36,85,93,55,良,180.6000,15,2017-11
36,87,娄底,1.848,215,38,41,40,107,55,良,159.7742,15,2017-12
37,73,娄底,1.729,158,33,32,59,87,46,良,142.7097,13,2018-01
38,85,娄底,1.636,159,30,29,77,113,48,良,187.4286,11,2018-02
39,62,娄底,1.51,106,26,27,86,71,35,良,124.2581,10,2018-03
40,71,娄底,1.677,147,42,21,100,67,30,良,151.2333,16,2018-04
41,55,娄底,1.39,98,0,16,103,50,27,良,116.9355,18,2018-05
42,64,娄底,1.423,139,33,15,112,43,27,良,127.8667,14,2018-06
43,55,娄底,1.735,87,38,17,101,43,23,良,177.5806,14,2018-07
44,67,娄底,1.771,117,36,16,117,41,24,良,140.9032,9,2018-08
45,61,娄底,1.393,107,31,15,107,44,25,良,175.0667,8,2018-09
46,72,娄底,1.51,140,30,25,114,65,29,良,181.6452,9,2018-10
47,56,娄底,1.66,97,28,28,76,64,33,良,129.9667,7,2018-11
48,67,娄底,1.671,210,23,22,50,76,43,良,141.8710,6,2018-12
49,59,娄底,1.3,84,39,24,44,58,41,良,144.0000,4,2019-01
