index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,64,宁德,1.1,64,64,16,57,77,39,良,105.0000,12,2014-12
1,67,宁德,1.11,130,27,15,74,73,47,良,94.9355,11,2015-01
2,58,宁德,1.011,107,33,14,74,59,39,良,85.6786,9,2015-02
3,47,宁德,0.939,67,23,14,74,47,30,优,62.6774,7,2015-03
4,66,宁德,0.937,140,32,21,96,61,38,良,128.8000,6,2015-04
5,58,宁德,0.994,105,27,20,100,48,29,良,119.4839,5,2015-05
6,48,宁德,0.873,78,27,16,89,39,22,优,105.8000,4,2015-06
7,41,宁德,0.755,70,24,15,76,33,18,优,72.2258,4,2015-07
8,43,宁德,0.697,74,21,16,77,36,21,优,83.6774,3,2015-08
9,52,宁德,0.82,92,25,19,89,36,21,良,119.2333,4,2015-09
10,55,宁德,0.874,142,28,23,87,47,28,良,92.8065,5,2015-10
11,46,宁德,1.037,63,30,28,58,39,23,优,70.9000,5,2015-11
12,51,宁德,1.145,72,33,34,48,47,27,良,72.6129,7,2015-12
13,61,宁德,1.319,134,28,37,47,58,38,良,104.1935,7,2016-01
14,55,宁德,0.821,129,27,17,80,57,34,良,82.0345,7,2016-02
15,62,宁德,0.971,98,31,34,89,56,34,良,107.7419,7,2016-03
16,61,宁德,1.053,111,36,34,90,46,29,良,125.6000,6,2016-04
17,66,宁德,1.21,115,34,22,103,50,31,良,152.2903,4,2016-05
18,50,宁德,1.07,95,0,22,86,39,22,良,116.8667,3,2016-06
19,46,宁德,0.903,85,22,18,79,39,21,优,108.3226,3,2016-07
20,40,宁德,0.684,76,20,16,72,33,17,优,71.4839,5,2016-08
21,43,宁德,0.517,92,21,17,74,37,21,优,68.6000,5,2016-09
22,40,宁德,0.81,59,20,25,43,38,20,优,82.0000,6,2016-10
23,48,宁德,0.95,87,27,31,47,48,26,优,69.7000,8,2016-11
24,59,宁德,0.987,77,38,34,57,67,35,良,77.6452,11,2016-12
25,60,宁德,0.994,111,33,28,67,63,39,良,98.7097,10,2017-01
26,58,宁德,0.839,104,30,25,95,52,36,良,75.2857,7,2017-02
27,58,宁德,0.906,94,37,33,97,44,28,良,71.6774,5,2017-03
28,76,宁德,0.997,119,41,33,111,55,30,良,103.0000,6,2017-04
29,64,宁德,0.874,150,38,21,112,43,21,良,56.5806,6,2017-05
30,55,宁德,0.987,93,32,21,95,32,18,良,78.8333,3,2017-06
31,64,宁德,0.858,124,20,15,113,38,18,良,96.5161,5,2017-07
32,60,宁德,0.806,107,20,15,107,39,19,良,104.1613,5,2017-08
33,64,宁德,0.86,120,27,14,114,36,19,良,59.3667,6,2017-09
34,55,宁德,0.771,90,24,17,99,38,21,良,76.9677,8,2017-10
35,49,宁德,0.807,102,27,27,71,43,27,优,62.4667,10,2017-11
36,61,宁德,0.958,115,22,32,44,58,42,良,80.3226,12,2017-12
37,52,宁德,0.9,110,25,28,61,47,33,良,68.4516,11,2018-01
38,61,宁德,0.764,112,35,18,89,57,39,良,108.8571,10,2018-02
39,58,宁德,0.803,92,30,21,94,42,29,良,108.1935,8,2018-03
40,84,宁德,0.853,135,44,23,129,69,41,良,212.2667,9,2018-04
41,80,宁德,0.839,135,36,18,131,50,26,良,191.8710,8,2018-05
42,71,宁德,0.84,119,36,14,122,36,20,良,157.3000,9,2018-06
43,48,宁德,0.71,99,17,12,87,34,17,优,98.5484,9,2018-07
44,48,宁德,0.674,85,22,12,89,31,16,优,78.5161,6,2018-08
45,45,宁德,0.627,96,22,12,84,29,14,优,69.6000,5,2018-09
46,62,宁德,0.661,115,29,18,109,39,23,良,95.1290,8,2018-10
47,39,宁德,0.79,61,24,25,58,30,20,优,56.5667,8,2018-11
48,40,宁德,0.797,80,23,27,46,34,22,优,53.6774,7,2018-12
49,41,宁德,0.85,49,35,32,22,32,21,优,45.0000,6,2019-01
