index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,169,宁波,1.657,461,23,73,55,190,135,中度污染,66.3333,49,2013-12
1,103,宁波,1.371,243,36,55,66,112,75,轻度污染,61.0645,28,2014-01
2,67,宁波,1.157,119,26,40,69,62,48,良,56.3214,19,2014-02
3,70,宁波,0.958,133,29,45,100,73,46,良,50.3548,21,2014-03
4,70,宁波,1.017,134,41,44,111,65,42,良,58.1333,19,2014-04
5,88,宁波,0.958,174,34,35,139,82,47,良,90.9355,19,2014-05
6,63,宁波,0.933,132,38,29,104,51,32,良,59.9667,15,2014-06
7,52,宁波,0.694,108,21,25,88,48,29,良,47.4516,12,2014-07
8,53,宁波,0.79,92,25,29,92,45,29,良,56.3871,19,2014-08
9,59,宁波,0.78,115,23,32,102,49,32,良,70.5667,23,2014-09
10,71,宁波,0.765,131,46,40,117,70,39,良,65.2581,25,2014-10
11,76,宁波,0.99,176,38,54,79,84,55,良,72.2333,28,2014-11
12,100,宁波,1.1,145,51,66,52,123,73,良,118.4839,36,2014-12
13,109,宁波,1.135,244,37,60,66,121,81,轻度污染,190.8065,27,2015-01
14,85,宁波,0.925,172,32,42,84,88,60,良,156.8571,14,2015-02
15,62,宁波,0.781,95,34,46,95,60,38,良,126.3226,14,2015-03
16,80,宁波,0.77,135,43,45,127,72,42,良,197.7667,15,2015-04
17,74,宁波,0.71,123,47,34,126,53,31,良,184.2581,13,2015-05
18,64,宁波,0.797,137,36,33,112,47,30,良,174.6667,11,2015-06
19,63,宁波,0.671,120,31,26,110,37,23,良,158.4839,10,2015-07
20,66,宁波,0.755,122,25,25,113,42,27,良,178.2581,12,2015-08
21,83,宁波,0.843,167,28,36,131,51,33,良,248.0000,15,2015-09
22,77,宁波,0.877,140,42,47,121,75,43,良,192.1290,18,2015-10
23,74,宁波,1.13,142,34,55,56,69,47,良,201.2667,15,2015-11
24,108,宁波,1.252,234,57,63,50,120,79,轻度污染,221.2258,21,2015-12
25,92,宁波,1.039,198,35,55,67,97,62,良,194.4194,18,2016-01
26,71,宁波,0.814,125,37,35,97,75,47,良,154.4483,14,2016-02
27,69,宁波,0.719,117,42,43,107,71,41,良,135.0645,13,2016-03
28,76,宁波,0.78,146,49,43,118,62,37,良,192.5000,13,2016-04
29,83,宁波,0.806,150,39,38,126,64,41,良,220.4194,12,2016-05
30,63,宁波,0.697,117,36,30,111,39,26,良,172.0333,10,2016-06
31,63,宁波,0.639,127,22,24,108,40,24,良,180.6774,9,2016-07
32,65,宁波,0.613,133,22,21,109,35,20,良,165.6452,11,2016-08
33,66,宁波,0.71,127,20,32,105,48,30,良,172.1000,13,2016-09
34,56,宁波,0.752,100,30,37,83,49,28,良,174.3871,12,2016-10
35,71,宁波,0.847,129,32,51,70,72,45,良,155.4000,14,2016-11
36,91,宁波,1.052,147,40,61,61,93,61,良,172.4839,16,2016-12
37,68,宁波,0.881,111,33,44,65,65,45,良,119.2581,11,2017-01
38,71,宁波,0.821,142,35,41,87,68,48,良,124.2500,12,2017-02
39,76,宁波,0.771,124,49,47,114,69,44,良,127.4516,12,2017-03
40,88,宁波,0.833,136,48,43,137,72,42,良,165.7333,11,2017-04
41,79,宁波,0.713,164,38,30,131,55,29,良,107.4839,9,2017-05
42,65,宁波,0.85,138,38,33,109,44,29,良,128.9000,8,2017-06
43,75,宁波,0.71,177,23,24,125,39,23,良,107.0000,8,2017-07
44,74,宁波,0.742,149,21,21,126,38,24,良,99.0645,6,2017-08
45,62,宁波,0.75,133,37,28,107,38,23,良,97.0333,8,2017-09
46,56,宁波,0.752,90,34,29,98,45,24,良,106.6452,10,2017-10
47,76,宁波,0.923,143,33,56,64,76,45,良,148.4667,12,2017-11
48,104,宁波,1.129,269,46,65,32,108,68,轻度污染,173.3548,16,2017-12
49,84,宁波,0.942,203,31,53,51,77,54,良,162.4839,13,2018-01
50,72,宁波,0.868,192,36,35,85,71,47,良,136.2500,11,2018-02
51,56,宁波,0.713,87,34,33,90,49,33,良,102.2903,9,2018-03
52,82,宁波,0.717,184,38,36,124,69,36,良,178.6000,10,2018-04
53,78,宁波,0.781,164,34,30,129,53,31,良,189.3871,8,2018-05
54,68,宁波,0.7,139,35,26,118,37,25,良,52.8667,7,2018-06
55,52,宁波,0.616,141,20,17,90,32,20,良,101.4839,6,2018-07
56,51,宁波,0.623,113,22,16,93,27,16,良,60.1935,6,2018-08
57,64,宁波,0.64,138,22,28,108,35,21,良,127.0000,8,2018-09
58,66,宁波,0.726,113,44,41,104,53,30,良,154.9677,9,2018-10
59,61,宁波,0.833,90,40,48,68,53,33,良,166.0667,9,2018-11
60,70,宁波,0.945,144,32,51,44,65,41,良,160.5806,9,2018-12
61,86,宁波,1.075,114,67,56,30,80,61,良,201.7500,9,2019-01
