index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,60,安庆,0.6,60,60,11,60,70,26,良,90.0000,12,2014-12
1,88,安庆,2.326,184,38,39,68,90,65,良,145.5484,18,2015-01
2,74,安庆,2.025,148,30,20,61,78,54,良,133.1071,14,2015-02
3,66,安庆,1.726,119,23,20,64,70,46,良,143.0968,13,2015-03
4,66,安庆,1.163,100,38,20,46,70,48,良,136.8333,16,2015-04
5,98,安庆,0.719,218,32,31,65,94,72,良,230.0000,23,2015-05
6,53,安庆,0.653,91,28,28,70,51,35,良,130.3333,17,2015-06
7,51,安庆,0.465,85,27,24,56,46,32,良,116.9677,15,2015-07
8,55,安庆,0.49,80,27,23,38,57,36,良,137.2258,14,2015-08
9,59,安庆,0.677,90,26,21,48,54,42,良,160.7667,18,2015-09
10,80,安庆,0.677,140,39,32,77,79,57,良,207.0968,23,2015-10
11,78,安庆,0.86,187,27,40,98,66,49,良,198.2667,22,2015-11
12,122,安庆,1.148,273,52,48,52,125,92,轻度污染,238.8065,24,2015-12
13,114,安庆,0.897,319,49,47,42,110,86,轻度污染,238.4839,24,2016-01
14,103,安庆,0.848,228,46,40,25,104,77,轻度污染,259.1379,20,2016-02
15,108,安庆,0.926,208,33,57,33,110,79,轻度污染,230.9032,21,2016-03
16,61,安庆,0.627,99,29,40,39,58,39,良,123.7333,18,2016-04
17,71,安庆,0.59,120,33,35,83,72,51,良,167.2258,18,2016-05
18,59,安庆,0.647,96,35,32,82,46,34,良,155.1000,22,2016-06
19,58,安庆,0.561,95,37,28,104,31,22,良,175.1935,14,2016-07
20,64,安庆,0.6,104,36,25,114,45,26,良,187.0645,20,2016-08
21,72,安庆,0.643,127,24,28,113,56,37,良,193.4000,21,2016-09
22,60,安庆,0.745,112,32,29,58,57,42,良,189.4516,16,2016-10
23,85,安庆,0.88,166,30,43,66,86,62,良,207.7000,19,2016-11
24,126,安庆,1.071,217,42,57,69,120,94,轻度污染,247.1935,22,2016-12
25,130,安庆,1.01,285,40,44,76,116,99,轻度污染,255.5806,22,2017-01
26,109,安庆,0.918,187,51,39,97,96,82,轻度污染,236.4643,20,2017-02
27,87,安庆,0.803,147,45,39,101,83,62,良,204.6129,15,2017-03
28,77,安庆,0.833,113,47,37,119,80,50,良,201.8333,14,2017-04
29,89,安庆,0.813,157,44,33,133,72,48,良,241.4194,12,2017-05
30,61,安庆,0.69,123,32,26,104,52,28,良,143.7000,14,2017-06
31,50,安庆,0.5,91,31,26,89,48,28,良,169.2258,15,2017-07
32,48,安庆,0.561,90,26,23,85,43,28,优,150.4839,13,2017-08
33,56,安庆,0.75,85,30,25,86,50,34,良,159.3000,11,2017-09
34,61,安庆,0.71,109,21,28,89,62,41,良,152.5161,13,2017-10
35,98,安庆,0.767,182,27,52,84,109,72,良,227.0333,15,2017-11
36,126,安庆,0.9,248,40,60,37,133,94,轻度污染,217.1290,17,2017-12
37,120,安庆,0.861,270,30,50,76,94,89,轻度污染,221.6452,13,2018-01
38,105,安庆,0.757,199,32,40,93,98,76,轻度污染,234.0714,16,2018-02
39,76,安庆,0.713,109,41,38,112,63,50,良,193.1290,12,2018-03
40,85,安庆,0.723,130,24,32,133,81,44,良,209.1667,12,2018-04
41,72,安庆,0.719,148,0,26,125,52,32,良,177.4839,10,2018-05
42,90,安庆,0.67,191,41,23,145,51,30,良,202.0667,10,2018-06
43,60,安庆,0.59,127,37,22,108,42,22,良,168.2903,9,2018-07
44,70,安庆,0.606,170,21,17,119,43,23,良,123.4516,10,2018-08
45,66,安庆,0.637,122,29,20,114,48,28,良,172.4667,10,2018-09
46,82,安庆,0.648,145,53,30,118,65,51,良,236.6129,10,2018-10
47,65,安庆,0.8,179,20,35,73,62,45,良,156.3667,8,2018-11
48,86,安庆,0.874,203,27,35,53,74,62,良,198.4194,10,2018-12
49,109,安庆,0.95,140,79,36,45,75,82,轻度污染,236.0000,9,2019-01
