index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,104,安康,2.1,104,104,41,66,157,66,轻度污染,249.0000,54,2014-12
1,147,安康,2.339,273,59,32,51,149,112,轻度污染,259.9032,54,2015-01
2,100,安康,1.496,153,46,24,83,111,74,轻度污染,220.4286,30,2015-02
3,78,安康,1.429,160,35,21,92,88,54,良,178.1935,20,2015-03
4,66,安康,1.18,126,39,14,111,64,31,良,131.8333,19,2015-04
5,75,安康,1.139,128,43,14,113,70,45,良,181.8710,21,2015-05
6,57,安康,0.823,91,33,11,98,48,30,良,148.8667,14,2015-06
7,69,安康,0.655,105,44,8,121,48,31,良,204.0323,12,2015-07
8,59,安康,0.645,87,34,8,106,40,26,良,155.5806,15,2015-08
9,62,安康,0.793,98,32,11,96,54,38,良,177.0667,17,2015-09
10,66,安康,0.919,133,32,18,82,68,44,良,143.1290,20,2015-10
11,56,安康,1.243,99,26,21,40,54,37,良,112.0333,28,2015-11
12,130,安康,1.613,232,57,32,46,139,98,轻度污染,264.6452,36,2015-12
13,135,安康,2.052,236,47,32,57,129,101,轻度污染,277.9032,40,2016-01
14,107,安康,1.9,356,47,24,77,115,77,轻度污染,235.5517,26,2016-02
15,89,安康,1.229,186,54,26,104,108,61,良,197.4194,27,2016-03
16,63,安康,1.377,89,39,17,103,58,36,良,141.3000,17,2016-04
17,74,安康,1.019,165,44,13,121,63,38,良,184.3548,17,2016-05
18,66,安康,0.663,108,28,8,117,38,24,良,180.6667,10,2016-06
19,49,安康,0.568,84,26,9,90,37,22,优,122.4194,8,2016-07
20,59,安康,0.516,98,31,11,106,42,30,良,172.7742,16,2016-08
21,63,安康,0.603,97,32,20,103,51,35,良,166.3333,24,2016-09
22,43,安康,0.706,74,25,20,59,41,25,优,92.2258,22,2016-10
23,65,安康,1.12,112,24,27,43,71,45,良,132.7667,17,2016-11
24,102,安康,1.565,147,66,37,40,109,76,轻度污染,207.1290,16,2016-12
25,116,安康,1.806,317,51,30,54,106,79,轻度污染,224.2258,26,2017-01
26,81,安康,1.371,139,53,28,70,83,60,良,173.6071,20,2017-02
27,62,安康,1.032,89,43,24,104,59,36,良,110.1290,17,2017-03
28,65,安康,0.85,95,37,19,112,49,25,良,74.0667,11,2017-04
29,73,安康,0.674,128,36,18,117,54,32,良,128.8387,13,2017-05
30,71,安康,0.757,109,28,14,120,43,25,良,128.9000,11,2017-06
31,67,安康,0.774,123,33,12,118,34,19,良,96.2258,8,2017-07
32,62,安康,0.897,88,27,14,114,39,21,良,131.5484,10,2017-08
33,47,安康,0.967,90,23,18,71,38,23,优,92.2667,9,2017-09
34,43,安康,0.848,77,20,19,51,37,24,优,71.0645,8,2017-10
35,79,安康,1.09,145,42,28,39,83,57,良,149.8000,19,2017-11
36,108,安康,1.339,195,65,46,20,126,81,轻度污染,207.1935,26,2017-12
37,95,安康,1.268,175,35,39,60,101,70,良,204.1613,23,2018-01
38,93,安康,1.139,287,0,28,81,100,68,良,202.7857,18,2018-02
39,64,安康,0.919,92,36,26,102,70,37,良,137.3226,18,2018-03
40,65,安康,0.62,112,34,19,110,67,28,良,135.8667,15,2018-04
41,65,安康,0.59,97,29,17,97,67,31,良,150.1935,9,2018-05
42,68,安康,0.68,101,38,16,114,50,25,良,145.3667,7,2018-06
43,55,安康,0.587,95,28,13,100,41,21,良,141.9355,9,2018-07
44,69,安康,0.742,106,34,13,121,44,25,良,142.2258,8,2018-08
45,50,安康,0.697,85,25,17,84,36,18,优,118.0333,9,2018-09
46,54,安康,0.71,79,40,25,72,55,30,良,135.4839,13,2018-10
47,58,安康,0.963,123,23,32,40,67,38,良,134.7000,16,2018-11
48,99,安康,1.094,158,49,38,37,110,69,良,258.8387,22,2018-12
49,136,安康,1.25,192,84,47,20,127,102,轻度污染,257.5000,22,2019-01
